block_number,sender,to,amount0In,amount1In,amount0Out,amount1Out,timestamps
19334565,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x7d79A87659063E2e63b72C3B0896789473A717c8,0,15165266265824821879,47981027799743872,0,1632195713
19336414,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x0EcD2bced0D6Ae9872Bd3e325B722Ab15c113d3F,10000000000000000,0,0,3266355223889370973,1632199791
19337309,0x104e6d0deA53F7bC7bb22b0E8633D4EA62d73DB7,0xAA1464044B05BC55858Aaf4813F9270aF0472032,75619497263175552,0,0,24407154482363693699,1632201680
19342632,0x104e6d0deA53F7bC7bb22b0E8633D4EA62d73DB7,0x104e6d0deA53F7bC7bb22b0E8633D4EA62d73DB7,0,24096507015093836138,74211812906518960,0,1632214129
19348144,0x104e6d0deA53F7bC7bb22b0E8633D4EA62d73DB7,0xB6caDB6b8B46f177dDA2490690195302782B1771,96468812942250512,0,0,31122416779845578614,1632226997
19348592,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xdB6f1920A889355780aF7570773609Bd8Cb1f498,311256562916253137,0,0,99621277686173889955,1632228172
19348650,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xD3d1eF016C5cC58403787aF8bF71919f158b0093,0,161222018859538836183,498864303294650872,0,1632228322
19348670,0x104e6d0deA53F7bC7bb22b0E8633D4EA62d73DB7,0x0c2d6C9e3e241652380473814Db9eeaFC4F20260,65410115093224240,0,0,21191978852566080397,1632228362
19348909,0x104e6d0deA53F7bC7bb22b0E8633D4EA62d73DB7,0xB6caDB6b8B46f177dDA2490690195302782B1771,47878069188266392,0,0,15477413627983977202,1632228986
19350039,0x104e6d0deA53F7bC7bb22b0E8633D4EA62d73DB7,0xB6caDB6b8B46f177dDA2490690195302782B1771,78288615247628320,0,0,25245734100049855202,1632231582
19350042,0x104e6d0deA53F7bC7bb22b0E8633D4EA62d73DB7,0xB6caDB6b8B46f177dDA2490690195302782B1771,78212598776201072,0,0,25144156303382892533,1632231588
19353457,0x104e6d0deA53F7bC7bb22b0E8633D4EA62d73DB7,0xB6caDB6b8B46f177dDA2490690195302782B1771,91414656741031248,0,0,29291272026707995342,1632239908
19355029,0x104e6d0deA53F7bC7bb22b0E8633D4EA62d73DB7,0xAA1464044B05BC55858Aaf4813F9270aF0472032,85998935840705456,0,0,27460831594737156282,1632243504
19357940,0x104e6d0deA53F7bC7bb22b0E8633D4EA62d73DB7,0x0c2d6C9e3e241652380473814Db9eeaFC4F20260,55854364326582256,0,0,17786002189425703029,1632250042
19360522,0x104e6d0deA53F7bC7bb22b0E8633D4EA62d73DB7,0xAA1464044B05BC55858Aaf4813F9270aF0472032,87647833374518448,0,0,27832481561042585475,1632255798
19363774,0x104e6d0deA53F7bC7bb22b0E8633D4EA62d73DB7,0x0c2d6C9e3e241652380473814Db9eeaFC4F20260,62290346964769416,0,0,19722748381042095347,1632263996
19364105,0x104e6d0deA53F7bC7bb22b0E8633D4EA62d73DB7,0xAA1464044B05BC55858Aaf4813F9270aF0472032,84092604761334896,0,0,26550520821635457184,1632264817
19371470,0x104e6d0deA53F7bC7bb22b0E8633D4EA62d73DB7,0x104e6d0deA53F7bC7bb22b0E8633D4EA62d73DB7,0,22051921943067384372,69445636323784611,0,1632282060
19371943,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x3667d2729da58761F085ce3e0A720c7Bc482e694,100000000000000000,0,0,31545618231143044298,1632283162
19377881,0x104e6d0deA53F7bC7bb22b0E8633D4EA62d73DB7,0x104e6d0deA53F7bC7bb22b0E8633D4EA62d73DB7,0,25404453994294487402,80081260906885442,0,1632297469
19389883,0x104e6d0deA53F7bC7bb22b0E8633D4EA62d73DB7,0x104e6d0deA53F7bC7bb22b0E8633D4EA62d73DB7,0,27439566081137869420,86218303898602716,0,1632327488
19401786,0x104e6d0deA53F7bC7bb22b0E8633D4EA62d73DB7,0x104e6d0deA53F7bC7bb22b0E8633D4EA62d73DB7,0,25747812919356382325,80641154488471240,0,1632355379
19403516,0x484F20426f84836648D75f81fd3213694c38c4BF,0xB6caDB6b8B46f177dDA2490690195302782B1771,1900807082076576971,0,0,582789329736379092625,1632359641
19403517,0x104e6d0deA53F7bC7bb22b0E8633D4EA62d73DB7,0x104e6d0deA53F7bC7bb22b0E8633D4EA62d73DB7,0,30368663910167847661,101892299449125709,0,1632359643
19403553,0x22160911A56Bbda683AC09335886Eb570E340dAc,0x22160911A56Bbda683AC09335886Eb570E340dAc,2440079063488858027,0,0,692693919254798431820,1632359719
19403554,0x104e6d0deA53F7bC7bb22b0E8633D4EA62d73DB7,0x104e6d0deA53F7bC7bb22b0E8633D4EA62d73DB7,0,32914732123231092797,120262790245617049,0,1632359721
19403554,0x104e6d0deA53F7bC7bb22b0E8633D4EA62d73DB7,0x104e6d0deA53F7bC7bb22b0E8633D4EA62d73DB7,0,3454704557934265109,12592543459150850,0,1632359721
19403579,0xEA4683327b308970Ce01943AcC3244DA616eeC8f,0xB6caDB6b8B46f177dDA2490690195302782B1771,2556121826171874816,0,0,666685953872777015955,1632359771
19403580,0x104e6d0deA53F7bC7bb22b0E8633D4EA62d73DB7,0x019011032a7ac3A87eE885B6c08467AC46ad11CD,0,68754462973194463611,272781631567329197,0,1632359773
19453141,0x104e6d0deA53F7bC7bb22b0E8633D4EA62d73DB7,0xAA1464044B05BC55858Aaf4813F9270aF0472032,136370525835930928,0,0,34247179029512049013,1632475517
19455479,0x104e6d0deA53F7bC7bb22b0E8633D4EA62d73DB7,0xAA1464044B05BC55858Aaf4813F9270aF0472032,79098016271227616,0,0,19790618892202335915,1632480401
19457596,0x1F60Fb0ab527471EF9165E14B692A0825E2f97d5,0x1F60Fb0ab527471EF9165E14B692A0825E2f97d5,0,164343231025273689514,646522640508072183,0,1632485053
19457606,0x104e6d0deA53F7bC7bb22b0E8633D4EA62d73DB7,0x104e6d0deA53F7bC7bb22b0E8633D4EA62d73DB7,0,185737935123436026775,713574039666014981,0,1632485077
19457606,0x104e6d0deA53F7bC7bb22b0E8633D4EA62d73DB7,0xAA1464044B05BC55858Aaf4813F9270aF0472032,134108008227149248,0,0,35052956766121932967,1632485077
19457619,0xD672893F1d5B4C1779ed5A8376ABea8081d013FF,0xB6caDB6b8B46f177dDA2490690195302782B1771,603424072265624960,0,0,155704855883659587890,1632485103
19457661,0x0b1413E95202570287F490F6CAe04F60Ec1018BE,0xB6caDB6b8B46f177dDA2490690195302782B1771,672031034010799497,0,0,169613356294595431745,1632485187
19457872,0x484F20426f84836648D75f81fd3213694c38c4BF,0xB6caDB6b8B46f177dDA2490690195302782B1771,2432854310052652312,0,0,582651848086448299227,1632485625
19457873,0x104e6d0deA53F7bC7bb22b0E8633D4EA62d73DB7,0x104e6d0deA53F7bC7bb22b0E8633D4EA62d73DB7,0,41571561338158281532,179223006038980780,0,1632485627
19458627,0x484F20426f84836648D75f81fd3213694c38c4BF,0x8Cf24DA57eB6F5881c13b14AEb48c49Df6B034A6,0,343257987228001791306,1440309248784118131,0,1632487311
19472003,0x104e6d0deA53F7bC7bb22b0E8633D4EA62d73DB7,0x104e6d0deA53F7bC7bb22b0E8633D4EA62d73DB7,0,17392835989889364371,71150445853975244,0,1632516411
19490938,0x104e6d0deA53F7bC7bb22b0E8633D4EA62d73DB7,0x0c2d6C9e3e241652380473814Db9eeaFC4F20260,53078093163113616,0,0,12901320910886560275,1632558515
19501560,0x37D48abC25dC888A9D05c12238d09810f6DCdF60,0x37D48abC25dC888A9D05c12238d09810f6DCdF60,639105952988320108,0,0,153544785426005548172,1632583364
19501561,0x0b1413E95202570287F490F6CAe04F60Ec1018BE,0x0b1413E95202570287F490F6CAe04F60Ec1018BE,0,329023480994009127558,1345014213749904861,0,1632583366
19501771,0x84E5Bc3dF0df0f543648f250443c6f4077218312,0x84E5Bc3dF0df0f543648f250443c6f4077218312,0,376425544530663396416,1466147842830112214,0,1632583802
19502056,0x104e6d0deA53F7bC7bb22b0E8633D4EA62d73DB7,0x0c2d6C9e3e241652380473814Db9eeaFC4F20260,71817942107170744,0,0,18779089969094038831,1632584401
19517191,0x104e6d0deA53F7bC7bb22b0E8633D4EA62d73DB7,0xAA1464044B05BC55858Aaf4813F9270aF0472032,70259701065687488,0,0,18325883023002970893,1632618270
19524874,0x104e6d0deA53F7bC7bb22b0E8633D4EA62d73DB7,0x0c2d6C9e3e241652380473814Db9eeaFC4F20260,56987392971362048,0,0,14830931674694525142,1632635725
19527171,0x104e6d0deA53F7bC7bb22b0E8633D4EA62d73DB7,0xAA1464044B05BC55858Aaf4813F9270aF0472032,78881879069034192,0,0,20480192377835465998,1632641171
19528940,0x104e6d0deA53F7bC7bb22b0E8633D4EA62d73DB7,0xAA1464044B05BC55858Aaf4813F9270aF0472032,79186950011665584,0,0,20502646665636712245,1632644949
19531372,0x104e6d0deA53F7bC7bb22b0E8633D4EA62d73DB7,0x104e6d0deA53F7bC7bb22b0E8633D4EA62d73DB7,0,33490281923298702416,128462938249244267,0,1632650244
19535749,0x104e6d0deA53F7bC7bb22b0E8633D4EA62d73DB7,0x104e6d0deA53F7bC7bb22b0E8633D4EA62d73DB7,0,20708235092957735702,79144263938174212,0,1632660280
19590654,0x104e6d0deA53F7bC7bb22b0E8633D4EA62d73DB7,0xAA1464044B05BC55858Aaf4813F9270aF0472032,83649574793303328,0,0,21754400713742157405,1632786430
19617231,0x104e6d0deA53F7bC7bb22b0E8633D4EA62d73DB7,0xAA1464044B05BC55858Aaf4813F9270aF0472032,90996203220092160,0,0,23592795874115305471,1632850090
19643183,0x104e6d0deA53F7bC7bb22b0E8633D4EA62d73DB7,0x104e6d0deA53F7bC7bb22b0E8633D4EA62d73DB7,0,22771182995823300707,87306756666014827,0,1632915432
19662641,0x104e6d0deA53F7bC7bb22b0E8633D4EA62d73DB7,0x104e6d0deA53F7bC7bb22b0E8633D4EA62d73DB7,0,20493646156002096063,78346341877560894,0,1632964883
19710898,0x104e6d0deA53F7bC7bb22b0E8633D4EA62d73DB7,0x104e6d0deA53F7bC7bb22b0E8633D4EA62d73DB7,0,19665538960530775267,74978188599066586,0,1633075678
19715047,0x104e6d0deA53F7bC7bb22b0E8633D4EA62d73DB7,0x104e6d0deA53F7bC7bb22b0E8633D4EA62d73DB7,0,30767151472983751379,116909452338857491,0,1633084745
19716286,0x104e6d0deA53F7bC7bb22b0E8633D4EA62d73DB7,0x104e6d0deA53F7bC7bb22b0E8633D4EA62d73DB7,0,15813226892836651935,59900250005685620,0,1633087492
