block_number,sender,to,amount0In,amount1In,amount0Out,amount1Out,timestamps
21616755,0xe7A75388ed4c0aA933665fBB10ac64cb3B2Aa976,0x01605f357453a4F1feD2ba6E0AFb4FbF28d9Cfe9,49221127385000511531,0,0,488338195343415,1637464520
21616757,0x99c1C5478b00Afc2Fc1BD946C7e704ebcf77794D,0xA2Fe8B8F0494D0DBdd55a018EfF12b93bB5F5A8F,755425952763033250812,0,0,6938115978853428,1637464532
21616757,0x99c1C5478b00Afc2Fc1BD946C7e704ebcf77794D,0xA2Fe8B8F0494D0DBdd55a018EfF12b93bB5F5A8F,4180939688890679542693,0,0,25771865756762688,1637464532
21616758,0x24bACeE5ba8Dc1a0F6f719884044363dbabB30b7,0x24bACeE5ba8Dc1a0F6f719884044363dbabB30b7,10025830715488935658900,0,0,26729275094068174,1637464538
22010344,0xa1da3Ce3325Fd5cc45372db5283B888f66da5418,0xa1da3Ce3325Fd5cc45372db5283B888f66da5418,0,1207738529983028,729631049726783968492,0,1638356548
22028832,0xa1da3Ce3325Fd5cc45372db5283B888f66da5418,0xa1da3Ce3325Fd5cc45372db5283B888f66da5418,0,1304232797661265,741515997589551450721,0,1638401332
22032456,0xa1da3Ce3325Fd5cc45372db5283B888f66da5418,0xa1da3Ce3325Fd5cc45372db5283B888f66da5418,0,1397971264548837,746049868865324230400,0,1638409503
22039483,0xa1da3Ce3325Fd5cc45372db5283B888f66da5418,0xa1da3Ce3325Fd5cc45372db5283B888f66da5418,0,1571948178960375,784284719856367702005,0,1638425328
22039654,0x24bACeE5ba8Dc1a0F6f719884044363dbabB30b7,0xA2Fe8B8F0494D0DBdd55a018EfF12b93bB5F5A8F,1577939063127978943837,0,0,3038876660063543,1638425682
22040994,0x24bACeE5ba8Dc1a0F6f719884044363dbabB30b7,0x24bACeE5ba8Dc1a0F6f719884044363dbabB30b7,0,57192747486289062,13512701510121133285233,0,1638428817
22040996,0x24bACeE5ba8Dc1a0F6f719884044363dbabB30b7,0xA2Fe8B8F0494D0DBdd55a018EfF12b93bB5F5A8F,10432557640211113206073,0,0,50648008014999695,1638428821
