block_number,sender,to,amount0In,amount1In,amount0Out,amount1Out,timestamps
15025173,0xc5D5e059d27695f172c8aA65d6C09187F34f0A19,0xc5D5e059d27695f172c8aA65d6C09187F34f0A19,0,394667989605764379,325143709548400477,0,1622189928
15507904,0xF5dA63c673147EEA8B26e896cDFdb0534e1f1fFf,0xF5dA63c673147EEA8B26e896cDFdb0534e1f1fFf,34033299123309241,0,0,55010390338546588,1623225158
15657550,0xF5dA63c673147EEA8B26e896cDFdb0534e1f1fFf,0xF5dA63c673147EEA8B26e896cDFdb0534e1f1fFf,0,238254402476575396,149358382924257745,0,1623569331
19170147,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xdB6f1920A889355780aF7570773609Bd8Cb1f498,2180750000000000000,0,0,169911612234669,1631793109
19170147,0x1F60Fb0ab527471EF9165E14B692A0825E2f97d5,0x1F60Fb0ab527471EF9165E14B692A0825E2f97d5,0,7578057090168,2178497667464983691,0,1631793109
19170147,0xb80478b000BA07DA638C851B9A5536A587a63c62,0xb80478b000BA07DA638C851B9A5536A587a63c62,0,156470198245245,2247628917881699,0,1631793109
21007045,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xdB6f1920A889355780aF7570773609Bd8Cb1f498,1886279237306866,0,0,155045258249031,1636105127
21007062,0x28E73C83C0f85784543300B96A1A3c2e900F7a35,0x28E73C83C0f85784543300B96A1A3c2e900F7a35,0,145917959894039,1879182000073253,0,1636105161
21178655,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xBC74165b8e4630774ed9893d9C780EABd2DFE01f,100000000000000000,0,0,154748464738930,1636482417
21178655,0xD1757D7C8F42cd3185E41E9361a0bB38c0fcBcea,0xD1757D7C8F42cd3185E41E9361a0bB38c0fcBcea,0,127592125927015,99974411631078012,0,1636482417
21491771,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xdB6f1920A889355780aF7570773609Bd8Cb1f498,139721419597989950,0,0,127642690012036,1637186650
21491772,0x2103495c64700F1b238a4a1Bea9cF60201B50077,0x2103495c64700F1b238a4a1Bea9cF60201B50077,0,142049945829502,139735038939216367,0,1637186652
21663016,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xdB6f1920A889355780aF7570773609Bd8Cb1f498,18629522613065327,0,0,141204149614752,1637566814
21663021,0x0D08fF3bD97f3E398cA049652B7a82a12306b821,0x0D08fF3bD97f3E398cA049652B7a82a12306b821,0,143447107872954,18630759752460528,0,1637566824
21686511,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xdB6f1920A889355780aF7570773609Bd8Cb1f498,1862952261306532666,0,0,144413121817986,1637620121
21686511,0x65b09b12bF46f364F68F5bFF0bfC5d8b54368971,0x65b09b12bF46f364F68F5bFF0bfC5d8b54368971,0,146972994702080,1862953722589485216,0,1637620121
22601888,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xdB6f1920A889355780aF7570773609Bd8Cb1f498,1868932935059995260,0,0,146972966942520,1639680900
22601890,0x65b09b12bF46f364F68F5bFF0bfC5d8b54368971,0x65b09b12bF46f364F68F5bFF0bfC5d8b54368971,0,160379082089777,1868942745020503549,0,1639680904
23251010,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xdB6f1920A889355780aF7570773609Bd8Cb1f498,175384615384615386,0,0,160282793241525,1641104599
23251010,0x8094C9563a434ec25c9e1450B5f117127a35029b,0x8094C9563a434ec25c9e1450B5f117127a35029b,0,130159461691020,175356964434605126,0,1641104599
23251012,0x28E73C83C0f85784543300B96A1A3c2e900F7a35,0xD71722ec7C3e257d1F76089E1F1B76c0fA2f8c8e,2629420712647380,0,0,123504682726922,1641104603
23279732,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xdB6f1920A889355780aF7570773609Bd8Cb1f498,2538686054417476454,0,0,6753581217255,1641167658
