block_number,sender,to,amount0In,amount1In,amount0Out,amount1Out,timestamps
15213410,0x21974CC0526a9C29915d0EB18d406c3a1511E9b5,0x21974CC0526a9C29915d0EB18d406c3a1511E9b5,0,2108,293321900854809,0,1622578970
15219230,0x21974CC0526a9C29915d0EB18d406c3a1511E9b5,0x21974CC0526a9C29915d0EB18d406c3a1511E9b5,0,155,21227643161689,0,1622590986
15219940,0x21974CC0526a9C29915d0EB18d406c3a1511E9b5,0x21974CC0526a9C29915d0EB18d406c3a1511E9b5,0,308,42045810591500,0,1622592450
15227743,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x2589cfE3E2CC672fCFB83e9F7a5C302cDb57a4d8,0,3579,475724070848517,0,1622608562
15227746,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x2589cfE3E2CC672fCFB83e9F7a5C302cDb57a4d8,187308026625693,0,0,1421,1622608568
15227990,0x0F85A912448279111694F4Ba4F85dC641c54b594,0x0F85A912448279111694F4Ba4F85dC641c54b594,0,11500,1409926152481218,0,1622609072
15227992,0x21974CC0526a9C29915d0EB18d406c3a1511E9b5,0xeA9C7dbEF5251e18D958D3d79E56cC66bD128D79,423730844515690,0,0,3620,1622609076
15227993,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x2589cfE3E2CC672fCFB83e9F7a5C302cDb57a4d8,457547883388717,0,0,3727,1622609078
15227995,0x21974CC0526a9C29915d0EB18d406c3a1511E9b5,0x21974CC0526a9C29915d0EB18d406c3a1511E9b5,0,2401,295564541495744,0,1622609082
15228049,0x21974CC0526a9C29915d0EB18d406c3a1511E9b5,0x21974CC0526a9C29915d0EB18d406c3a1511E9b5,0,6742,782386667535484,0,1622609194
15228051,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x2589cfE3E2CC672fCFB83e9F7a5C302cDb57a4d8,176348656939169,0,0,1561,1622609198
15237429,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x2589cfE3E2CC672fCFB83e9F7a5C302cDb57a4d8,155033598073026,0,0,1349,1622628666
15237439,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x2589cfE3E2CC672fCFB83e9F7a5C302cDb57a4d8,353865570783507,0,0,3003,1622628686
15244295,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x2589cfE3E2CC672fCFB83e9F7a5C302cDb57a4d8,519980026775725,0,0,4232,1622642961
15244399,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x2589cfE3E2CC672fCFB83e9F7a5C302cDb57a4d8,366997138452431,0,0,2864,1622643173
15248795,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x2589cfE3E2CC672fCFB83e9F7a5C302cDb57a4d8,958165705212351,0,0,7335,1622652244
15273229,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x2589cfE3E2CC672fCFB83e9F7a5C302cDb57a4d8,0,5409,702642498985554,0,1622703115
15280671,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x2589cfE3E2CC672fCFB83e9F7a5C302cDb57a4d8,0,1077,139655252556267,0,1622718463
15284737,0x0F85A912448279111694F4Ba4F85dC641c54b594,0x0F85A912448279111694F4Ba4F85dC641c54b594,22067833824687447,0,0,161681,1622726851
15288969,0x971776ce2cc3960429296F659e9207C252EE4889,0x971776ce2cc3960429296F659e9207C252EE4889,0,130427,17853170723257626,0,1622735579
15290333,0x1DE70F4B049c0FeF8f0418C6Eb22ED6f990AeAce,0x1A4b2D1c2499A95624792b44EEA56e8C20553AB9,0,383491,45735463939527633,0,1622738391
15290333,0x21974CC0526a9C29915d0EB18d406c3a1511E9b5,0x21974CC0526a9C29915d0EB18d406c3a1511E9b5,0,4202,452423504267980,0,1622738391
15291072,0xd60B95f4b73a2FF115D5f9efE6d207493cb1cE3b,0xeA9C7dbEF5251e18D958D3d79E56cC66bD128D79,14658293411070078,0,0,131019,1622739917
15291083,0xd60B95f4b73a2FF115D5f9efE6d207493cb1cE3b,0xeA9C7dbEF5251e18D958D3d79E56cC66bD128D79,5924969741518809,0,0,50543,1622739939
15291083,0x21974CC0526a9C29915d0EB18d406c3a1511E9b5,0xeA9C7dbEF5251e18D958D3d79E56cC66bD128D79,4341759998931413,0,0,36203,1622739939
15291089,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x2589cfE3E2CC672fCFB83e9F7a5C302cDb57a4d8,0,4754,571459091483084,0,1622739951
15291315,0x21974CC0526a9C29915d0EB18d406c3a1511E9b5,0xeA9C7dbEF5251e18D958D3d79E56cC66bD128D79,225552772424518,0,0,1866,1622740415
15305074,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x3F0e5c4B1a9a145bC9834996087E80D4405D529b,147564054686454,0,0,1220,1622769953
15314765,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x2589cfE3E2CC672fCFB83e9F7a5C302cDb57a4d8,729191703954712,0,0,6018,1622790590
15338660,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x2589cfE3E2CC672fCFB83e9F7a5C302cDb57a4d8,0,6078,732010129475170,0,1622842420
15340978,0x0F85A912448279111694F4Ba4F85dC641c54b594,0x0F85A912448279111694F4Ba4F85dC641c54b594,30248093711561002,0,0,235013,1622847894
15340980,0x21974CC0526a9C29915d0EB18d406c3a1511E9b5,0x8fAfeC241b4C91537Ecbaa9AaF5485940762AD77,0,4231,575351866560596,0,1622847898
15341650,0x6b0b8c04599CE23b9cE318E8B591001f8b6833Af,0xc4e595acDD7d12feC385E5dA5D43160e8A0bAC0E,0,118942,15986649417809614,0,1622849282
15341657,0x21974CC0526a9C29915d0EB18d406c3a1511E9b5,0x21974CC0526a9C29915d0EB18d406c3a1511E9b5,0,3971,527944161253940,0,1622849296
15341693,0xc501A496D5295096753F28dBa780Bd6663CD44Ab,0xc501A496D5295096753F28dBa780Bd6663CD44Ab,0,69196,9140752904942438,0,1622849368
15347691,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x2589cfE3E2CC672fCFB83e9F7a5C302cDb57a4d8,0,8557,1122677203729174,0,1622862510
15350921,0x0F85A912448279111694F4Ba4F85dC641c54b594,0xc4e595acDD7d12feC385E5dA5D43160e8A0bAC0E,0,72000,9380313790845002,0,1622869567
15355103,0xc5D5e059d27695f172c8aA65d6C09187F34f0A19,0xD729a51eE0Fe5970eE3E52b54a132098E4DDAE3b,248669802763664,0,0,1908,1622878831
15357435,0x21974CC0526a9C29915d0EB18d406c3a1511E9b5,0xeA9C7dbEF5251e18D958D3d79E56cC66bD128D79,6007501010179700,0,0,45924,1622883897
15357516,0x21974CC0526a9C29915d0EB18d406c3a1511E9b5,0xeA9C7dbEF5251e18D958D3d79E56cC66bD128D79,2151005843482389,0,0,16354,1622884077
15357541,0x21974CC0526a9C29915d0EB18d406c3a1511E9b5,0xeA9C7dbEF5251e18D958D3d79E56cC66bD128D79,1841046421395792,0,0,13960,1622884127
15357553,0x21974CC0526a9C29915d0EB18d406c3a1511E9b5,0xeA9C7dbEF5251e18D958D3d79E56cC66bD128D79,1757656399466417,0,0,13296,1622884151
15357605,0x21974CC0526a9C29915d0EB18d406c3a1511E9b5,0xeA9C7dbEF5251e18D958D3d79E56cC66bD128D79,3617179382690912,0,0,27265,1622884259
15360836,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x2589cfE3E2CC672fCFB83e9F7a5C302cDb57a4d8,1508640174332917,0,0,11333,1622891319
15362251,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x5cC1E4E7302207ffe7B169E23BCb351162Ea86a7,1333678452703660,0,0,10000,1622894483
15362268,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x5cC1E4E7302207ffe7B169E23BCb351162Ea86a7,13467271857970084,0,0,100000,1622894517
15362271,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x2589cfE3E2CC672fCFB83e9F7a5C302cDb57a4d8,0,22735,3064408708547954,0,1622894523
15364673,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xabB66523dB7a53A50e58049dF1bb3dd5fE8b37e1,0,1069,143771273965126,0,1622899607
15366314,0x0F85A912448279111694F4Ba4F85dC641c54b594,0x0F85A912448279111694F4Ba4F85dC641c54b594,2231879749337300,0,0,16471,1622903245
15366482,0x0F85A912448279111694F4Ba4F85dC641c54b594,0x0F85A912448279111694F4Ba4F85dC641c54b594,1252030919321801,0,0,9219,1622903593
15366504,0x0F85A912448279111694F4Ba4F85dC641c54b594,0x0F85A912448279111694F4Ba4F85dC641c54b594,1457929568936007,0,0,10716,1622903637
15366520,0x0F85A912448279111694F4Ba4F85dC641c54b594,0x0F85A912448279111694F4Ba4F85dC641c54b594,2801903198259486,0,0,20537,1622903669
15366557,0x0F85A912448279111694F4Ba4F85dC641c54b594,0x0F85A912448279111694F4Ba4F85dC641c54b594,1061556555552141,0,0,7761,1622903747
15367542,0x0F85A912448279111694F4Ba4F85dC641c54b594,0x0F85A912448279111694F4Ba4F85dC641c54b594,842432970051785,0,0,6151,1622905781
15367641,0x0F85A912448279111694F4Ba4F85dC641c54b594,0x0F85A912448279111694F4Ba4F85dC641c54b594,6634433234139824,0,0,48210,1622905987
15367649,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x2589cfE3E2CC672fCFB83e9F7a5C302cDb57a4d8,0,843,115804826857903,0,1622906003
15367689,0x0F85A912448279111694F4Ba4F85dC641c54b594,0x0F85A912448279111694F4Ba4F85dC641c54b594,246029813668528,0,0,1780,1622906087
15367691,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x253ba6c8b005ae3989b5D02331518223222bDC96,0,840,115412218411858,0,1622906091
15367700,0x0F85A912448279111694F4Ba4F85dC641c54b594,0x0F85A912448279111694F4Ba4F85dC641c54b594,0,50,6869226677289,0,1622906109
15367725,0x0F85A912448279111694F4Ba4F85dC641c54b594,0x0F85A912448279111694F4Ba4F85dC641c54b594,56410986757693,0,0,408,1622906159
15367774,0x0F85A912448279111694F4Ba4F85dC641c54b594,0x0F85A912448279111694F4Ba4F85dC641c54b594,4000000000000000,0,0,28864,1622906261
15367847,0xF004CC1880D00f245CccE3e3C7d398313CEc488A,0x39cCEC1bf1e5ae0df9E337F1dE33C53D963B3dCE,1000000000000000,0,0,7192,1622906491
15368138,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x2589cfE3E2CC672fCFB83e9F7a5C302cDb57a4d8,0,3250,449305803117162,0,1622907141
15368563,0xF004CC1880D00f245CccE3e3C7d398313CEc488A,0xF004CC1880D00f245CccE3e3C7d398313CEc488A,0,8178,1129432812952186,0,1622908015
15368565,0xF004CC1880D00f245CccE3e3C7d398313CEc488A,0xF004CC1880D00f245CccE3e3C7d398313CEc488A,0,7595,1047432956908354,0,1622908019
15368565,0xF004CC1880D00f245CccE3e3C7d398313CEc488A,0xF004CC1880D00f245CccE3e3C7d398313CEc488A,0,7362,1013938619159369,0,1622908019
15368583,0xF004CC1880D00f245CccE3e3C7d398313CEc488A,0x39cCEC1bf1e5ae0df9E337F1dE33C53D963B3dCE,1000000000000000,0,0,7217,1622908059
15370022,0xb80478b000BA07DA638C851B9A5536A587a63c62,0xD729a51eE0Fe5970eE3E52b54a132098E4DDAE3b,215543255798879,0,0,1554,1622911153
15370913,0xF004CC1880D00f245CccE3e3C7d398313CEc488A,0x39cCEC1bf1e5ae0df9E337F1dE33C53D963B3dCE,1000000000000000,0,0,7206,1622913119
15370932,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x2589cfE3E2CC672fCFB83e9F7a5C302cDb57a4d8,79147566510278,0,0,569,1622913157
15371145,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x5EaBdc7D69908CAD892e898E3A261A5a97c0c5E2,926003029209725,0,0,6663,1622913599
15371319,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xE62Ec2e799305E0D367b0Cc3ee2CdA135bF89816,0,6663,920350782296068,0,1622913955
15371408,0x6b0b8c04599CE23b9cE318E8B591001f8b6833Af,0xadbF1854e5883eB8aa7BAf50705338739e558E5b,0,43437,5973044042221651,0,1622914141
15374098,0x90249ed4d69D70E709fFCd8beE2c5A566f65dADE,0x90249ed4d69D70E709fFCd8beE2c5A566f65dADE,0,847973,107977227148126888,0,1622920073
15374098,0xb80478b000BA07DA638C851B9A5536A587a63c62,0xD729a51eE0Fe5970eE3E52b54a132098E4DDAE3b,939652784760964,0,0,7886,1622920073
15374103,0xF004CC1880D00f245CccE3e3C7d398313CEc488A,0xFb3C30c86868259217E1F682cf7441dABB8D2256,1000000000000000,0,0,8382,1622920083
15374103,0xF004CC1880D00f245CccE3e3C7d398313CEc488A,0x24619c126cC93C6Dfb2cF4eCC5D4d7CFCe73c97D,1000000000000000,0,0,8370,1622920083
15374105,0xF004CC1880D00f245CccE3e3C7d398313CEc488A,0x39cCEC1bf1e5ae0df9E337F1dE33C53D963B3dCE,1000000000000000,0,0,8358,1622920087
15376349,0x0F85A912448279111694F4Ba4F85dC641c54b594,0x0F85A912448279111694F4Ba4F85dC641c54b594,214164483227284,0,0,1788,1622925229
15376702,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x2589cfE3E2CC672fCFB83e9F7a5C302cDb57a4d8,85009241423087,0,0,709,1622925955
15378788,0x21974CC0526a9C29915d0EB18d406c3a1511E9b5,0x21974CC0526a9C29915d0EB18d406c3a1511E9b5,0,2681,319108569301062,0,1622930689
15379847,0x0F85A912448279111694F4Ba4F85dC641c54b594,0x0F85A912448279111694F4Ba4F85dC641c54b594,1714838180905105,0,0,14307,1622933131
15379850,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x2589cfE3E2CC672fCFB83e9F7a5C302cDb57a4d8,106054034020503,0,0,883,1622933137
15382505,0x6b0b8c04599CE23b9cE318E8B591001f8b6833Af,0xadbF1854e5883eB8aa7BAf50705338739e558E5b,0,41563,4941441258267445,0,1622938739
15382508,0x21974CC0526a9C29915d0EB18d406c3a1511E9b5,0x21974CC0526a9C29915d0EB18d406c3a1511E9b5,0,3195,378439732480612,0,1622938745
15382530,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x2589cfE3E2CC672fCFB83e9F7a5C302cDb57a4d8,0,27556,3255624862456253,0,1622938793
15382547,0x6b0b8c04599CE23b9cE318E8B591001f8b6833Af,0xadbF1854e5883eB8aa7BAf50705338739e558E5b,0,40379,4743827059377146,0,1622938827
15382565,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x2589cfE3E2CC672fCFB83e9F7a5C302cDb57a4d8,0,55212,6435438783455047,0,1622938863
15382602,0x6b0b8c04599CE23b9cE318E8B591001f8b6833Af,0xadbF1854e5883eB8aa7BAf50705338739e558E5b,0,41121,4755138696510996,0,1622938941
15382603,0x21974CC0526a9C29915d0EB18d406c3a1511E9b5,0x21974CC0526a9C29915d0EB18d406c3a1511E9b5,0,5547,638985996533629,0,1622938943
15384582,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xE62Ec2e799305E0D367b0Cc3ee2CdA135bF89816,0,1254138,130962302438227261,0,1622943296
15384583,0xF3799810D8Ba94Ab9A3AC8027567769A4e78b617,0xD729a51eE0Fe5970eE3E52b54a132098E4DDAE3b,1428542539136078,0,0,14981,1622943298
15384583,0x6b0b8c04599CE23b9cE318E8B591001f8b6833Af,0xeA9C7dbEF5251e18D958D3d79E56cC66bD128D79,40519622650018426,0,0,411450,1622943298
15384585,0x21974CC0526a9C29915d0EB18d406c3a1511E9b5,0xeA9C7dbEF5251e18D958D3d79E56cC66bD128D79,552556928283698,0,0,5436,1622943302
15384586,0x21974CC0526a9C29915d0EB18d406c3a1511E9b5,0xD729a51eE0Fe5970eE3E52b54a132098E4DDAE3b,202840603999094,0,0,1994,1622943304
