block_number,sender,to,amount0In,amount1In,amount0Out,amount1Out,timestamps
23830954,0x84E5Bc3dF0df0f543648f250443c6f4077218312,0x84E5Bc3dF0df0f543648f250443c6f4077218312,21099199206754031708,0,0,1355585,1642433190
23832717,0x24bACeE5ba8Dc1a0F6f719884044363dbabB30b7,0x24bACeE5ba8Dc1a0F6f719884044363dbabB30b7,26608962347674889616,0,0,296655,1642437156
23833156,0x05a0726F7B585a1A060a6Df44DE62b2c10728F99,0xd989b6FBa21172A824507359bE211C827d21599d,0,105212,13373006107087852504,0,1642438062
23895729,0xd89266EcD972AB5730374d6d4794Ab52d2607a4F,0xc2755915a85C6f6c1C0F3a86ac8C058F11Caa9C9,342699192851614281461,0,0,3350085,1642572309
23950369,0x4CFf3E9409bEB4f824abB6F787C2A4d63C688d69,0xd989b6FBa21172A824507359bE211C827d21599d,0,1547188,160840927136622836743,0,1642690941
23963051,0x4CFf3E9409bEB4f824abB6F787C2A4d63C688d69,0x604229c960e5CACF2aaEAc8Be68Ac07BA9dF81c3,227171285078661580389,0,0,2155577,1642717536
23973215,0x4CFf3E9409bEB4f824abB6F787C2A4d63C688d69,0xF3180Ba9800f862Df8eDC962eC1fdd56e62b6B98,245220273167460236556,0,0,2201913,1642739486
23999856,0x4CFf3E9409bEB4f824abB6F787C2A4d63C688d69,0xb21C3387aa3dc5F476Ac8678e3F3C9520EB52eF9,308487541911618079472,0,0,2601620,1642799244
24007162,0x4CFf3E9409bEB4f824abB6F787C2A4d63C688d69,0x7cc2cc154081E8EA17Bfa4978f3fEef1169436E6,149321449995364050140,0,0,1196985,1642814603
24008846,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x170dFf1826595155D2cF50E6DF3b3649cAF74435,0,262144,32922048939523441205,0,1642818079
24015383,0x4CFf3E9409bEB4f824abB6F787C2A4d63C688d69,0xeBe3A0130fB171d55811d2699d936ae55cf03ca2,305535660125598381153,0,0,2349246,1642832107
24020535,0x4CFf3E9409bEB4f824abB6F787C2A4d63C688d69,0x65D43B64E3B31965Cd5EA367D4c2b94c03084797,157163103619175212309,0,0,1150672,1642843504
24035825,0x4CFf3E9409bEB4f824abB6F787C2A4d63C688d69,0x65D43B64E3B31965Cd5EA367D4c2b94c03084797,297522710119411539176,0,0,2079168,1642876752
