block_number,sender,to,amount0In,amount1In,amount0Out,amount1Out,timestamps
20258365,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xE4a43741Cf11F415636eA80E0aDDB3c26C317Ae6,100000000000000000,0,0,23956748097,1634337219
20259848,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xE4a43741Cf11F415636eA80E0aDDB3c26C317Ae6,100000000000000000,0,0,10275985744,1634340672
20259933,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xE4a43741Cf11F415636eA80E0aDDB3c26C317Ae6,100000000000000000,0,0,5712689428,1634340846
20331503,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xE4a43741Cf11F415636eA80E0aDDB3c26C317Ae6,166332999666332999,0,0,6292142926,1634523067
20331653,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xE4a43741Cf11F415636eA80E0aDDB3c26C317Ae6,83228921524309732,0,0,2493938661,1634523423
20332646,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xE4a43741Cf11F415636eA80E0aDDB3c26C317Ae6,66533199866533199,0,0,1781452716,1634525841
20334102,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xE4a43741Cf11F415636eA80E0aDDB3c26C317Ae6,44340730674861,0,0,1139799,1634529613
20334790,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xE4a43741Cf11F415636eA80E0aDDB3c26C317Ae6,44311234163319,0,0,1138980,1634531289
20335958,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xE4a43741Cf11F415636eA80E0aDDB3c26C317Ae6,65126806839055577,0,0,1611193580,1634534219
20336473,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x04358Ba7DDc99c119d052f16eb78182163d764Be,64983507492237139,0,0,1491364093,1634535409
20336512,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x04358Ba7DDc99c119d052f16eb78182163d764Be,65190357446666792,0,0,1391634215,1634535491
20355266,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x04358Ba7DDc99c119d052f16eb78182163d764Be,67987797808783663,0,0,1351317890,1634584545
22975382,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xA17F7De14EE47eFb1c822a7610781c3679bCDf92,100000000000000000,0,0,1823337444,1640501470
