block_number,sender,to,amount0In,amount1In,amount0Out,amount1Out,timestamps
16274957,0x03d81DFf3e603B53203bF62e997cADB09f92965d,0xc30D6Bc42911Aa21A63E51c7121B33b3E65cC3c4,622096186103024270985,0,0,1230989642363867479968,1624943383
16276521,0x03d81DFf3e603B53203bF62e997cADB09f92965d,0xc30D6Bc42911Aa21A63E51c7121B33b3E65cC3c4,123156050251334349458,0,0,255615993105457899339,1624946863
16339232,0x1DE7a822A3C3dC50EE63cC06babDe277a876909E,0x90249ed4d69D70E709fFCd8beE2c5A566f65dADE,39859526083579313,0,0,62531853894737776,1625086846
16371114,0xf209F26F8814b23B534be10bEadfD6b119FeD286,0xc30D6Bc42911Aa21A63E51c7121B33b3E65cC3c4,18623606725556910,0,0,22682103934235963,1625157493
16383253,0x7CFF570cF0E1b6C43CbBC97b612bC7Ce0C4F6b3D,0xc30D6Bc42911Aa21A63E51c7121B33b3E65cC3c4,11173828951920654,0,0,12111469906109619,1625183876
16401674,0xaa2BD5869229a970D097464a4b80b1689e513c05,0xc30D6Bc42911Aa21A63E51c7121B33b3E65cC3c4,22628217771507574,0,0,21724683531661279,1625223738
16442347,0xdAE326778Dcd31249dA66527749d04Ce0f63b508,0xc30D6Bc42911Aa21A63E51c7121B33b3E65cC3c4,88174423140098921,0,0,123652497173015958,1625311810
16442410,0xa0Fbc4798822F55ede9fBF0169e187C36Aef3B2b,0xc30D6Bc42911Aa21A63E51c7121B33b3E65cC3c4,11001474193983092262,0,0,9112872027578233598,1625311940
16442557,0xEee49495242dA9E0BdbE29a7098388CEa8348dE4,0xc30D6Bc42911Aa21A63E51c7121B33b3E65cC3c4,4280126818857957818,0,0,3166340572751111934,1625312242
16449521,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x8f9bE4310f9AbB0E5843Cc6363908C9B01dfeB3F,1507252522400927370,0,0,979753347110035731,1625327459
16466662,0x0F85A912448279111694F4Ba4F85dC641c54b594,0x07de8ef0FB65937A9cE63967B2A48954611C07bf,234261712531259,0,0,147460731851978,1625365955
16478663,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xCE6d09bAA855f686bf3311f1BE7878c5DDcfD1A2,1332431405835016801,0,0,815982373929017635,1625392860
16478817,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xF8b4858b6fF5DB2AeB36c88C8Bdac71F5dA417B1,0,82434866407762100,137157794989665243,0,1625393176
16488581,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x9F985f2363ca31052A939C0D157217D280cB6cb8,68263657179346893,0,0,40840100721908477,1625414103
16489978,0x1883ACFD428158566358bb103f11204f1106b199,0x022268Fc83395ACE2BD0129A8D752E35C24Ff90d,2680713055635784167,0,0,1518609187692709306,1625416981
16495642,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x5e53Ce97fCd3AbE46F1aB45abB3e9A9C5e19F193,940329379658765541,0,0,496015362235854441,1625429250
16514343,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xCE6d09bAA855f686bf3311f1BE7878c5DDcfD1A2,1089590816477548080,0,0,553034401510935312,1625469684
16523189,0x90249ed4d69D70E709fFCd8beE2c5A566f65dADE,0x90249ed4d69D70E709fFCd8beE2c5A566f65dADE,519709136352800202,0,0,255954281266584306,1625488451
16523553,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x8f9bE4310f9AbB0E5843Cc6363908C9B01dfeB3F,1943302537407814357,0,0,915148792226785101,1625489203
16534965,0xa116730cc09Ac7b36Cb7285b531D322A36555Ee9,0xa116730cc09Ac7b36Cb7285b531D322A36555Ee9,1149460186728223724,0,0,512100644601394857,1625514177
16541326,0xa116730cc09Ac7b36Cb7285b531D322A36555Ee9,0xc30D6Bc42911Aa21A63E51c7121B33b3E65cC3c4,1332207740244525932,0,0,568416256908437182,1625528323
16543494,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xBD309e2D606405C28f23e494Da92951939d07722,289663438013380366,0,0,120188715229713032,1625533185
16556157,0x1883ACFD428158566358bb103f11204f1106b199,0x022268Fc83395ACE2BD0129A8D752E35C24Ff90d,1066344075955630772,0,0,432467634536797934,1625561734
16558932,0xa116730cc09Ac7b36Cb7285b531D322A36555Ee9,0xa116730cc09Ac7b36Cb7285b531D322A36555Ee9,1396875159746168391,0,0,543806441385790545,1625567848
16559304,0xa116730cc09Ac7b36Cb7285b531D322A36555Ee9,0x022268Fc83395ACE2BD0129A8D752E35C24Ff90d,2430728777734209455,0,0,889593748987619572,1625568744
16565161,0xa116730cc09Ac7b36Cb7285b531D322A36555Ee9,0xa116730cc09Ac7b36Cb7285b531D322A36555Ee9,3297110140607512119,0,0,1103781998982478974,1625581392
16573237,0xa116730cc09Ac7b36Cb7285b531D322A36555Ee9,0x022268Fc83395ACE2BD0129A8D752E35C24Ff90d,1916149641520046937,0,0,593047523229664602,1625598978
16581042,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x8f9bE4310f9AbB0E5843Cc6363908C9B01dfeB3F,2085947785122974824,0,0,609299482987013200,1625616240
16588296,0xa116730cc09Ac7b36Cb7285b531D322A36555Ee9,0x022268Fc83395ACE2BD0129A8D752E35C24Ff90d,4252040602214627564,0,0,1137695145724877154,1625631975
16595634,0xa116730cc09Ac7b36Cb7285b531D322A36555Ee9,0xa116730cc09Ac7b36Cb7285b531D322A36555Ee9,1780309534206414833,0,0,439110334309753965,1625648321
16597733,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x8f9bE4310f9AbB0E5843Cc6363908C9B01dfeB3F,1771151639963732499,0,0,417209858475987780,1625652779
16603154,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xEf94af0495DDc90f0D81AD2487578e9C554C40e9,831606390664001501,0,0,189501223070683019,1625664479
16609458,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xc30D6Bc42911Aa21A63E51c7121B33b3E65cC3c4,215140631722867097,0,0,48383197973242098,1625678646
16609799,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xc30D6Bc42911Aa21A63E51c7121B33b3E65cC3c4,22511444404899088,0,0,5047576438422341,1625679352
16610326,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xc30D6Bc42911Aa21A63E51c7121B33b3E65cC3c4,20427772942850174,0,0,4577913997755851,1625680484
