block_number,sender,to,amount0In,amount1In,amount0Out,amount1Out,timestamps
18740793,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x1F62Bec8216A99C8FE14201A7e54DFdeB7927113,5000000000000000,0,0,2425412013882497,1630764537
18740793,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x1F62Bec8216A99C8FE14201A7e54DFdeB7927113,5000000000000000,0,0,2413363297619134,1630764537
18740793,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x1F62Bec8216A99C8FE14201A7e54DFdeB7927113,5000000000000000,0,0,2401404185007017,1630764537
18740793,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x1F62Bec8216A99C8FE14201A7e54DFdeB7927113,5000000000000000,0,0,2389533789540072,1630764537
18740793,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x1F62Bec8216A99C8FE14201A7e54DFdeB7927113,5000000000000000,0,0,2377751235650262,1630764537
18740917,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x1F62Bec8216A99C8FE14201A7e54DFdeB7927113,5000000000000000,0,0,2984789101133,1630764793
18936435,0x5E3f2DdE450BF42fF70f56C9ca41C6F34777c420,0x5E3f2DdE450BF42fF70f56C9ca41C6F34777c420,0,10554734984,3688174827257598,0,1631233705
19032684,0xcF6Bb16b3E9f3ef96b604b76ff34e8dC23329d05,0xcF6Bb16b3E9f3ef96b604b76ff34e8dC23329d05,1191276960650167,0,0,6785279825,1631468980
19177458,0x85D46c795874562AFa6dA95C2c8e4683C9D49f60,0x85D46c795874562AFa6dA95C2c8e4683C9D49f60,0,1767226196797,2498704015887605,0,1631813328
24885596,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xe5AC7Ad148E5c29650b40b6EBA4a8a612e4C8fCA,5339588578829,0,0,590401132025,1644740360
24885754,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xe5AC7Ad148E5c29650b40b6EBA4a8a612e4C8fCA,8009382868243,0,0,393994749433,1644740754
24886587,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xe5AC7Ad148E5c29650b40b6EBA4a8a612e4C8fCA,12014074302365,0,0,262926092381,1644742472
