block_number,sender,to,amount0In,amount1In,amount0Out,amount1Out,timestamps
18907359,0x84E5Bc3dF0df0f543648f250443c6f4077218312,0x84E5Bc3dF0df0f543648f250443c6f4077218312,968423502000000000,0,0,982456652930769184736,1631164829
18907359,0xEA8A67728E817Eb63b3B794AA3b3A89E8cbA475B,0xb556feD3B348634a9A010374C406824Ae93F0CF8,2778400557286780654,0,0,594843980486149214185,1631164829
18907537,0x104e6d0deA53F7bC7bb22b0E8633D4EA62d73DB7,0x104e6d0deA53F7bC7bb22b0E8633D4EA62d73DB7,0,106183922232514382767,950733661080304261,0,1631165197
18909247,0x10FD6824e54756F609bF08EF223E31c7e4d94E47,0xb556feD3B348634a9A010374C406824Ae93F0CF8,2915069580078125056,0,0,398493318477707020387,1631168722
18909411,0xf3bD012FEbBa4B181eE3a1939b134e07e7635cfE,0xf3bD012FEbBa4B181eE3a1939b134e07e7635cfE,1000000000,0,0,134525564839,1631169062
18909411,0xf3bD012FEbBa4B181eE3a1939b134e07e7635cfE,0xf3bD012FEbBa4B181eE3a1939b134e07e7635cfE,0,134525564839,994009003,0,1631169062
18910218,0x1F60Fb0ab527471EF9165E14B692A0825E2f97d5,0xb556feD3B348634a9A010374C406824Ae93F0CF8,632232666015624960,0,0,84860921214180657715,1631170864
18929195,0xdBDFC363C5F6Cb5a2e9112F9253084327700192c,0xdBDFC363C5F6Cb5a2e9112F9253084327700192c,0,24094923048857733358,171356798648879275,0,1631215938
18965885,0x24bACeE5ba8Dc1a0F6f719884044363dbabB30b7,0x24bACeE5ba8Dc1a0F6f719884044363dbabB30b7,0,68030488084679774350,461948461583260590,0,1631305990
18965904,0x24bACeE5ba8Dc1a0F6f719884044363dbabB30b7,0x24bACeE5ba8Dc1a0F6f719884044363dbabB30b7,0,100431100764231281934,676272810957537424,0,1631306032
18968526,0x484F20426f84836648D75f81fd3213694c38c4BF,0xb556feD3B348634a9A010374C406824Ae93F0CF8,1363462860449076828,0,0,200269106315275028841,1631311832
