block_number,sender,to,amount0In,amount1In,amount0Out,amount1Out,timestamps
19920282,0x99c1C5478b00Afc2Fc1BD946C7e704ebcf77794D,0x29A92B95Be45D5Bdd638b749798F0feE107FDBc7,0,1452213060208499642,1447646,0,1633554723
19920310,0x414C478cc06b4b862F97Cb31E7D78de3Ff2f6DA1,0x414C478cc06b4b862F97Cb31E7D78de3Ff2f6DA1,0,31208547067824954412,31009191,0,1633554779
19920315,0x24bACeE5ba8Dc1a0F6f719884044363dbabB30b7,0x24bACeE5ba8Dc1a0F6f719884044363dbabB30b7,0,8471352634328795766,8384013,0,1633554789
19943223,0x4b7536c40074cb9b877C3C46157F5C29140c1C59,0xDf45B5B68d9dC84173DD963c763AeA8CAD3E24A6,47843750,0,0,47863506839288907194,1633606431
19943237,0x4b7536c40074cb9b877C3C46157F5C29140c1C59,0xDf45B5B68d9dC84173DD963c763AeA8CAD3E24A6,24421875,0,0,24256218655209980860,1633606463
19974370,0x4b7536c40074cb9b877C3C46157F5C29140c1C59,0x63C7864E4186E7145D3d0ed14DC0d78fB22f3492,6855468,0,0,6787775620610705705,1633676057
19974427,0x99c1C5478b00Afc2Fc1BD946C7e704ebcf77794D,0xDf45B5B68d9dC84173DD963c763AeA8CAD3E24A6,6785145,0,0,6709042280547256292,1633676175
19974792,0x99c1C5478b00Afc2Fc1BD946C7e704ebcf77794D,0xDf45B5B68d9dC84173DD963c763AeA8CAD3E24A6,7014758,0,0,6926577019276078505,1633676964
19975384,0xb20D42e335f203D4421CaB57A543B29ea590E69E,0x63C7864E4186E7145D3d0ed14DC0d78fB22f3492,16258781,0,0,16017380767026982489,1633678313
19975691,0x99c1C5478b00Afc2Fc1BD946C7e704ebcf77794D,0x63C7864E4186E7145D3d0ed14DC0d78fB22f3492,1225299,0,0,1205012070556213550,1633678947
19976843,0x99c1C5478b00Afc2Fc1BD946C7e704ebcf77794D,0xDf45B5B68d9dC84173DD963c763AeA8CAD3E24A6,11314031,0,0,11112911835190252757,1633681541
19977451,0x99c1C5478b00Afc2Fc1BD946C7e704ebcf77794D,0xDf45B5B68d9dC84173DD963c763AeA8CAD3E24A6,2934337,0,0,2878108011048289730,1633682921
19978739,0x4b7536c40074cb9b877C3C46157F5C29140c1C59,0xDf45B5B68d9dC84173DD963c763AeA8CAD3E24A6,12710937,0,0,12448102220029519867,1633685707
19979811,0x47195A1fF06914DF29D65de40fa9BEc8c1d252B1,0x63C7864E4186E7145D3d0ed14DC0d78fB22f3492,13549805,0,0,13235226842756765601,1633688151
19983777,0x99c1C5478b00Afc2Fc1BD946C7e704ebcf77794D,0xDf45B5B68d9dC84173DD963c763AeA8CAD3E24A6,3167537,0,0,3088889087495300249,1633696868
19984592,0x4b7536c40074cb9b877C3C46157F5C29140c1C59,0xDf45B5B68d9dC84173DD963c763AeA8CAD3E24A6,24421875,0,0,23750885706188172569,1633698831
19985777,0x4b7536c40074cb9b877C3C46157F5C29140c1C59,0xDf45B5B68d9dC84173DD963c763AeA8CAD3E24A6,24421875,0,0,23636954270537142557,1633701291
19988319,0x4b7536c40074cb9b877C3C46157F5C29140c1C59,0xDf45B5B68d9dC84173DD963c763AeA8CAD3E24A6,24421875,0,0,23523841062351489030,1633706919
19999151,0xa81cE04168e41A47F68a975d67a00fbeF729af9B,0x63C7864E4186E7145D3d0ed14DC0d78fB22f3492,97604126,0,0,92902707408340403442,1633730621
19999154,0x4b7536c40074cb9b877C3C46157F5C29140c1C59,0xDf45B5B68d9dC84173DD963c763AeA8CAD3E24A6,12710937,0,0,11969161584057082891,1633730627
20008637,0x99c1C5478b00Afc2Fc1BD946C7e704ebcf77794D,0xDf45B5B68d9dC84173DD963c763AeA8CAD3E24A6,8208987,0,0,7714266775443273198,1633751734
20010372,0x99c1C5478b00Afc2Fc1BD946C7e704ebcf77794D,0x63C7864E4186E7145D3d0ed14DC0d78fB22f3492,4072154,0,0,3822190822755725137,1633755573
20010375,0x24bACeE5ba8Dc1a0F6f719884044363dbabB30b7,0x63C7864E4186E7145D3d0ed14DC0d78fB22f3492,1966636,0,0,1844837414222523000,1633755579
20011295,0x24bACeE5ba8Dc1a0F6f719884044363dbabB30b7,0x63C7864E4186E7145D3d0ed14DC0d78fB22f3492,1106727,0,0,1037875756623086212,1633757475
20011837,0x414C478cc06b4b862F97Cb31E7D78de3Ff2f6DA1,0x63C7864E4186E7145D3d0ed14DC0d78fB22f3492,30717975,0,0,28718622091269219533,1633758591
20012103,0x99c1C5478b00Afc2Fc1BD946C7e704ebcf77794D,0x63C7864E4186E7145D3d0ed14DC0d78fB22f3492,1309049,0,0,1220059516283224347,1633759271
20012903,0x99c1C5478b00Afc2Fc1BD946C7e704ebcf77794D,0x63C7864E4186E7145D3d0ed14DC0d78fB22f3492,1800987,0,0,1678051987474892216,1633761047
20014094,0x24bACeE5ba8Dc1a0F6f719884044363dbabB30b7,0x63C7864E4186E7145D3d0ed14DC0d78fB22f3492,1104911,0,0,1029201325850102150,1633763505
20014471,0x24bACeE5ba8Dc1a0F6f719884044363dbabB30b7,0x63C7864E4186E7145D3d0ed14DC0d78fB22f3492,5096228,0,0,4744193848225448676,1633764315
20014471,0x414C478cc06b4b862F97Cb31E7D78de3Ff2f6DA1,0x63C7864E4186E7145D3d0ed14DC0d78fB22f3492,122878557,0,0,112997554988725031533,1633764315
20014471,0xa81cE04168e41A47F68a975d67a00fbeF729af9B,0xDf45B5B68d9dC84173DD963c763AeA8CAD3E24A6,22719248,0,0,20602839312107005894,1633764315
20014998,0x99c1C5478b00Afc2Fc1BD946C7e704ebcf77794D,0x63C7864E4186E7145D3d0ed14DC0d78fB22f3492,1472279,0,0,1332054769993242628,1633765559
20015257,0x99c1C5478b00Afc2Fc1BD946C7e704ebcf77794D,0x63C7864E4186E7145D3d0ed14DC0d78fB22f3492,3518100,0,0,3181517202047636273,1633766179
20016264,0x99c1C5478b00Afc2Fc1BD946C7e704ebcf77794D,0x63C7864E4186E7145D3d0ed14DC0d78fB22f3492,1524595,0,0,1378073362612549641,1633768257
20024452,0xEA8A67728E817Eb63b3B794AA3b3A89E8cbA475B,0xEA8A67728E817Eb63b3B794AA3b3A89E8cbA475B,0,372161430402607747959,393978716,0,1633787183
20024452,0xF55ea5C3a05D30554686044beDa1b757a1dfCF98,0xF55ea5C3a05D30554686044beDa1b757a1dfCF98,81704561,0,0,79077857173838462976,1633787183
20024536,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xF55ea5C3a05D30554686044beDa1b757a1dfCF98,0,125853465938117562016,128654930,0,1633787355
20024538,0xb20D42e335f203D4421CaB57A543B29ea590E69E,0xDf45B5B68d9dC84173DD963c763AeA8CAD3E24A6,31517562,0,0,30942768409614541066,1633787359
20024596,0xb20D42e335f203D4421CaB57A543B29ea590E69E,0xb20D42e335f203D4421CaB57A543B29ea590E69E,0,31268766889296664505,31658362,0,1633787479
20025942,0x4b7536c40074cb9b877C3C46157F5C29140c1C59,0x4b7536c40074cb9b877C3C46157F5C29140c1C59,0,12664246082829740504,12765519,0,1633790900
20031788,0x99c1C5478b00Afc2Fc1BD946C7e704ebcf77794D,0x5E58e0CeD3a272CAeb8bA00F4A4C2805Df6BE495,0,3067891295577256490,3087543,0,1633804177
20034222,0x99c1C5478b00Afc2Fc1BD946C7e704ebcf77794D,0x2F051dB1634eEa2081590860ab8E756D452f2239,0,3688630833489648770,3709746,0,1633809235
