block_number,sender,to,amount0In,amount1In,amount0Out,amount1Out,timestamps
17293342,0x29ee020c6b9B9092d03Ad8F0e1293F936e48E7E3,0x7e22CE0354D078fe846c35672462B546352F6275,0,1089681511516414667,4164667979381837,0,1627312605
17296824,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x7e22CE0354D078fe846c35672462B546352F6275,0,229217885765111658,832171687200869,0,1627320661
17297027,0x29ee020c6b9B9092d03Ad8F0e1293F936e48E7E3,0x7e22CE0354D078fe846c35672462B546352F6275,0,160560217821891341,574341161135408,0,1627321083
17297667,0xf045a0d540f5Ce82C0090E08740204878B29C673,0xD911C52c6724AD980C9a5229082AF2322d812F77,1508711893017964,0,0,415185848126928463,1627322568
17301674,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x8929D3FEa77398F64448c85015633c2d6472fB29,2460450351304434,0,0,649833032314226087,1627333166
17302915,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x8929D3FEa77398F64448c85015633c2d6472fB29,842468915753993,0,0,215105708301007572,1627336789
17307161,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x8929D3FEa77398F64448c85015633c2d6472fB29,1638058118644703,0,0,407977347228651543,1627349271
17307965,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x8929D3FEa77398F64448c85015633c2d6472fB29,835596380030337,0,0,203058672011185553,1627351452
17318722,0x22160911A56Bbda683AC09335886Eb570E340dAc,0x22160911A56Bbda683AC09335886Eb570E340dAc,0,303034980552582358,1234629908040520,0,1627379697
17320353,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x7e22CE0354D078fe846c35672462B546352F6275,0,212595751286575675,848391715824582,0,1627383458
17321888,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x7e22CE0354D078fe846c35672462B546352F6275,0,217250329664400914,852270961484373,0,1627386892
17329117,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x8929D3FEa77398F64448c85015633c2d6472fB29,1561407441295335,0,0,392862496442959445,1627403114
17337008,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x7e22CE0354D078fe846c35672462B546352F6275,0,400908353905508272,1583485228593910,0,1627421584
17366064,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x8929D3FEa77398F64448c85015633c2d6472fB29,1561496633787476,0,0,393095926249258758,1627495365
17407300,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x7e22CE0354D078fe846c35672462B546352F6275,0,422089129114539726,1664876900710222,0,1627600670
17421722,0x22160911A56Bbda683AC09335886Eb570E340dAc,0x22160911A56Bbda683AC09335886Eb570E340dAc,1023068684673546,0,0,259501354553250949,1627637346
17431656,0xF4C288FEaaEdE002FcF548ff5070182Db982707D,0x7e22CE0354D078fe846c35672462B546352F6275,0,569633161663851992,2205534282119285,0,1627665432
17431706,0xB64a0e367cdffE14e62B6D145254f2838D0e329a,0x7e22CE0354D078fe846c35672462B546352F6275,0,1376307575141995578,4946185396374917,0,1627665536
17436172,0x22160911A56Bbda683AC09335886Eb570E340dAc,0x22160911A56Bbda683AC09335886Eb570E340dAc,0,307461923093464952,1036973943844752,0,1627676237
17441160,0x13f28ea70D7d1FD35bc53CD257c5c58E103f979A,0x7e22CE0354D078fe846c35672462B546352F6275,0,259880247910074188,858510609231319,0,1627689402
17470367,0xCDAb30C2110DBd4C94CF50C0c22Ce08DcD9452b0,0x8929D3FEa77398F64448c85015633c2d6472fB29,7202634129548684,0,0,2027216078881539817,1627761257
17475595,0x22160911A56Bbda683AC09335886Eb570E340dAc,0x22160911A56Bbda683AC09335886Eb570E340dAc,0,264780707431013307,999129717099234,0,1627773246
17482540,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x7e22CE0354D078fe846c35672462B546352F6275,0,456650086951322584,1675965573627187,0,1627789559
17493762,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x8929D3FEa77398F64448c85015633c2d6472fB29,1659815576221817,0,0,449661802329498513,1627815483
