block_number,sender,to,amount0In,amount1In,amount0Out,amount1Out,timestamps
15758323,0xC9145AB42a5A13E370572817813f1154c3C6B748,0x71E600Fe09d1d8EfCb018634Ac3Ee53f8380c94A,0,18970276576413198,29901570788896520,0,1623791375
15758363,0xF3B98A680bb5eE9Ea8ADdCEb21d7EbBF72aaAC02,0x71E600Fe09d1d8EfCb018634Ac3Ee53f8380c94A,0,9008487126948285,12979363340380127,0,1623791459
15758529,0x22160911A56Bbda683AC09335886Eb570E340dAc,0x35c1895DAC1e2432b320e2927b4F71a0D995602F,15850560507237906,0,0,10870980237070311,1623791967
15758584,0xC9145AB42a5A13E370572817813f1154c3C6B748,0x8AF511761c74aF631258D8ee6096679Ff4838CDe,34621731848455649,0,0,21388329311224909,1623792187
15758631,0xF3B98A680bb5eE9Ea8ADdCEb21d7EbBF72aaAC02,0x8AF511761c74aF631258D8ee6096679Ff4838CDe,20153383869024464,0,0,11159253530836010,1623792299
15758680,0x22160911A56Bbda683AC09335886Eb570E340dAc,0x35c1895DAC1e2432b320e2927b4F71a0D995602F,3503751059309833,0,0,1853725870200705,1623792401
15758837,0xF3B98A680bb5eE9Ea8ADdCEb21d7EbBF72aaAC02,0x8AF511761c74aF631258D8ee6096679Ff4838CDe,10411133568947374,0,0,5367014632110493,1623792723
15758954,0xF3B98A680bb5eE9Ea8ADdCEb21d7EbBF72aaAC02,0x8AF511761c74aF631258D8ee6096679Ff4838CDe,32404420646307151,0,0,15461439856775045,1623792965
15759056,0xF3B98A680bb5eE9Ea8ADdCEb21d7EbBF72aaAC02,0x71E600Fe09d1d8EfCb018634Ac3Ee53f8380c94A,0,7483689731577968,16060925896538050,0,1623793177
15759112,0xC9145AB42a5A13E370572817813f1154c3C6B748,0x71E600Fe09d1d8EfCb018634Ac3Ee53f8380c94A,0,18485954705238642,36067552699652672,0,1623793311
15759182,0xC9145AB42a5A13E370572817813f1154c3C6B748,0x71E600Fe09d1d8EfCb018634Ac3Ee53f8380c94A,0,18612547581549979,31885965065205012,0,1623793565
15759424,0x22160911A56Bbda683AC09335886Eb570E340dAc,0x35c1895DAC1e2432b320e2927b4F71a0D995602F,9397879579009854,0,0,5699776896359327,1623794193
15759617,0x22160911A56Bbda683AC09335886Eb570E340dAc,0xa6eeE8cEcb58b8FdCa7127CB2780bbc129300fd5,0,3865668811414009,6374674156876156,0,1623794591
15760010,0x67215c1FeE324c019e80af6Ed3a063605dC94c52,0x67215c1FeE324c019e80af6Ed3a063605dC94c52,19227246768164234,0,0,11300692978175919,1623795401
15761024,0x22160911A56Bbda683AC09335886Eb570E340dAc,0x35c1895DAC1e2432b320e2927b4F71a0D995602F,5467392419756356,0,0,3060259753141174,1623797749
15761536,0xC9145AB42a5A13E370572817813f1154c3C6B748,0x8AF511761c74aF631258D8ee6096679Ff4838CDe,39676972065885732,0,0,20414189466838966,1623798881
15761536,0xC9145AB42a5A13E370572817813f1154c3C6B748,0xe4984fC367ab9a8c9DC6978D5C0D22C6626c6c54,39676551381047986,0,0,17704616979012345,1623798881
15761795,0x22160911A56Bbda683AC09335886Eb570E340dAc,0xa6eeE8cEcb58b8FdCa7127CB2780bbc129300fd5,0,5903541389399387,13762094899940219,0,1623799751
15761927,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x2589cfE3E2CC672fCFB83e9F7a5C302cDb57a4d8,0,4751039061821180,10622406902491319,0,1623800023
15762140,0x22160911A56Bbda683AC09335886Eb570E340dAc,0xa6eeE8cEcb58b8FdCa7127CB2780bbc129300fd5,0,6279431040212836,13459289109855831,0,1623800461
15762223,0x49105799B8419570cfF4EceB109886020C327c5b,0x085857a69BD877BA077557d3835844e225e6b39D,0,6529774971592315,13340040103393208,0,1623800631
15762337,0x44D46f0A7D4c4839BE2DA078Fd8581e9109476Ed,0x085857a69BD877BA077557d3835844e225e6b39D,0,7280577159959772,14141999739968841,0,1623800960
15762581,0x774a613bFd9B7AFe88Bca7e791230b4c572d191A,0x085857a69BD877BA077557d3835844e225e6b39D,0,6540521677504016,12093037210026866,0,1623801652
15763284,0x22160911A56Bbda683AC09335886Eb570E340dAc,0x35c1895DAC1e2432b320e2927b4F71a0D995602F,13718503843769938,0,0,7353800872510199,1623803102
15763290,0xe17f757710B7FE598C9d5850Ae3ccA6eB69e4ccc,0x1b29D2Af57e90111AebC69b2f757a7263cb54932,13380417627838956,0,0,6817604808443171,1623803114
15763835,0x34DE7FA06Ad0B7C9de0514FC0CaDE2476db2C6E0,0xA79983Daf2A92c2C902cD74217Efe3D8AF9Fba2a,10030493032206319,0,0,4896140650675276,1623804492
15764456,0xbA704f21Dd900d675941D0a7E2256F029135cBB0,0x1b29D2Af57e90111AebC69b2f757a7263cb54932,9114503251130695,0,0,4298727355304468,1623805902
15765251,0x22160911A56Bbda683AC09335886Eb570E340dAc,0x35c1895DAC1e2432b320e2927b4F71a0D995602F,11619912312645138,0,0,5283943933955985,1623807800
