block_number,sender,to,amount0In,amount1In,amount0Out,amount1Out,timestamps
24957783,0xc1b4eb1fe54bEfE3d24ABe710fbe09EF82537e2f,0xc1b4eb1fe54bEfE3d24ABe710fbe09EF82537e2f,135287284,0,0,13855409701,1644900966
24957849,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x4600f1BA62fFc703947Bd917c057f7B366b9d4F9,197440000,0,0,20087328850,1644901115
24957851,0x4CFf3E9409bEB4f824abB6F787C2A4d63C688d69,0x1A9EFC7507D3Bb3206cA5baBb4dF9e168Bd5cDEE,0,5839297103,57210649,0,1644901119
24961174,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x4600f1BA62fFc703947Bd917c057f7B366b9d4F9,0,9240000000,90263557,0,1644908559
24962134,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x1d226020F9dEB6D2A9Bc96863AA1d21738da6D52,11000000,0,0,1121063987,1644910544
24963664,0x4CFf3E9409bEB4f824abB6F787C2A4d63C688d69,0xB7f111a117FBA75aEE58a94A1ec0dA59e5E6AC6D,60887314,0,0,6196471488,1644913716
24966958,0x24bACeE5ba8Dc1a0F6f719884044363dbabB30b7,0xB7f111a117FBA75aEE58a94A1ec0dA59e5E6AC6D,105199444,0,0,10670854661,1644920914
24967009,0x8a6ceC6d689D87143cf9306E08c8015a5Db8aeAC,0x8a6ceC6d689D87143cf9306E08c8015a5Db8aeAC,123826932,0,0,12503438058,1644921020
24967009,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xF9C5e78eaDbAd0E283fe378b7d9AaB475fa5f376,348150000,0,0,34828804319,1644921020
24967011,0x24bACeE5ba8Dc1a0F6f719884044363dbabB30b7,0x24bACeE5ba8Dc1a0F6f719884044363dbabB30b7,0,7947660403,79389535,0,1644921024
24967014,0x8a6ceC6d689D87143cf9306E08c8015a5Db8aeAC,0x8a6ceC6d689D87143cf9306E08c8015a5Db8aeAC,0,12503438057,124396127,0,1644921030
24972386,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xd0966582f07797e0846a1b67539f007b302D53B3,69682969,0,0,6969681929,1644932294
24987469,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x1d226020F9dEB6D2A9Bc96863AA1d21738da6D52,0,5778675300,57443021,0,1644966015
24990236,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x4600f1BA62fFc703947Bd917c057f7B366b9d4F9,76954000,0,0,7692170343,1644971878
24992407,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x4600f1BA62fFc703947Bd917c057f7B366b9d4F9,0,10261200000,101989632,0,1644976403
24992706,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x4600f1BA62fFc703947Bd917c057f7B366b9d4F9,64645000,0,0,6469810487,1644977021
24992707,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x4600f1BA62fFc703947Bd917c057f7B366b9d4F9,140945000,0,0,14049133534,1644977023
24992711,0x4CFf3E9409bEB4f824abB6F787C2A4d63C688d69,0x1A9EFC7507D3Bb3206cA5baBb4dF9e168Bd5cDEE,0,12605336100,125740489,0,1644977031
24997070,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x1d226020F9dEB6D2A9Bc96863AA1d21738da6D52,122233500,0,0,12181371340,1644986298
