block_number,sender,to,amount0In,amount1In,amount0Out,amount1Out,timestamps
16510208,0xbfED3a8B27F35A8cc6b7B75F11B438a163F97218,0x86F31eABac8EBF7F68ac25C42BDa92CdbF8ea50D,0,32590913601570341,23265329752113948,0,1625460886
16939639,0x84148b420F828da7236448306eCAc42344Fc48c7,0xB6c3740728Ecd2498bA9754c5e107ED291B93761,1438994186982541,0,0,3737476297044163,1626478066
16950833,0x84148b420F828da7236448306eCAc42344Fc48c7,0xB6c3740728Ecd2498bA9754c5e107ED291B93761,1407478887103869,0,0,3266743462010662,1626504263
17189307,0x84148b420F828da7236448306eCAc42344Fc48c7,0x40F0A05C8c7a86aD1491A3911c293e093fe92436,0,2042185424626093,892401104291691,0,1627067047
17202959,0x84148b420F828da7236448306eCAc42344Fc48c7,0x4c38938E21cB9796932B0B0Cc3f8a088f07b49B0,275892676429907,0,0,642480330337855,1627095921
17303171,0x28E73C83C0f85784543300B96A1A3c2e900F7a35,0x40F0A05C8c7a86aD1491A3911c293e093fe92436,0,6567545230075082,2555881465725818,0,1627337575
17405639,0x971776ce2cc3960429296F659e9207C252EE4889,0x971776ce2cc3960429296F659e9207C252EE4889,690987306898750,0,0,1901409423317267,1627596864
17710874,0x28E73C83C0f85784543300B96A1A3c2e900F7a35,0x40F0A05C8c7a86aD1491A3911c293e093fe92436,0,7206566389924126,2412894209107210,0,1628323164
17841475,0x28E73C83C0f85784543300B96A1A3c2e900F7a35,0x40F0A05C8c7a86aD1491A3911c293e093fe92436,0,7970353544028187,2164110079841521,0,1628624054
18991236,0x28E73C83C0f85784543300B96A1A3c2e900F7a35,0xeBC4f9B1cE66258AC3A48578FFEEba1330dDB68B,0,12446409961809388,2635576010548446,0,1631365370
19905094,0x8733354ae494a1E1d0bDfb55880917a754398363,0xeBC4f9B1cE66258AC3A48578FFEEba1330dDB68B,0,1129248689892490,204504021722799,0,1633518592
19905094,0x8733354ae494a1E1d0bDfb55880917a754398363,0xeBC4f9B1cE66258AC3A48578FFEEba1330dDB68B,0,1653128966902,295766140036,0,1633518592
20785582,0x14E0B0fbf08A0cc7735F137fF600878416ccBa2B,0x1b9C54a3b92b3423e6EAbfef4247052686eA7002,0,4299749572037227,735630521619018,0,1635609688
20855449,0xe7A75388ed4c0aA933665fBB10ac64cb3B2Aa976,0x740d668883b0fAEf5eeF7E84BE28C7152D6f609D,1249821166399723,0,0,7048521061404037,1635765665
21499939,0x28E73C83C0f85784543300B96A1A3c2e900F7a35,0xeBC4f9B1cE66258AC3A48578FFEEba1330dDB68B,0,17105326646235358,2736322931562075,0,1637203528
21576255,0x28E73C83C0f85784543300B96A1A3c2e900F7a35,0x4CDc309447F07D0A158E4dBe86d553e6bBaF90a2,0,10710492512471715,1312606775470805,0,1637372326
21643647,0x28E73C83C0f85784543300B96A1A3c2e900F7a35,0xeBC4f9B1cE66258AC3A48578FFEEba1330dDB68B,0,12676120470958103,1277579987440734,0,1637524694
22280712,0x28E73C83C0f85784543300B96A1A3c2e900F7a35,0x4c38938E21cB9796932B0B0Cc3f8a088f07b49B0,499542614948452753,0,0,5276783095703943277,1638973830
22341539,0xCa157F76223284884626A6b39dfFC7DB1132aeFa,0xfAa51a038FfB582e74E3bfAF0faEe33B6bdBaA2C,0,17972050248514,1747382826381,0,1639105627
22527373,0x2EC255797FEF7669fA243509b7a599121148FFba,0x1111111254fb6c44bAC0beD2854e76F90643097d,48819231988752,0,0,497242807030891,1639516417
22527440,0x2EC255797FEF7669fA243509b7a599121148FFba,0x1111111254fb6c44bAC0beD2854e76F90643097d,0,225338276427164,22038121543418,0,1639516555
22550895,0x28E73C83C0f85784543300B96A1A3c2e900F7a35,0x4CDc309447F07D0A158E4dBe86d553e6bBaF90a2,0,18405420874973100,1572028395340396,0,1639567657
23765868,0x28E73C83C0f85784543300B96A1A3c2e900F7a35,0x40F0A05C8c7a86aD1491A3911c293e093fe92436,0,49960577724001503,2785835552426537,0,1642290857
24208570,0x28E73C83C0f85784543300B96A1A3c2e900F7a35,0x40F0A05C8c7a86aD1491A3911c293e093fe92436,0,76358064973351318,2289681832885273,0,1643250196
24296179,0x28E73C83C0f85784543300B96A1A3c2e900F7a35,0x6fA867BBFDd025780a8CFE988475220AfF51FB8b,736210346184263,0,0,30140240553467565,1643442402
24363504,0x8Df23f638Bb40B2c62C49dD7b7Ca46723500C485,0x59cdDD0Be2a26b6134ad457F94F579B99767b564,755260197012469,0,0,24700852289372324,1643592054
