block_number,sender,to,amount0In,amount1In,amount0Out,amount1Out,timestamps
22873766,0xD6ABCB68d09bd88c4931818BffcA9847b1363843,0x632294808f70EAe6D669b6A1e2969B7289C38553,200000000000000000,0,0,16624979156244789061,1640276346
22873768,0xD6ABCB68d09bd88c4931818BffcA9847b1363843,0x1f4AFB90880826905f6DE20dd6090b1640cB2261,250000000000000000,0,0,14339295459931679369,1640276350
22873809,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x208d97e2ffE56B2b3F43dd901816258A818C2D52,0,9900000000000000000000,1439928723148882414,0,1640276436
27255586,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xF48B175bdf5930D71DFC049ac98b76C1Bfe9660C,1000000000000000,0,0,897983376446180817317,1650222389
27255622,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xF48B175bdf5930D71DFC049ac98b76C1Bfe9660C,1500000000000000,0,0,1079493886821887620624,1650222465
27255639,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xF48B175bdf5930D71DFC049ac98b76C1Bfe9660C,2000000000000000,0,0,1094051814898123180205,1650222499
27255669,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xF48B175bdf5930D71DFC049ac98b76C1Bfe9660C,2500000000000000,0,0,1007516417273351843058,1650222559
27255696,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xF48B175bdf5930D71DFC049ac98b76C1Bfe9660C,2500000000000000,0,0,750407283821450529409,1650222617
27255732,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xF48B175bdf5930D71DFC049ac98b76C1Bfe9660C,3300000000000000,0,0,739664192632041019275,1650222689
27255764,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xF48B175bdf5930D71DFC049ac98b76C1Bfe9660C,3500000000000000,0,0,582437937129883259187,1650222757
27255797,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xF48B175bdf5930D71DFC049ac98b76C1Bfe9660C,4000000000000000,0,0,501464958151230139400,1650222823
27255865,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xF48B175bdf5930D71DFC049ac98b76C1Bfe9660C,5200000000000000,0,0,483510767838522383330,1650222963
27255898,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xF48B175bdf5930D71DFC049ac98b76C1Bfe9660C,6100000000000000,0,0,413570589916865423656,1650223033
