block_number,sender,to,amount0In,amount1In,amount0Out,amount1Out,timestamps
14536380,0xF004CC1880D00f245CccE3e3C7d398313CEc488A,0x3398787dCa0F1bD830713eC5294aDE196a198984,0,158119086919500205582882401,999996829,0,1621109042
14536384,0xd60B95f4b73a2FF115D5f9efE6d207493cb1cE3b,0x93274c170FAE335A51ab8ee59078F289222ddDC1,226561152,0,0,158117366514746753494542268,1621109058
14536388,0xd60B95f4b73a2FF115D5f9efE6d207493cb1cE3b,0x3398787dCa0F1bD830713eC5294aDE196a198984,0,297947153423414781032449,224883372,0,1621109082
14543757,0xd60B95f4b73a2FF115D5f9efE6d207493cb1cE3b,0x264e6BC3f95633725658e4D9640f7F7D9100F6AC,293625518,0,0,43449097161170432184027103,1621125035
14545679,0xd60B95f4b73a2FF115D5f9efE6d207493cb1cE3b,0x93274c170FAE335A51ab8ee59078F289222ddDC1,317655966,0,0,33020275594288496195058678,1621129312
14546063,0x995677c0518eC30dAeC266573a7CC8Cf7AE15683,0x3398787dCa0F1bD830713eC5294aDE196a198984,0,11186382847901357445736316,119205742,0,1621130122
14546064,0x995677c0518eC30dAeC266573a7CC8Cf7AE15683,0x3398787dCa0F1bD830713eC5294aDE196a198984,0,2277687652741462100914692,22590915,0,1621130124
14546073,0x995677c0518eC30dAeC266573a7CC8Cf7AE15683,0x3398787dCa0F1bD830713eC5294aDE196a198984,0,477407925236335818961961,4668168,0,1621130142
14546080,0x995677c0518eC30dAeC266573a7CC8Cf7AE15683,0x3398787dCa0F1bD830713eC5294aDE196a198984,0,8614402038939850113264,84022,0,1621130156
14546103,0x995677c0518eC30dAeC266573a7CC8Cf7AE15683,0x3398787dCa0F1bD830713eC5294aDE196a198984,0,783636453262389865381731,7612536,0,1621130202
14546108,0x995677c0518eC30dAeC266573a7CC8Cf7AE15683,0x3398787dCa0F1bD830713eC5294aDE196a198984,0,61390118382933664010110,593791,0,1621130212
14546123,0x995677c0518eC30dAeC266573a7CC8Cf7AE15683,0x3398787dCa0F1bD830713eC5294aDE196a198984,0,2439717814090813992799567,23300918,0,1621130246
14548165,0x995677c0518eC30dAeC266573a7CC8Cf7AE15683,0x3398787dCa0F1bD830713eC5294aDE196a198984,0,3553820209185101519734597,33136849,0,1621134632
14549761,0x995677c0518eC30dAeC266573a7CC8Cf7AE15683,0x3398787dCa0F1bD830713eC5294aDE196a198984,0,15143586234697202996639893,133035221,0,1621137940
14552088,0x971776ce2cc3960429296F659e9207C252EE4889,0x7b3E67E63906d8576466c2f48158A30be0a9e36c,377004785,0,0,39304492739400004601050093,1621142738
14552095,0x995677c0518eC30dAeC266573a7CC8Cf7AE15683,0x3398787dCa0F1bD830713eC5294aDE196a198984,0,4907418717768278893640402,52397809,0,1621142752
14553767,0x971776ce2cc3960429296F659e9207C252EE4889,0x264e6BC3f95633725658e4D9640f7F7D9100F6AC,385981541,0,0,32439721540737564573121452,1621146238
14553807,0x995677c0518eC30dAeC266573a7CC8Cf7AE15683,0x3398787dCa0F1bD830713eC5294aDE196a198984,0,5832313400063597857352759,76029418,0,1621146358
14554275,0x995677c0518eC30dAeC266573a7CC8Cf7AE15683,0x3398787dCa0F1bD830713eC5294aDE196a198984,0,3544507471617556458030986,44572841,0,1621147322
14554515,0x995677c0518eC30dAeC266573a7CC8Cf7AE15683,0x3398787dCa0F1bD830713eC5294aDE196a198984,0,15325444516662105234296711,181073000,0,1621147818
14554516,0x995677c0518eC30dAeC266573a7CC8Cf7AE15683,0xeEE4a92835Bf3ea757e14f018C5A211889f39DF7,0,237820298418507198849575,2673495,0,1621147820
14554618,0x995677c0518eC30dAeC266573a7CC8Cf7AE15683,0x3398787dCa0F1bD830713eC5294aDE196a198984,0,6404943116076102842114800,70543739,0,1621148028
14555548,0xd60B95f4b73a2FF115D5f9efE6d207493cb1cE3b,0x93274c170FAE335A51ab8ee59078F289222ddDC1,506142331,0,0,40781433317634361032023618,1621149960
14555556,0x995677c0518eC30dAeC266573a7CC8Cf7AE15683,0x3398787dCa0F1bD830713eC5294aDE196a198984,0,9762787804837649877297361,133125783,0,1621149976
14555598,0x995677c0518eC30dAeC266573a7CC8Cf7AE15683,0x3398787dCa0F1bD830713eC5294aDE196a198984,0,11166901057900148473393086,141912030,0,1621150064
14555748,0x971776ce2cc3960429296F659e9207C252EE4889,0x264e6BC3f95633725658e4D9640f7F7D9100F6AC,381321838,0,0,28117936128753147625718172,1621150372
14555888,0x995677c0518eC30dAeC266573a7CC8Cf7AE15683,0x3398787dCa0F1bD830713eC5294aDE196a198984,0,3173663475585586648203658,46577618,0,1621150682
14555923,0x995677c0518eC30dAeC266573a7CC8Cf7AE15683,0x3398787dCa0F1bD830713eC5294aDE196a198984,0,1904109624527478815987650,27446386,0,1621150756
14555953,0x995677c0518eC30dAeC266573a7CC8Cf7AE15683,0x3398787dCa0F1bD830713eC5294aDE196a198984,0,2647613183510658891660314,37558748,0,1621150816
14557089,0x995677c0518eC30dAeC266573a7CC8Cf7AE15683,0x3398787dCa0F1bD830713eC5294aDE196a198984,0,4943428996695343480887550,68305527,0,1621153218
14558143,0x995677c0518eC30dAeC266573a7CC8Cf7AE15683,0x3398787dCa0F1bD830713eC5294aDE196a198984,0,8698737954565579085142219,114745977,0,1621155559
14558911,0x995677c0518eC30dAeC266573a7CC8Cf7AE15683,0x3398787dCa0F1bD830713eC5294aDE196a198984,0,4810723891114823681720067,60652858,0,1621157184
14559043,0x995677c0518eC30dAeC266573a7CC8Cf7AE15683,0x3398787dCa0F1bD830713eC5294aDE196a198984,0,7310833861712648395049176,88605087,0,1621157522
14559044,0x995677c0518eC30dAeC266573a7CC8Cf7AE15683,0xeEE4a92835Bf3ea757e14f018C5A211889f39DF7,0,752295828333296743252072,8882996,0,1621157524
14561513,0xc5D5e059d27695f172c8aA65d6C09187F34f0A19,0x264e6BC3f95633725658e4D9640f7F7D9100F6AC,41181218,0,0,3436940076317549949123963,1621162663
14562579,0xc5D5e059d27695f172c8aA65d6C09187F34f0A19,0x6Df2483C2a1F9b85509bA17C36897387F0E7F2b7,41596788,0,0,3395794391269574681467480,1621164863
14562697,0xc5D5e059d27695f172c8aA65d6C09187F34f0A19,0x001a5201fd46F2C77eff4F5bED1382E500e20b08,46228193,0,0,3687488438022498054832581,1621165107
14562830,0xc5D5e059d27695f172c8aA65d6C09187F34f0A19,0x264e6BC3f95633725658e4D9640f7F7D9100F6AC,40353164,0,0,3146953610189032988343577,1621165381
14563273,0xc5D5e059d27695f172c8aA65d6C09187F34f0A19,0x47187193994550F53bEeAF0538005b38122Fb54a,60160065,0,0,4571847240419565811350359,1621166326
14563273,0xc5D5e059d27695f172c8aA65d6C09187F34f0A19,0x47187193994550F53bEeAF0538005b38122Fb54a,44571600,0,0,3298083736831443413223108,1621166326
14563273,0xc5D5e059d27695f172c8aA65d6C09187F34f0A19,0x001a5201fd46F2C77eff4F5bED1382E500e20b08,32092810,0,0,2329341606620759184738752,1621166326
14563273,0xc5D5e059d27695f172c8aA65d6C09187F34f0A19,0x001a5201fd46F2C77eff4F5bED1382E500e20b08,23939449,0,0,1713440191949527110890887,1621166326
14563273,0xc5D5e059d27695f172c8aA65d6C09187F34f0A19,0x001a5201fd46F2C77eff4F5bED1382E500e20b08,17858137,0,0,1265000333228189930499839,1621166326
14564737,0xc5D5e059d27695f172c8aA65d6C09187F34f0A19,0x264e6BC3f95633725658e4D9640f7F7D9100F6AC,40151615,0,0,2803920982020470217166427,1621169551
