block_number,sender,to,amount0In,amount1In,amount0Out,amount1Out,timestamps
20421330,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xdB6f1920A889355780aF7570773609Bd8Cb1f498,20000000,0,0,442222900024,1634747370
20570723,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xcd353F79d9FADe311fC3119B841e1f456b54e858,0,27757727118,2766837,0,1635103245
20601849,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x125d2E4a83bBba4e6f51a244c494f9A1958D20BB,6705312,0,0,60000000000,1635180572
20955860,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xcd353F79d9FADe311fC3119B841e1f456b54e858,0,5453716897,721320,0,1635993444
21246404,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x125d2E4a83bBba4e6f51a244c494f9A1958D20BB,2358676,0,0,17000000000,1636634781
22760183,0xf3938337F7294fEf84e9B2c6D548A93F956Cc281,0x7242e19A0937ac33472febD69462668a4cf5bbC5,0,12805702967,1792829,0,1640027554
23536509,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xdB6f1920A889355780aF7570773609Bd8Cb1f498,0,857330512246,28503364,0,1641772469
23579335,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x11a768b4Acf0212E9B0800d1B8142763518A4fC5,9882607,0,0,582462185084,1641870976
23579620,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x11a768b4Acf0212E9B0800d1B8142763518A4fC5,16794132,0,0,259007701988,1641871562
24413756,0x82f716bC1bCD308287A4eCAa990B8F6612571B7b,0x82f716bC1bCD308287A4eCAa990B8F6612571B7b,10000,0,0,82481837,1643703052
24413761,0x82f716bC1bCD308287A4eCAa990B8F6612571B7b,0x82f716bC1bCD308287A4eCAa990B8F6612571B7b,0,82481837,9940,0,1643703066
26259102,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xdB6f1920A889355780aF7570773609Bd8Cb1f498,0,526113754637,23006046,0,1648022638
26284497,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xdB6f1920A889355780aF7570773609Bd8Cb1f498,8538462,0,0,324823077910,1648077757
27042574,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x125d2E4a83bBba4e6f51a244c494f9A1958D20BB,11155862,0,0,169760000000,1649755209
27043457,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x125d2E4a83bBba4e6f51a244c494f9A1958D20BB,4532063,0,0,40000000000,1649757159
