block_number,sender,to,amount0In,amount1In,amount0Out,amount1Out,timestamps
25471334,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x9d5d104c796A92b319bF59e2fB867575D5a12254,11144544745347152569,900900900900900900900900,0,100000000000000000000000000,1646170923
25488073,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xd455712e43582134F101a0C686d26548B5438A3b,1000000000000000000,0,0,8009504419061118740813581,1646209410
25489581,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x9d5d104c796A92b319bF59e2fB867575D5a12254,11338892618747025,0,0,90000000000000000000000,1646212667
25489632,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x9d5d104c796A92b319bF59e2fB867575D5a12254,10000000000000000,0,0,79357751349659003605971,1646212790
25501906,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x9d5d104c796A92b319bF59e2fB867575D5a12254,1000000000000000000,0,0,7806806936730174735690150,1646241853
25503854,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x428319D16f7270E9b5b471dBb8c8Bbb1BE24fBa2,5000000000000000000,0,0,35529882813387494111914069,1646246403
25503903,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x9D36FbDcEf70E3829f12B9a2C3bD8a766282548B,10000000000000000000,0,0,57182301684820424693656344,1646246505
25503945,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x9D36FbDcEf70E3829f12B9a2C3bD8a766282548B,11000000000000000000,0,0,47854111976079304265519094,1646246613
25503993,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xfEE5Bf758E24452Da50CE7d2e3fE1ea98d3DecE2,13000000000000000000,0,0,43090609348228670190147495,1646246805
25504196,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x9D36FbDcEf70E3829f12B9a2C3bD8a766282548B,10000000000000000000,0,0,26572755214905501181656233,1646247263
25504731,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x914fc0D7e433912AEC268537B4476b7A27F44a24,23167996052177893366,0,0,50000000000000000000000000,1646248429
25504969,0x84E5Bc3dF0df0f543648f250443c6f4077218312,0x84E5Bc3dF0df0f543648f250443c6f4077218312,4604970000000000000,0,0,8567280156173819435392536,1646249121
25505024,0xF18ce2EE25Ab8F9feB40aEfC0C7743Aea2e676c0,0x4dA96359C6e4C2589E38bD06D81dB484bBac66d3,822694117802820599,0,0,1489481051933353487993563,1646249235
25505151,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x914fc0D7e433912AEC268537B4476b7A27F44a24,22000000000000000000,0,0,35784367841625438891972504,1646249493
25505151,0xB757C05E415eD00C923DA9908987EAAD9C279135,0xB757C05E415eD00C923DA9908987EAAD9C279135,0,4777289281000798927550657,3191196698160779038,0,1646249493
25511110,0xdAc9A2E0A1Ac74684D146431999Ad40A768b81b5,0x4dA96359C6e4C2589E38bD06D81dB484bBac66d3,607038181337323288,0,0,913890664553416238940568,1646263005
25511221,0xdAc9A2E0A1Ac74684D146431999Ad40A768b81b5,0x4dA96359C6e4C2589E38bD06D81dB484bBac66d3,1445366211038359615,0,0,2155994911487978001876314,1646263339
25511224,0xF5Fa9aB64e62736a3ae9f6068eAC3B7e0A9E62da,0x4dA96359C6e4C2589E38bD06D81dB484bBac66d3,1670283943666713088,0,0,2456988560177945795940612,1646263351
25511231,0x4fB520Ee0A14d8f0C39c5168F3098438CB3dce56,0x4dA96359C6e4C2589E38bD06D81dB484bBac66d3,3800343860667276288,0,0,5456681844394603268781075,1646263379
25511444,0xB757C05E415eD00C923DA9908987EAAD9C279135,0x4dA96359C6e4C2589E38bD06D81dB484bBac66d3,3737008942646160384,0,0,5191771909780900317238382,1646263821
25511566,0xEA4683327b308970Ce01943AcC3244DA616eeC8f,0x4dA96359C6e4C2589E38bD06D81dB484bBac66d3,2301264793423477248,0,0,3114859590358125865752251,1646264073
25511612,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xCe1858975E47DC781d766E5721aFe3fCeB1d13Da,4043170465029338239,0,0,5327284057680065375147043,1646264165
25531373,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x232F4Fc3c30693E2BF855d3BBEf61D57aCf7DacB,15000000000000000000,0,0,18282459621285559012162318,1646309492
25531373,0x5FEf5C5a1549C10Ea9b911E60DB0b834c5Df4bbb,0x5FEf5C5a1549C10Ea9b911E60DB0b834c5Df4bbb,0,4302256496219256159519833,3675290933336797389,0,1646309492
