block_number,sender,to,amount0In,amount1In,amount0Out,amount1Out,timestamps
21670107,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x3DCa07E16B2Becd3eb76a9F9CE240B525451f887,29465165351388616349,0,0,9383081204975618326512198,1637582669
21670108,0x84E5Bc3dF0df0f543648f250443c6f4077218312,0x84E5Bc3dF0df0f543648f250443c6f4077218312,6111961325047435,0,0,1486346743642978570495,1637582671
21670108,0x84E5Bc3dF0df0f543648f250443c6f4077218312,0x84E5Bc3dF0df0f543648f250443c6f4077218312,6124342269689657,0,0,1489211706240531287815,1637582671
21670111,0xC55D578948F7EB2c4D00716D4d59D981ed865b29,0xa19a81a38bF2238a695629Fa7B4A909A2390ddB4,35568243380350441,0,0,8645987401418770396977,1637582677
21670111,0xC55D578948F7EB2c4D00716D4d59D981ed865b29,0xa19a81a38bF2238a695629Fa7B4A909A2390ddB4,35641695460906115,0,0,8658905304137580341825,1637582677
21670114,0x84E5Bc3dF0df0f543648f250443c6f4077218312,0x84E5Bc3dF0df0f543648f250443c6f4077218312,6399966009939602,0,0,1554304217137631492321,1637582683
21670128,0x2EC255797FEF7669fA243509b7a599121148FFba,0xc4e595acDD7d12feC385E5dA5D43160e8A0bAC0E,0,36670725000000000000000,149917265715061311,0,1637582711
21670130,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x180D1994A0d0Ce7C3F1490cf901133C2623f57cC,200000000000000000,0,0,48609095862355859371628,1637582715
21670131,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x34965ba0ac2451A34a0471F04CCa3F990b8dea27,0,9950000000000000000000,40745572297488416,0,1637582717
21670133,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xc4e595acDD7d12feC385E5dA5D43160e8A0bAC0E,0,1113424900000000000000000,4397406437927551291,0,1637582721
21670133,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xF69b525cAC81f6Fe8504650788C1C259ce29193f,222499130420095445,0,0,57944071904137832594583,1637582721
21670133,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xc4e595acDD7d12feC385E5dA5D43160e8A0bAC0E,0,4377310242162535828105,16736264999634721,0,1637582721
21670135,0xC55D578948F7EB2c4D00716D4d59D981ed865b29,0x2a51c9B1Cca30Fb0B570599Dc170A2eBC269Cc7d,15313740768305660,0,0,3981308772784995166939,1637582725
21670136,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xd5ffF85BB7363a0a702c9110448BaefFfcbc535A,3708131974945344,0,0,963898488871340694416,1637582727
21670136,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x3aC8538aFA0Eb1EC720E51670dA180DD9921e017,142592554665206004,0,0,37020992476551615397303,1637582727
21670137,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x4d7839AabfDD8a8E03B34255E99f00E5B3A15Fd8,70453332545949047,0,0,18259425953508405019049,1637582729
21670137,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x71c6b947FB7d315A223241Ec139FBBa2AFE3fe02,3708008126690280,0,0,960416644968649986460,1637582729
21670138,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xc4e595acDD7d12feC385E5dA5D43160e8A0bAC0E,0,669704650000000000000000,2516677011542249675,0,1637582731
21670138,0x84E5Bc3dF0df0f543648f250443c6f4077218312,0x84E5Bc3dF0df0f543648f250443c6f4077218312,3288543242497194,0,0,888393479587532170258,1637582731
21670140,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x34965ba0ac2451A34a0471F04CCa3F990b8dea27,0,19900000000000000000000,73178749389492251,0,1637582735
21670140,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x7E8F8bEEfa5D2Af5a5eb9B7BB71169c7cf0f2E2c,739675601021819,0,0,200062862137184563845,1637582735
21670142,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x033775eE5BDCA5273C90B47A9955BC876f31CcCC,223072942665191156,0,0,60221744465107431447922,1637582739
21670143,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xC1665f42f7Be6B3953Ad0EbC2ad6D2B05540e106,89091963177142754,0,0,23988384293386237402684,1637582741
21670144,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x0b38b6be5f520d44596c2574140c89dA5A7161A3,37120596236456496,0,0,9984249168628633464798,1637582747
21670148,0x84E5Bc3dF0df0f543648f250443c6f4077218312,0x84E5Bc3dF0df0f543648f250443c6f4077218312,9245704456730916,0,0,2485826266588364500312,1637582755
21670152,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x34965ba0ac2451A34a0471F04CCa3F990b8dea27,0,19900000000000000000000,73532132400176491,0,1637582763
21670152,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xc2755915a85C6f6c1C0F3a86ac8C058F11Caa9C9,0,159200000000000000000000,584990000284919740,0,1637582763
21670154,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x0371F30C14A79038079c31FD381e6c45e2FEf026,185593687321181263,0,0,50375851502869393503629,1637582767
21670155,0x8d488D6D592f722e02EAfe3a88aD9345ba1d7E7B,0xa19a81a38bF2238a695629Fa7B4A909A2390ddB4,599802380822057,0,0,162548280305412704498,1637582769
21670158,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xc2755915a85C6f6c1C0F3a86ac8C058F11Caa9C9,0,2754490340000000000000000,9307259450468282131,0,1637582775
21670160,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x926Cef980C97Ef593FA1E29d1fCfdaF533bC1b6E,983388017417777426,0,0,311300935895001395963803,1637582779
21670160,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x3c1D39Cf4421d1cfddb68Fd4373d30083fC11aD5,317138133960985610,0,0,99208463351007607235799,1637582779
21670160,0x7B2f48d00696EcA0EdFDF07a07677e573057Ed24,0x2a51c9B1Cca30Fb0B570599Dc170A2eBC269Cc7d,891700000000000,0,0,278139783444470185884,1637582779
21670160,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x2e97778b97DB81b62eb64103813E019F353537cD,233076024600626506,0,0,72547600122436501687468,1637582779
21670161,0x84E5Bc3dF0df0f543648f250443c6f4077218312,0x84E5Bc3dF0df0f543648f250443c6f4077218312,4723721780765083,0,0,1467145192445052891679,1637582781
21670161,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x090bce14058a558DEb8d4AA978AF8f8765bc4E0B,28800000000000000,0,0,8942309870052815328084,1637582781
21670162,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x34965ba0ac2451A34a0471F04CCa3F990b8dea27,0,49750000000000000000000,159079142225429982,0,1637582783
21670162,0x84E5Bc3dF0df0f543648f250443c6f4077218312,0x84E5Bc3dF0df0f543648f250443c6f4077218312,6942235478792809,0,0,2161077601146341165991,1637582783
21670173,0x2EC255797FEF7669fA243509b7a599121148FFba,0x5333Eb1E32522F1893B7C9feA3c263807A02d561,0,1094500000000000000000000,3387723206924853826,0,1637582805
21670182,0xC55D578948F7EB2c4D00716D4d59D981ed865b29,0x2a51c9B1Cca30Fb0B570599Dc170A2eBC269Cc7d,15322145984394150,0,0,5076335568431818739568,1637582823
21670182,0xC55D578948F7EB2c4D00716D4d59D981ed865b29,0x2a51c9B1Cca30Fb0B570599Dc170A2eBC269Cc7d,15322040283980823,0,0,5074847417411893001364,1637582823
21670187,0x2EC255797FEF7669fA243509b7a599121148FFba,0x5333Eb1E32522F1893B7C9feA3c263807A02d561,0,995000000081958935486162,2905369590213665320,0,1637582833
21670188,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x34965ba0ac2451A34a0471F04CCa3F990b8dea27,0,49750000000000000000000,141116636875889742,0,1637582835
21670189,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x880c3d24218046089c8b1EEF3Ef94c66d5eD7D13,37468986675307116,0,0,13143543799422022016709,1637582837
21670190,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xa10d39ace4C1f93052B315aE60B8829cdf86cE38,44520540267597385,0,0,15604819611808217434045,1637582839
21670195,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xDaB22Ef91115E1D9c2458025Aea8223012F21c03,28550038125811106,0,0,10000000000000000000000,1637582849
21670198,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x91016019513E3c25b4D03e607fdFF74Bb1EE3EdA,188494631589825950,0,0,65885309795901427686427,1637582855
21670200,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x3DCa07E16B2Becd3eb76a9F9CE240B525451f887,0,931484969955986533705240,2587827294774515830,0,1637582859
21670204,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xc4e595acDD7d12feC385E5dA5D43160e8A0bAC0E,0,99500000000000000000000,268825749013879340,0,1637582867
21670207,0x84E5Bc3dF0df0f543648f250443c6f4077218312,0x84E5Bc3dF0df0f543648f250443c6f4077218312,5475316732542414,0,0,2019681906673147618856,1637582873
21670207,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xdA4c89d5E22828634282f7389F25f0BE490480c5,225823560810913177,0,0,83110375900108472759793,1637582873
21670207,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x4237e8468c1aBf6068292063BCe416575a5724e7,42665977445851186,0,0,15660967935112001767346,1637582873
21670209,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xc4e595acDD7d12feC385E5dA5D43160e8A0bAC0E,0,1533824340000000000000000,3992050790226240200,0,1637582881
21670209,0x84E5Bc3dF0df0f543648f250443c6f4077218312,0x84E5Bc3dF0df0f543648f250443c6f4077218312,4475494170553148,0,0,1779335537537612627580,1637582881
21670210,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xaed829334b8E35DE33041Dfd53182b43fC9C6716,11388388631784936,0,0,4526981093840388848411,1637582883
21670211,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x0DC3615B60f3afC8B0A003fe82D8DD7845e00D34,1115009922736143,0,0,443169128931822503127,1637582885
21670213,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x34965ba0ac2451A34a0471F04CCa3F990b8dea27,0,49750000000000000000000,124263682365383612,0,1637582889
21670223,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x2ecd6b50ABC2eBdeB0298219C5435234aabB29d8,849391965263851758,0,0,335540588465021515604366,1637582909
21670223,0x8d488D6D592f722e02EAfe3a88aD9345ba1d7E7B,0xa19a81a38bF2238a695629Fa7B4A909A2390ddB4,1017539705804195,0,0,398487983151769521595,1637582909
21670224,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xc4e595acDD7d12feC385E5dA5D43160e8A0bAC0E,0,1965125000000000000000000,4747089851432672808,0,1637582911
21670224,0x84E5Bc3dF0df0f543648f250443c6f4077218312,0x84E5Bc3dF0df0f543648f250443c6f4077218312,4025358089794008,0,0,1740586898503584585269,1637582911
21670225,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x34965ba0ac2451A34a0471F04CCa3F990b8dea27,0,49750000000000000000000,114230052549019187,0,1637582913
21670226,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x4C73C6CA10732b3786002df5Ba2142FfBF7BD4Cd,148907942472221102,0,0,64441201526828338790639,1637582915
21670227,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x1254Df8581B92609F087A505F77B4a9Dc89502C3,18612791235418849,0,0,8040438520742646821502,1637582917
