block_number,sender,to,amount0In,amount1In,amount0Out,amount1Out,timestamps
21208032,0x84E5Bc3dF0df0f543648f250443c6f4077218312,0x84E5Bc3dF0df0f543648f250443c6f4077218312,1040161590000000000,0,0,82931512125928528735002,1636546542
21208037,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x3B19EfaD48B573b8a685d008Cc4ea6eF820C75A4,200000000000000000,0,0,12778053308587281994938,1636546552
21208037,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0,1277805330858728199,20538378896518,0,1636546552
21208735,0xD6B4A9db2EAdd02e76E37Bdcf5Bc8C13242c7954,0xD6B4A9db2EAdd02e76E37Bdcf5Bc8C13242c7954,0,6292245715984215106924,99522983213550089,0,1636548251
21214711,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x81231357A913ec6E1f3aFbCe8E662632C1c8EEe5,1000000000000000000,0,0,54945805889240579681569,1636561850
21214711,0x1F60Fb0ab527471EF9165E14B692A0825E2f97d5,0x1F60Fb0ab527471EF9165E14B692A0825E2f97d5,0,32782385205910671744040,628897657804635861,0,1636561850
21214873,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x81231357A913ec6E1f3aFbCe8E662632C1c8EEe5,1000000000000000000,0,0,49287392024130722292218,1636562186
21214873,0x7814B8c5920923352BD7b6eAB89920C628779d7f,0x7814B8c5920923352BD7b6eAB89920C628779d7f,0,29396300061617899601810,626828230933596143,0,1636562186
21215186,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0,300000000000000000000000,1469380193761537337,0,1636562856
21215228,0x84E5Bc3dF0df0f543648f250443c6f4077218312,0x84E5Bc3dF0df0f543648f250443c6f4077218312,166723362000000000,0,0,101096491655330230613811,1636562940
21215382,0x24bACeE5ba8Dc1a0F6f719884044363dbabB30b7,0xf7d51F888A7988dBb03c7aCd95c8189Db6a3561A,110000000000000001,0,0,42694522457228766133040,1636563260
21216845,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xdB6f1920A889355780aF7570773609Bd8Cb1f498,710371702351956790,0,0,222820982862869923069,1636566512
21216888,0xFff159420e81423051A151D533bA43143B42a102,0xFff159420e81423051A151D533bA43143B42a102,4450997235755434,0,0,1304734552635389,1636566684
21220869,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xc4e595acDD7d12feC385E5dA5D43160e8A0bAC0E,0,592964824120603060,528575257867508379,0,1636575553
21235073,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xc4e595acDD7d12feC385E5dA5D43160e8A0bAC0E,0,5949949748743718724,164654718557195834,0,1636608882
21476030,0xD289d8d756902224B512CfeC702462C700692e16,0xD289d8d756902224B512CfeC702462C700692e16,0,600054344516893348,1811910707729453,0,1637150935
22038748,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xdB6f1920A889355780aF7570773609Bd8Cb1f498,537688442211055300,0,0,126353326720565944593,1638423518
22038849,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xdB6f1920A889355780aF7570773609Bd8Cb1f498,0,258793969849246229648242,1556686769042079841,0,1638423728
25606148,0x5C727b35522F6C386Ca7564aee799f32EC8A260D,0xf7d51F888A7988dBb03c7aCd95c8189Db6a3561A,1029790272,0,0,183266131311349720,1646478721
26254924,0x5C727b35522F6C386Ca7564aee799f32EC8A260D,0xf7d51F888A7988dBb03c7aCd95c8189Db6a3561A,5085015040,0,0,904765553665143640,1648013569
