block_number,sender,to,amount0In,amount1In,amount0Out,amount1Out,timestamps
18559016,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x91988907011CBe832D35E5871c1Fbe096218C33a,0,45395666033110,432997546951637992055,0,1630339330
18559464,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x641eb02f1998CeDb6ff6E3B4250FEBcB882450C6,0,63993205933,583845197045365237,0,1630340510
18560253,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x641eb02f1998CeDb6ff6E3B4250FEBcB882450C6,0,14851150606943,133594845341433434748,0,1630342309
18560364,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x641eb02f1998CeDb6ff6E3B4250FEBcB882450C6,0,150517507100,1334840100748709191,0,1630342634
18560647,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x641eb02f1998CeDb6ff6E3B4250FEBcB882450C6,0,20649971070266,179617788720465140952,0,1630343402
18560678,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x641eb02f1998CeDb6ff6E3B4250FEBcB882450C6,0,24781221416122,206711061547891761085,0,1630343526
18560819,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x641eb02f1998CeDb6ff6E3B4250FEBcB882450C6,0,19322537118028,154868254894086472434,0,1630343872
18563054,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x2E62EE5005c4069e82d37479f42D1a7Aa2C1B8ba,0,75312824177,593219739116448990,0,1630349511
18568284,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x2E62EE5005c4069e82d37479f42D1a7Aa2C1B8ba,0,7558468667678,59136108411768021731,0,1630361855
18571674,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x2E62EE5005c4069e82d37479f42D1a7Aa2C1B8ba,0,74848110723670,545741719262042290214,0,1630369615
18571679,0x22160911A56Bbda683AC09335886Eb570E340dAc,0x6FF62bfb8c12109E8000935A6De54daD83a4f39f,65293701346611568836,0,0,9415473702726,1630369625
18571996,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x2E62EE5005c4069e82d37479f42D1a7Aa2C1B8ba,0,37380575929862,251868167617346383660,0,1630370535
18581796,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x2E62EE5005c4069e82d37479f42D1a7Aa2C1B8ba,0,151537613587,990042360180583165,0,1630394103
18582270,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x2E62EE5005c4069e82d37479f42D1a7Aa2C1B8ba,0,75709760204,494544550865801415,0,1630395397
18582338,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x2E62EE5005c4069e82d37479f42D1a7Aa2C1B8ba,0,75712393995,494501255563320978,0,1630395541
18582659,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x2E62EE5005c4069e82d37479f42D1a7Aa2C1B8ba,0,75655504738,494069272742957578,0,1630396467
18582796,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x2E62EE5005c4069e82d37479f42D1a7Aa2C1B8ba,0,151269948130,987689414877983541,0,1630396869
18582810,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x2E62EE5005c4069e82d37479f42D1a7Aa2C1B8ba,0,15128035055053,97573166410101293111,0,1630396897
18582851,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x2E62EE5005c4069e82d37479f42D1a7Aa2C1B8ba,0,151378703221,964445762689516465,0,1630396986
18589516,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x2E62EE5005c4069e82d37479f42D1a7Aa2C1B8ba,0,151946776919,967830751544230642,0,1630413638
18593833,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x2E62EE5005c4069e82d37479f42D1a7Aa2C1B8ba,0,15202919331854,95665296385509958769,0,1630423910
18595996,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x2E62EE5005c4069e82d37479f42D1a7Aa2C1B8ba,0,152033841321,945088185117459803,0,1630429421
18596052,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x2E62EE5005c4069e82d37479f42D1a7Aa2C1B8ba,0,151990130397,944590113875997989,0,1630429537
18616858,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x2E62EE5005c4069e82d37479f42D1a7Aa2C1B8ba,0,1515678362957,9407307684327999582,0,1630481829
18648317,0x22160911A56Bbda683AC09335886Eb570E340dAc,0x6FF62bfb8c12109E8000935A6De54daD83a4f39f,55629925960067623517,0,0,8857615354271,1630555894
22576596,0x28E73C83C0f85784543300B96A1A3c2e900F7a35,0x91988907011CBe832D35E5871c1Fbe096218C33a,0,201826381191,363240690313451202,0,1639625093
