block_number,sender,to,amount0In,amount1In,amount0Out,amount1Out,timestamps
16444270,0x29ee020c6b9B9092d03Ad8F0e1293F936e48E7E3,0x8312A29A91D9Fac706F4d2ADEB1FA4540faD1673,0,33054337216974070,12205629,0,1625315904
16450470,0x84E5Bc3dF0df0f543648f250443c6f4077218312,0x84E5Bc3dF0df0f543648f250443c6f4077218312,0,217364940569197812,4040288,0,1625329655
16451519,0x29ee020c6b9B9092d03Ad8F0e1293F936e48E7E3,0xbCD83aB205A14648674FE67c97AAD89B261cBaC6,12489812,0,0,946842878352223991,1625332201
16451570,0x5805536427Aa70E55FC2b9Ae441F9B5e3267889d,0xcd353F79d9FADe311fC3119B841e1f456b54e858,0,210091042855160237,2798154,0,1625332307
16451577,0x0F85A912448279111694F4Ba4F85dC641c54b594,0x0F85A912448279111694F4Ba4F85dC641c54b594,0,784810988068560787,10235303,0,1625332321
16451580,0xd04F91298b83E72d808c1CB1AA637c2947E86176,0xc4DA04f471210063f8C79a09D6152D63085451a5,3075242,0,0,237122219002462432,1625332327
16451592,0xd04F91298b83E72d808c1CB1AA637c2947E86176,0xc4DA04f471210063f8C79a09D6152D63085451a5,3936506,0,0,300110042472255550,1625332355
16453916,0x0F85A912448279111694F4Ba4F85dC641c54b594,0x0F85A912448279111694F4Ba4F85dC641c54b594,0,203058186672055,2054,0,1625337797
16464509,0x5A7eE6C4c92567425a8E9b5A4E32D8074EF15c02,0x4026895A93D720083E4469eE675156A8Ff8D3853,57576575,0,0,6323931066507274683,1625361385
16464519,0x7EeA3d14617914d7Fc2A9Deb9D851aBdf850EA94,0x4026895A93D720083E4469eE675156A8Ff8D3853,1239152,0,0,116800712686994304,1625361409
16465871,0xF5Fa9aB64e62736a3ae9f6068eAC3B7e0A9E62da,0xbCD83aB205A14648674FE67c97AAD89B261cBaC6,7577091,0,0,667339996448305096,1625364197
16468556,0x0F85A912448279111694F4Ba4F85dC641c54b594,0x0F85A912448279111694F4Ba4F85dC641c54b594,0,419503306360126,4236,0,1625370123
16470483,0x0F85A912448279111694F4Ba4F85dC641c54b594,0x0F85A912448279111694F4Ba4F85dC641c54b594,0,459050219771460,3302,0,1625374737
16470536,0x0F85A912448279111694F4Ba4F85dC641c54b594,0x0F85A912448279111694F4Ba4F85dC641c54b594,0,28712545567118155,173456,0,1625374847
16470797,0x0656E143A033552DC6a4Ae5b2aA2109f91aBC295,0x4026895A93D720083E4469eE675156A8Ff8D3853,358545,0,0,58295812854533631,1625375515
16472418,0x3bCE205149f4fBb83306661EA369C67945325188,0x4026895A93D720083E4469eE675156A8Ff8D3853,11925883,0,0,1769297232364447078,1625379280
