block_number,sender,to,amount0In,amount1In,amount0Out,amount1Out,timestamps
22154889,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xDF269b80A99e19810Ba6Ccd560B4336EEC52Ebf0,40,0,0,394863213,1638685455
22155029,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xDF269b80A99e19810Ba6Ccd560B4336EEC52Ebf0,1172,0,0,10000000000,1638685871
22155406,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xDF269b80A99e19810Ba6Ccd560B4336EEC52Ebf0,1570,0,0,10000000000,1638686649
22176824,0x1FA97AD2f5F12D3153cf15053C2E35570c85dDAa,0x65edB37Cd6934D8eb825C0Ceb6cfBBC33A1935d1,14195,0,0,33460332027,1638737165
22437639,0x9e6314933f53aA5D0379f8150d9d0310Cff1491f,0xC957A20B3d9580Ead5a08DF1dC25802122027EF1,0,1442723141670620,726282694,0,1639315589
22437639,0xC55D578948F7EB2c4D00716D4d59D981ed865b29,0x5786b267d35F9D011c4750e0B0bA584E1fDbeAD1,0,5818737784019496,511451229,0,1639315589
22437642,0x484F20426f84836648D75f81fd3213694c38c4BF,0x1549E0E8127D380080aab448b82d280433CE4030,46920935,0,0,1331012782423318,1639315595
22438686,0x99c1C5478b00Afc2Fc1BD946C7e704ebcf77794D,0x1549E0E8127D380080aab448b82d280433CE4030,3581012,0,0,85184919522997,1639317875
22440394,0x24bACeE5ba8Dc1a0F6f719884044363dbabB30b7,0x1549E0E8127D380080aab448b82d280433CE4030,4403113,0,0,102025848914352,1639321434
22441823,0x24bACeE5ba8Dc1a0F6f719884044363dbabB30b7,0x1607fC872e20692b9E51fA73eBc836C1608D6E9c,0,34449843478158,1489149,0,1639324486
22442354,0x24bACeE5ba8Dc1a0F6f719884044363dbabB30b7,0xC957A20B3d9580Ead5a08DF1dC25802122027EF1,0,12121160350103,520627,0,1639325580
22442962,0x24bACeE5ba8Dc1a0F6f719884044363dbabB30b7,0xC957A20B3d9580Ead5a08DF1dC25802122027EF1,0,26615426222885,1137173,0,1639326836
22443001,0x24bACeE5ba8Dc1a0F6f719884044363dbabB30b7,0x5786b267d35F9D011c4750e0B0bA584E1fDbeAD1,0,42925918968256,1816843,0,1639326914
22704618,0x28E73C83C0f85784543300B96A1A3c2e900F7a35,0x1549E0E8127D380080aab448b82d280433CE4030,19542,0,0,392037775579,1639906725
22763263,0x28E73C83C0f85784543300B96A1A3c2e900F7a35,0x1549E0E8127D380080aab448b82d280433CE4030,19998,0,0,295487227134,1640034036
23015099,0x28E73C83C0f85784543300B96A1A3c2e900F7a35,0xf0D6f74Dd73f015B8e78050D443eCE9515dfF0Ce,0,325695895276,21634,0,1640589589
24297189,0x28E73C83C0f85784543300B96A1A3c2e900F7a35,0x483623A4057357FDFB5E5589Ec46e10f130BB0f8,25469,0,0,371966064229,1643444870
24645032,0x8Df23f638Bb40B2c62C49dD7b7Ca46723500C485,0x1549E0E8127D380080aab448b82d280433CE4030,38997,0,0,379275011738,1644213248
24911352,0x8Df23f638Bb40B2c62C49dD7b7Ca46723500C485,0x1549E0E8127D380080aab448b82d280433CE4030,59648,0,0,353634555647,1644798483
