block_number,sender,to,amount0In,amount1In,amount0Out,amount1Out,timestamps
17193961,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x875ECcc99d95AEBBcc577Dad7c229f26569B9d23,92466522804938,0,0,406236460932132133,1627077081
17193992,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x875ECcc99d95AEBBcc577Dad7c229f26569B9d23,107000000000000,0,0,428734138183675624,1627077147
17194040,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x875ECcc99d95AEBBcc577Dad7c229f26569B9d23,322174045796455,0,0,1077096630369201043,1627077243
17194075,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x875ECcc99d95AEBBcc577Dad7c229f26569B9d23,433973586082286,0,0,1088103594778042343,1627077317
17204009,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xEd71d7586839Db87Ee8D48454969AB8609f24136,0,1000000000000000000,438162682388225,0,1627098213
17204022,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xEd71d7586839Db87Ee8D48454969AB8609f24136,440803536374646,0,0,1000000000000000000,1627098239
17677502,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x58cA6168c92FE9E0709a101cf52B9Eb40B94F991,223993172782794785,0,0,684339685110687769,1628245182
17683015,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xdB6f1920A889355780aF7570773609Bd8Cb1f498,0,434521836146225398363,224311003518109167,0,1628257447
17720389,0x90249ed4d69D70E709fFCd8beE2c5A566f65dADE,0x90249ed4d69D70E709fFCd8beE2c5A566f65dADE,74999870074,0,0,56032423195482592951,1628344228
17720499,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x60F4c86457c1954c0ca963dc03534C3311967bEB,3749598234613,0,0,327648100308877016669,1628344660
17720536,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x60F4c86457c1954c0ca963dc03534C3311967bEB,74989346979412,0,0,48059128927120472273,1628344786
17784596,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xdB6f1920A889355780aF7570773609Bd8Cb1f498,47777900155157,0,0,1044275846540195062,1628492210
17928404,0x1beeA90D1CEaB31919B4197409cef9373e7b2C11,0x1beeA90D1CEaB31919B4197409cef9373e7b2C11,37525456019537,0,0,395457457342419897,1628832457
17945407,0x84E5Bc3dF0df0f543648f250443c6f4077218312,0x84E5Bc3dF0df0f543648f250443c6f4077218312,0,459973787365100566,41894556906371,0,1628875307
18032787,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x93B997887bcCDe54d69051F6FD7545430693F5C5,1337227469554,0,0,19380143023431138,1629089303
18054280,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xc4e595acDD7d12feC385E5dA5D43160e8A0bAC0E,0,19380143023431138,1329301977618,0,1629137233
18177514,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x747276019e3340104C96397bF6537aD01F93D7df,112946152365,0,0,1653062194538903,1629421801
18177958,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xa845eaC37089cF5ce7df7bD49eca1FC95905C7f4,91681483528775,0,0,768668784916342963,1629423143
18177958,0xCF8798BbE7a51051F19b73CE7d99F661196288FE,0xD1eC85bB8f3D3aDcB46bA430449966e2883Ba176,0,267188164028668407,43978092961081,0,1629423143
18178078,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x5874e4Ea2F891ad337FaEE094363bF5d7AfCc61A,1947448608737,0,0,14649035938120549,1629423391
18226418,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x747276019e3340104C96397bF6537aD01F93D7df,0,2194538903,293043,0,1629536545
18405008,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xA278fc03ea0e70a90c52853EFE5D21A22A8E5B5a,20688546822292,0,0,137542747465590991,1629955042
18405009,0x353B7a9c1AeDaD804D0c32dAF2373C82bff2BB55,0x78507bA122B0D58f3556434B0de5503b9bE449dA,0,51558445421056884,8264434712970,0,1629955044
18458513,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x7F2FbA6FA298D46B04B93D95DDC424056Cc6dCeE,4590935025962,0,0,29027531693001600,1630087310
18461327,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x7F2FbA6FA298D46B04B93D95DDC424056Cc6dCeE,3298045489062,0,0,20000000000000000,1630093914
