block_number,sender,to,amount0In,amount1In,amount0Out,amount1Out,timestamps
18794148,0x84E5Bc3dF0df0f543648f250443c6f4077218312,0x84E5Bc3dF0df0f543648f250443c6f4077218312,13571910292443126559,0,0,5750321993285755,1630895518
18803959,0xF9c4a799627353600905dAB119287A3Fa1dA4C1F,0x7e24A40439fabCf42Ef75099bCAE123C6D8dc0E9,0,193081626302416,1021491355487003742,0,1630919487
18804105,0x37D48abC25dC888A9D05c12238d09810f6DCdF60,0x37D48abC25dC888A9D05c12238d09810f6DCdF60,0,150684596326984,737603427723437846,0,1630919791
18804400,0x24bACeE5ba8Dc1a0F6f719884044363dbabB30b7,0x7e24A40439fabCf42Ef75099bCAE123C6D8dc0E9,0,47191572947118,221160264560897274,0,1630920397
18809210,0x104e6d0deA53F7bC7bb22b0E8633D4EA62d73DB7,0x679B8Ab80F298bF802fB294137765C6386D43dcA,233513194765272420,0,0,49504013010392,1630930806
18824771,0x484F20426f84836648D75f81fd3213694c38c4BF,0x1Bd06B96dd42AdA85fDd0795f3B4A79DB914ADD5,2636194922581012748,0,0,493460292902737,1630965568
18839177,0x104e6d0deA53F7bC7bb22b0E8633D4EA62d73DB7,0x6Cf8654e85AB489cA7e70189046D507ebA233613,235414381346148987,0,0,38943718148454,1630999540
18856105,0x104e6d0deA53F7bC7bb22b0E8633D4EA62d73DB7,0x4deD9b993D2bcf960F6774b32DcB53E58B6453aE,661242310811424187,0,0,105527184647183,1631040429
18874337,0x104e6d0deA53F7bC7bb22b0E8633D4EA62d73DB7,0x6Cf8654e85AB489cA7e70189046D507ebA233613,463493649304943303,0,0,70750495793564,1631087567
18878858,0x0b1413E95202570287F490F6CAe04F60Ec1018BE,0x7e24A40439fabCf42Ef75099bCAE123C6D8dc0E9,0,112450175378397,724715794774574296,0,1631097798
18899715,0x484F20426f84836648D75f81fd3213694c38c4BF,0x1Bd06B96dd42AdA85fDd0795f3B4A79DB914ADD5,999697185815474760,0,0,152593944811533,1631147520
18903178,0x104e6d0deA53F7bC7bb22b0E8633D4EA62d73DB7,0x6Cf8654e85AB489cA7e70189046D507ebA233613,317521249823716765,0,0,46051222075789,1631155437
18906647,0x104e6d0deA53F7bC7bb22b0E8633D4EA62d73DB7,0x7e24A40439fabCf42Ef75099bCAE123C6D8dc0E9,0,57101015924197,390259600038121084,0,1631163233
18907488,0x0b1413E95202570287F490F6CAe04F60Ec1018BE,0x7e24A40439fabCf42Ef75099bCAE123C6D8dc0E9,0,57547384244605,381797260736621785,0,1631165095
18936821,0x104e6d0deA53F7bC7bb22b0E8633D4EA62d73DB7,0x7e24A40439fabCf42Ef75099bCAE123C6D8dc0E9,0,42065625043983,272059663300016115,0,1631234654
18980418,0x0b1413E95202570287F490F6CAe04F60Ec1018BE,0x0b1413E95202570287F490F6CAe04F60Ec1018BE,272361778844696430,0,0,41862219996283,1631339277
19031102,0x0b1413E95202570287F490F6CAe04F60Ec1018BE,0x0b1413E95202570287F490F6CAe04F60Ec1018BE,352168828073618196,0,0,52830303286864,1631465050
19078477,0x104e6d0deA53F7bC7bb22b0E8633D4EA62d73DB7,0xadbF1854e5883eB8aa7BAf50705338739e558E5b,242527514775957893,0,0,35558882111312,1631579344
19093774,0xec5002934dD59a5549a57c7258f6d58C6C7142A4,0x7e24A40439fabCf42Ef75099bCAE123C6D8dc0E9,0,24617154589107,167376636772278226,0,1631613703
19097292,0xa8300DFee79D213871e966765A70A2184DdB7E07,0x7e24A40439fabCf42Ef75099bCAE123C6D8dc0E9,0,26349046760997,176798592567134904,0,1631621746
19108889,0x0b1413E95202570287F490F6CAe04F60Ec1018BE,0x7e24A40439fabCf42Ef75099bCAE123C6D8dc0E9,0,102290908688578,664202973597589875,0,1631647440
19122366,0x0b1413E95202570287F490F6CAe04F60Ec1018BE,0x7e24A40439fabCf42Ef75099bCAE123C6D8dc0E9,0,42676598042300,267122979963049785,0,1631678709
19155830,0x104e6d0deA53F7bC7bb22b0E8633D4EA62d73DB7,0x7e24A40439fabCf42Ef75099bCAE123C6D8dc0E9,0,58532971135142,357292586907992222,0,1631757785
19157060,0x484F20426f84836648D75f81fd3213694c38c4BF,0x7e24A40439fabCf42Ef75099bCAE123C6D8dc0E9,0,253863117360344,1438092459303571212,0,1631760894
19212243,0xD5EF7364D68CaF8E168274DA151c6668De49d0C9,0x7e24A40439fabCf42Ef75099bCAE123C6D8dc0E9,0,26746759710821,141762055866368389,0,1631900488
19214979,0x484F20426f84836648D75f81fd3213694c38c4BF,0xFEFF91C350bB564cA5Dc7D6F7DcD12ac092F94FF,1148188452764522420,0,0,206402719004753,1631907687
19216564,0xD5EF7364D68CaF8E168274DA151c6668De49d0C9,0x7e24A40439fabCf42Ef75099bCAE123C6D8dc0E9,0,35581777792736,204811912545592938,0,1631911233
19218389,0x104e6d0deA53F7bC7bb22b0E8633D4EA62d73DB7,0x7e24A40439fabCf42Ef75099bCAE123C6D8dc0E9,0,44561894282633,251652165245530960,0,1631915985
19230404,0x104e6d0deA53F7bC7bb22b0E8633D4EA62d73DB7,0x6Cf8654e85AB489cA7e70189046D507ebA233613,252036885497370007,0,0,44364730104436,1631946880
19233422,0x104e6d0deA53F7bC7bb22b0E8633D4EA62d73DB7,0xadbF1854e5883eB8aa7BAf50705338739e558E5b,234305305504987443,0,0,40415925926066,1631955037
19302117,0x104e6d0deA53F7bC7bb22b0E8633D4EA62d73DB7,0x679B8Ab80F298bF802fB294137765C6386D43dcA,250195709639275085,0,0,42303094295943,1632119475
19314648,0x104e6d0deA53F7bC7bb22b0E8633D4EA62d73DB7,0x679B8Ab80F298bF802fB294137765C6386D43dcA,411682467726028644,0,0,67757720814123,1632149060
19322351,0x104e6d0deA53F7bC7bb22b0E8633D4EA62d73DB7,0x679B8Ab80F298bF802fB294137765C6386D43dcA,284635411635000642,0,0,45551829080044,1632168076
19373698,0x0b1413E95202570287F490F6CAe04F60Ec1018BE,0x0b1413E95202570287F490F6CAe04F60Ec1018BE,1330352133836989187,0,0,199948825396634,1632287179
19390953,0x104e6d0deA53F7bC7bb22b0E8633D4EA62d73DB7,0x7e24A40439fabCf42Ef75099bCAE123C6D8dc0E9,0,56761671626257,389444112453167662,0,1632329964
19442840,0x0b1413E95202570287F490F6CAe04F60Ec1018BE,0x396E655C309676cAF0acf4607a868e0CDed876dB,331666464590652859,0,0,48159963822763,1632452315
19528174,0x0b1413E95202570287F490F6CAe04F60Ec1018BE,0x537988cC627D1c582980Fd6f31648afa65d46acD,327673007247526491,0,0,46408993718045,1632643241
