block_number,sender,to,amount0In,amount1In,amount0Out,amount1Out,timestamps
20480782,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xf716A43d66C40eE90DF429AF2459E580c1AfC09B,744968,0,0,2635338856292299748929,1634889970
20481038,0x24bACeE5ba8Dc1a0F6f719884044363dbabB30b7,0x24bACeE5ba8Dc1a0F6f719884044363dbabB30b7,0,1746472729712838837995,496830,0,1634890626
20482646,0x99c1C5478b00Afc2Fc1BD946C7e704ebcf77794D,0xf716A43d66C40eE90DF429AF2459E580c1AfC09B,620661,0,0,2156172890619035122294,1634894617
20484172,0xD6B4A9db2EAdd02e76E37Bdcf5Bc8C13242c7954,0xf716A43d66C40eE90DF429AF2459E580c1AfC09B,1099072,0,0,3519796703592249544640,1634898379
20485386,0x24bACeE5ba8Dc1a0F6f719884044363dbabB30b7,0x853Ee4b2A13f8a742d64C8F088bE7bA2131f670d,0,1896063814154501861038,602510,0,1634901147
20487106,0x99c1C5478b00Afc2Fc1BD946C7e704ebcf77794D,0x10693509b4Bc2871aa171CEbC8f41E8E19c604D2,192942,0,0,615072544627133451469,1634905344
20487139,0x24bACeE5ba8Dc1a0F6f719884044363dbabB30b7,0xf716A43d66C40eE90DF429AF2459E580c1AfC09B,780947,0,0,2381266612084883266875,1634905410
20542044,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x7c68E12d007C3f3332BF53596Ef01dBE75EE232a,0,210496602558642717915,65620,0,1635037580
20547834,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x7F77e91030E9A6331Ef4feb522Ec9EAD42a4AeC1,32011,0,0,106346802849261163887,1635050674
20547870,0xD6B4A9db2EAdd02e76E37Bdcf5Bc8C13242c7954,0x10693509b4Bc2871aa171CEbC8f41E8E19c604D2,73728,0,0,215657056365817569911,1635050812
20566543,0xD6B4A9db2EAdd02e76E37Bdcf5Bc8C13242c7954,0xcd353F79d9FADe311fC3119B841e1f456b54e858,0,148056289543830975011,51684,0,1635092705
20599859,0xD6B4A9db2EAdd02e76E37Bdcf5Bc8C13242c7954,0xD6B4A9db2EAdd02e76E37Bdcf5Bc8C13242c7954,0,217630302159741685109,65846,0,1635175752
20631677,0xD6B4A9db2EAdd02e76E37Bdcf5Bc8C13242c7954,0xD6B4A9db2EAdd02e76E37Bdcf5Bc8C13242c7954,0,288303604602515772556,72674,0,1635251909
20916834,0xb1321fC2D757F36526500BcAeE36A8e93Fe00439,0x9ccD5aA0077211167C51772486babc61a75CACE0,1046,0,0,2280883313668967112,1635901970
21261455,0x2377D30c3954fB9F9636b252dA62271d8936eaC6,0x2377D30c3954fB9F9636b252dA62271d8936eaC6,0,3972833734060126827244,1185938,0,1636669484
21261572,0x24bACeE5ba8Dc1a0F6f719884044363dbabB30b7,0xf716A43d66C40eE90DF429AF2459E580c1AfC09B,194697,0,0,1706855588030454381351,1636669928
21261935,0xD6B4A9db2EAdd02e76E37Bdcf5Bc8C13242c7954,0x6e7a5FAFcec6BB1e78bAE2A1F0B612012BF14827,0,583229170855540140598,72496,0,1636670985
21265042,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x61BC9EF3B425Ca40b006434960A7A63C73a77912,192836,0,0,1610140005093608596538,1636679416
22338986,0xD6B4A9db2EAdd02e76E37Bdcf5Bc8C13242c7954,0x019011032a7ac3A87eE885B6c08467AC46ad11CD,0,32707193440188956586745,3189513,0,1639100112
22340632,0xD6B4A9db2EAdd02e76E37Bdcf5Bc8C13242c7954,0xD6B4A9db2EAdd02e76E37Bdcf5Bc8C13242c7954,0,5719228579499583998614,438460,0,1639103639
22344814,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xcd353F79d9FADe311fC3119B841e1f456b54e858,0,300290516038205789703,22251,0,1639112770
22348825,0xD6B4A9db2EAdd02e76E37Bdcf5Bc8C13242c7954,0xD6B4A9db2EAdd02e76E37Bdcf5Bc8C13242c7954,0,4423813138409009951098,319427,0,1639121862
22368349,0xD6B4A9db2EAdd02e76E37Bdcf5Bc8C13242c7954,0xD6B4A9db2EAdd02e76E37Bdcf5Bc8C13242c7954,0,4198883326036918590165,289340,0,1639163796
22383514,0xD6B4A9db2EAdd02e76E37Bdcf5Bc8C13242c7954,0xf716A43d66C40eE90DF429AF2459E580c1AfC09B,228451,0,0,3311263238053701117597,1639196758
22403289,0xD6B4A9db2EAdd02e76E37Bdcf5Bc8C13242c7954,0xf716A43d66C40eE90DF429AF2459E580c1AfC09B,364210,0,0,5044800996522751558642,1639240719
22409305,0xD6B4A9db2EAdd02e76E37Bdcf5Bc8C13242c7954,0x8312A29A91D9Fac706F4d2ADEB1FA4540faD1673,0,2611571452515132850880,189931,0,1639254151
22436121,0xD6B4A9db2EAdd02e76E37Bdcf5Bc8C13242c7954,0xf716A43d66C40eE90DF429AF2459E580c1AfC09B,220816,0,0,3011352889315951925162,1639312329
22444245,0xD6B4A9db2EAdd02e76E37Bdcf5Bc8C13242c7954,0xf716A43d66C40eE90DF429AF2459E580c1AfC09B,206319,0,0,2725225872203702122764,1639329610
22465966,0xD6B4A9db2EAdd02e76E37Bdcf5Bc8C13242c7954,0xcd353F79d9FADe311fC3119B841e1f456b54e858,0,3125950318767121735206,234738,0,1639377166
22488171,0xD6B4A9db2EAdd02e76E37Bdcf5Bc8C13242c7954,0xD6B4A9db2EAdd02e76E37Bdcf5Bc8C13242c7954,0,5203992796340145197333,373260,0,1639430085
22494350,0xD6B4A9db2EAdd02e76E37Bdcf5Bc8C13242c7954,0xD6B4A9db2EAdd02e76E37Bdcf5Bc8C13242c7954,0,10502479534411658879203,693016,0,1639443346
22495635,0xD6B4A9db2EAdd02e76E37Bdcf5Bc8C13242c7954,0x10693509b4Bc2871aa171CEbC8f41E8E19c604D2,243780,0,0,3804942789298878712986,1639446124
22508574,0xD6B4A9db2EAdd02e76E37Bdcf5Bc8C13242c7954,0x10693509b4Bc2871aa171CEbC8f41E8E19c604D2,304363,0,0,4547722003393445509432,1639473770
22547603,0xD6B4A9db2EAdd02e76E37Bdcf5Bc8C13242c7954,0x10693509b4Bc2871aa171CEbC8f41E8E19c604D2,332922,0,0,4733767328764615448153,1639560580
22549510,0x4CFf3E9409bEB4f824abB6F787C2A4d63C688d69,0xf716A43d66C40eE90DF429AF2459E580c1AfC09B,509916,0,0,6803887595059653425257,1639564643
22557702,0xD6B4A9db2EAdd02e76E37Bdcf5Bc8C13242c7954,0xD6B4A9db2EAdd02e76E37Bdcf5Bc8C13242c7954,0,3566064429528708900807,270492,0,1639582849
22571859,0x28E73C83C0f85784543300B96A1A3c2e900F7a35,0x28E73C83C0f85784543300B96A1A3c2e900F7a35,0,7017865369228596946080,502182,0,1639615229
22577817,0x4CFf3E9409bEB4f824abB6F787C2A4d63C688d69,0xf716A43d66C40eE90DF429AF2459E580c1AfC09B,554566,0,0,7675275768657353621711,1639627926
22609723,0x28E73C83C0f85784543300B96A1A3c2e900F7a35,0xf716A43d66C40eE90DF429AF2459E580c1AfC09B,179790,0,0,2354286245875405110521,1639697770
