block_number,sender,to,amount0In,amount1In,amount0Out,amount1Out,timestamps
19703060,0x99c1C5478b00Afc2Fc1BD946C7e704ebcf77794D,0x0B23bd7D56160272049C6b33e2d4D575B6bE46ae,996898516776092626,0,0,974535,1633057755
19703736,0x99c1C5478b00Afc2Fc1BD946C7e704ebcf77794D,0x0B23bd7D56160272049C6b33e2d4D575B6bE46ae,50859928252189336,0,0,48698,1633059147
19712717,0x0b1413E95202570287F490F6CAe04F60Ec1018BE,0xb4856c9b98fE9faa0106C03A0BA6cC8864912E99,0,175510,181733383308186643,0,1633079727
19712803,0x0b1413E95202570287F490F6CAe04F60Ec1018BE,0xb4856c9b98fE9faa0106C03A0BA6cC8864912E99,0,221014,227016017084136271,0,1633079903
19712841,0x0b1413E95202570287F490F6CAe04F60Ec1018BE,0xb4856c9b98fE9faa0106C03A0BA6cC8864912E99,0,208881,212695957574040685,0,1633079983
19725844,0x4C06188142Bc4D50aEA4ebEdd6D8D093c7b13688,0x4C06188142Bc4D50aEA4ebEdd6D8D093c7b13688,5000000000000000000,0,0,4460589,1633108068
19725844,0x84E5Bc3dF0df0f543648f250443c6f4077218312,0x84E5Bc3dF0df0f543648f250443c6f4077218312,0,4137953,4643183482423716331,0,1633108068
19727507,0x0b1413E95202570287F490F6CAe04F60Ec1018BE,0xc2755915a85C6f6c1C0F3a86ac8C058F11Caa9C9,1453746538721642233,0,0,1366888,1633111627
19727507,0x0b1413E95202570287F490F6CAe04F60Ec1018BE,0xC16a6E6A59e46e17DC4c729F02693B38B0ba1026,681620258191918637,0,0,615057,1633111627
19728364,0x0b1413E95202570287F490F6CAe04F60Ec1018BE,0xb4856c9b98fE9faa0106C03A0BA6cC8864912E99,0,198510,220605048115352363,0,1633113393
19728460,0x99c1C5478b00Afc2Fc1BD946C7e704ebcf77794D,0xb4856c9b98fE9faa0106C03A0BA6cC8864912E99,0,387109,424942707296586247,0,1633113723
19728820,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x1bB46f6515da9c63eD67465cB0bF2F24598A4387,0,997935,1064479697248273843,0,1633114587
19728856,0x0b1413E95202570287F490F6CAe04F60Ec1018BE,0xc2755915a85C6f6c1C0F3a86ac8C058F11Caa9C9,608060663992881348,0,0,571679,1633114685
19728892,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x1bB46f6515da9c63eD67465cB0bF2F24598A4387,0,2993642,3016234263767047987,0,1633114757
19728893,0x0b1413E95202570287F490F6CAe04F60Ec1018BE,0xc2755915a85C6f6c1C0F3a86ac8C058F11Caa9C9,2695739207303344575,0,0,2676959,1633114759
19733243,0x99c1C5478b00Afc2Fc1BD946C7e704ebcf77794D,0xb4856c9b98fE9faa0106C03A0BA6cC8864912E99,0,463789,485273074539386057,0,1633124114
19736313,0x104e6d0deA53F7bC7bb22b0E8633D4EA62d73DB7,0xa22297B84C300C1F388D410c0B7Cba894F08b452,0,221705,228752062457027504,0,1633130874
23080394,0x9329f5E4f890fc03429339087e330716c0DC6F71,0x9f8c767a407b74dd35F2916C21114186d5CC8AB2,90678356720785,0,0,86,1640732450
24075490,0x4D09852B12587293DEedA9228F2A819DCaCC1b03,0x266Ff2cA30ac9670241B4d2e0Ead8f6AfA895E70,15509060009920,0,0,14,1642963937
