block_number,sender,to,amount0In,amount1In,amount0Out,amount1Out,timestamps
21308754,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x2f47d69BaF45c728D469E210437b89B5737a1319,506000000000000000000,0,0,110323835,1636777399
21346439,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x95bf076C05Ca46b9a43Ef76dbd2cE4e3f4e4a406,0,10000000,45840882723226071250,0,1636865912
21347748,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x95bf076C05Ca46b9a43Ef76dbd2cE4e3f4e4a406,71789959868355382163,0,0,15562354,1636868866
21347784,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x95bf076C05Ca46b9a43Ef76dbd2cE4e3f4e4a406,0,18000000,82527452329486402623,0,1636868942
21348001,0xf3bD012FEbBa4B181eE3a1939b134e07e7635cfE,0xf3bD012FEbBa4B181eE3a1939b134e07e7635cfE,0,1000,4580565509423657,0,1636869388
21348001,0xf3bD012FEbBa4B181eE3a1939b134e07e7635cfE,0xf3bD012FEbBa4B181eE3a1939b134e07e7635cfE,4580565509423657,0,0,994,1636869388
21348687,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x778B241DaF1C8B0130d9eFeF4F053BaeC7bC44cb,800000000000000000000,0,0,172058903,1636870804
21348944,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x95bf076C05Ca46b9a43Ef76dbd2cE4e3f4e4a406,0,10000000,46609324208868297381,0,1636871334
21349013,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x95bf076C05Ca46b9a43Ef76dbd2cE4e3f4e4a406,0,10000000,46560777143523584430,0,1636871476
21349320,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xaFFC9772Bf23F66b1876e0DCD6eE8299d3535f78,0,10000000,46512305924650181835,0,1636872110
21349632,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xaFFC9772Bf23F66b1876e0DCD6eE8299d3535f78,0,15000000,69677768086189666094,0,1636872754
21349797,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xCe3341B657Be6B1D8CCF57702550ed62a07A1279,600000000000000000000,0,0,127638293,1636873092
21350076,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x2a535EbCe8C199930Bb5BF5484dC1fDCe2116C18,1000000000000000000,0,0,211309,1636873666
21350308,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xaFFC9772Bf23F66b1876e0DCD6eE8299d3535f78,0,75000000,351433552196081594737,0,1636874146
21350780,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x59030AE3610ac65B1FE51aE7F9F3f8395Ea6a524,0,30000000,139806835881189312885,0,1636875502
21350990,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x59030AE3610ac65B1FE51aE7F9F3f8395Ea6a524,0,10000000,46505505567518863888,0,1636875938
21351117,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x59030AE3610ac65B1FE51aE7F9F3f8395Ea6a524,0,10000000,46457280812008814487,0,1636876200
21351237,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x59030AE3610ac65B1FE51aE7F9F3f8395Ea6a524,0,15000000,69595690914261776656,0,1636876448
21351567,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xE8eCF69A93Ff7450870889D7135305936340b8d1,0,8000000,37073471041270870301,0,1636877128
21351748,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xE8eCF69A93Ff7450870889D7135305936340b8d1,0,10000000,46298670458227150402,0,1636877502
21352829,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xE8eCF69A93Ff7450870889D7135305936340b8d1,0,17000000,78597884213775800086,0,1636879759
21352952,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x78008c47884Ea1e65b9399cB9503440fA2ba7895,0,10000000,46169502025874208093,0,1636880013
21353039,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x78008c47884Ea1e65b9399cB9503440fA2ba7895,0,10000000,46121799088215435953,0,1636880195
21353163,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x78008c47884Ea1e65b9399cB9503440fA2ba7895,0,15000000,69093444082220332271,0,1636880475
21353329,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x78008c47884Ea1e65b9399cB9503440fA2ba7895,0,20000000,91958356027555722164,0,1636880919
21353472,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x78008c47884Ea1e65b9399cB9503440fA2ba7895,0,15000000,68844357979582307979,0,1636881217
21353604,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x78008c47884Ea1e65b9399cB9503440fA2ba7895,0,30000000,137370104966660260075,0,1636881489
21353933,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x602C73DC6eaeC45133403890717F0687a65d9D25,0,20000000,91344662162106234606,0,1636882167
21354343,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x95bf076C05Ca46b9a43Ef76dbd2cE4e3f4e4a406,186000000000000000000,0,0,40438263,1636883011
21354432,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x602C73DC6eaeC45133403890717F0687a65d9D25,0,10000000,45792579363322577738,0,1636883197
21354505,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x602C73DC6eaeC45133403890717F0687a65d9D25,0,20000000,91443943454667246634,0,1636883347
21355040,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x95bf076C05Ca46b9a43Ef76dbd2cE4e3f4e4a406,100000000000000000000,0,0,21738343,1636884449
21358770,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x602C73DC6eaeC45133403890717F0687a65d9D25,0,30000000,137120965149964453765,0,1636892384
21362210,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x602C73DC6eaeC45133403890717F0687a65d9D25,0,20000000,91179211271207586227,0,1636899835
21381101,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x778B241DaF1C8B0130d9eFeF4F053BaeC7bC44cb,799000000000000000000,0,0,172964917,1636941360
21381778,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x9229F71b1DFc8302a9F4B688Fb7835Fc67BD90d0,0,50000000,230935563958152628410,0,1636942758
21382047,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xa03a1A885f73Ab7996C38E20c56A7741b15e725A,0,50000000,229843406003853530111,0,1636943366
21382167,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x9325D70B3aB0FbCEa7bA5D93f9486FbB69fD22Fe,0,23000000,105363150574211046720,0,1636943614
21382414,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x66c33476dF1036e87d623F8866AE6A9F7bC6b8e2,0,40000000,182696153486483796305,0,1636944124
21382939,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x73F01A88952e2B16456cdeC09A7259aCB9c174d6,0,38000000,172924131331043319458,0,1636945206
21383045,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xCe3341B657Be6B1D8CCF57702550ed62a07A1279,600000000000000000000,0,0,130487415,1636945426
21383249,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x5bfb7FA4E9830B247f7d74AfaB2C9175D2010a01,0,62000000,284302587131648040750,0,1636945846
21383526,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x5bfb7FA4E9830B247f7d74AfaB2C9175D2010a01,0,80000000,364392008902829654421,0,1636946438
21383639,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x1ed5AE4F91beF65F08D905b4A17B01b059079Bee,0,45000000,203767270250232319553,0,1636946672
21383808,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x0B5FeCDF8474130f3125F7cadE33CE80F3ecB2D4,0,55000000,247882976473141346982,0,1636947022
21389295,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xCe3341B657Be6B1D8CCF57702550ed62a07A1279,1000000000000000000000,0,0,218850705,1636958420
21389436,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x102EbF403Cc041f0E6FCc01C73d8d01D270E3447,0,120000000,547598353332343699918,0,1636958710
21389600,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x1140C7372CDB49467589817b6C3cF71BE214F310,0,100000000,451630989128353790071,0,1636959050
