block_number,sender,to,amount0In,amount1In,amount0Out,amount1Out,timestamps
17799797,0x9cba9f70dD6f141200b9198aFD85bA9162bD152a,0x9cba9f70dD6f141200b9198aFD85bA9162bD152a,5000000000,0,0,44325886406579971101478,1628528243
17799797,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xAc77eD771d53f526C4BD460F2A57F520A5C1c57A,5000000000,0,0,35471350530423103812326,1628528243
17799797,0x9cba9f70dD6f141200b9198aFD85bA9162bD152a,0x9cba9f70dD6f141200b9198aFD85bA9162bD152a,0,44325886406579971101477,6063863015,0,1628528243
17799803,0x9cba9f70dD6f141200b9198aFD85bA9162bD152a,0x9cba9f70dD6f141200b9198aFD85bA9162bD152a,5470000000,0,0,40251078894697191760152,1628528255
17799803,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x1C62A936e5BB2c4a12E13D8207fd647C90183f22,5000000000,0,0,29720351125617774702070,1628528255
17799803,0x9cba9f70dD6f141200b9198aFD85bA9162bD152a,0x9cba9f70dD6f141200b9198aFD85bA9162bD152a,0,40251078894697191760152,6523505361,0,1628528255
17799821,0x9cba9f70dD6f141200b9198aFD85bA9162bD152a,0x9cba9f70dD6f141200b9198aFD85bA9162bD152a,120000000,0,0,834470191903251192988,1628528295
17799821,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x7DEFAeAC45ba43c855A3282F2F6460c362c6353C,1900000000,0,0,12679068673716637656454,1628528295
17799822,0x9cba9f70dD6f141200b9198aFD85bA9162bD152a,0x9cba9f70dD6f141200b9198aFD85bA9162bD152a,0,834470191903251192988,128885089,0,1628528297
17799826,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x7caF9E4717621C2332228A58A213b2DbB329D458,39506840,0,0,254714525579726386714,1628528305
17799828,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xAc77eD771d53f526C4BD460F2A57F520A5C1c57A,5000000000,0,0,29280941620817560334340,1628528309
17799836,0x9cba9f70dD6f141200b9198aFD85bA9162bD152a,0x9cba9f70dD6f141200b9198aFD85bA9162bD152a,6760000000,0,0,32037424859008770051205,1628528325
17799836,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x1C62A936e5BB2c4a12E13D8207fd647C90183f22,5000000000,0,0,19514821006136559978180,1628528325
17799836,0x9cba9f70dD6f141200b9198aFD85bA9162bD152a,0x9cba9f70dD6f141200b9198aFD85bA9162bD152a,0,32037424859008770051205,7789642205,0,1628528325
17799840,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x32b5640f17141c2e23B42C28a754c67e76fb7df6,3423338193,0,0,14985308061221385561036,1628528333
17799849,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xD37DAbe2CccA72166F41c236b91Ca36494FE5919,1139258,0,0,4712456834555848718,1628528351
17799855,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x6F71097f9186E0A062155BaDbf0b0824890ca322,250000000,0,0,1029960896048879283998,1628528363
17799869,0x9cba9f70dD6f141200b9198aFD85bA9162bD152a,0x9cba9f70dD6f141200b9198aFD85bA9162bD152a,2810000000,0,0,11035426120494283362412,1628528391
17799874,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xD37DAbe2CccA72166F41c236b91Ca36494FE5919,1140102,0,0,4284564911595552943,1628528405
17799874,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x007Bf857F6148FF738F4BBc1bb8C2E71dC7CcEfD,1000000000,0,0,3701448052253651768572,1628528405
17799874,0x9cba9f70dD6f141200b9198aFD85bA9162bD152a,0x9cba9f70dD6f141200b9198aFD85bA9162bD152a,0,11035426120494283362412,2878238770,0,1628528405
17799884,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x1B99Fb83D64B5c78017482C0d20fa37df8c5036F,1140459,0,0,4544285707640940892,1628528425
17799888,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xD37DAbe2CccA72166F41c236b91Ca36494FE5919,1146018,0,0,4566272039364297583,1628528433
17799889,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xABc3E5d4A1742CB0AD68eFAfBea5E731Bcf956f2,5000000000,0,0,18475056850530293799793,1628528435
17799909,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x4b67945A88B434f22eC1308aD89769FD35127A5F,2000000,0,0,6851592331388983594,1628528475
17799939,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x826D8BF70dA731EA94E4f92c17beC5Bda2faF557,20000000,0,0,68495477924384613664,1628528539
17799942,0x9cba9f70dD6f141200b9198aFD85bA9162bD152a,0x9cba9f70dD6f141200b9198aFD85bA9162bD152a,170000000,0,0,580725107671845873738,1628528545
17799942,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xF4A6c618819bf71C9B9E2E35bFA0673b2A235566,4047687769,0,0,13083938519528954984016,1628528545
17799942,0x9cba9f70dD6f141200b9198aFD85bA9162bD152a,0x9cba9f70dD6f141200b9198aFD85bA9162bD152a,0,580725107671845873738,187865667,0,1628528545
17799945,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x7caF9E4717621C2332228A58A213b2DbB329D458,0,154714525579726386714,49898034,0,1628528551
17799957,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xcd353F79d9FADe311fC3119B841e1f456b54e858,0,1787170404557616510,576019,0,1628528575
17800014,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x826D8BF70dA731EA94E4f92c17beC5Bda2faF557,40000000,0,0,123302575657202606290,1628528694
17800032,0x9cba9f70dD6f141200b9198aFD85bA9162bD152a,0x9cba9f70dD6f141200b9198aFD85bA9162bD152a,230000000,0,0,706890234270281870511,1628528730
17800045,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x7caF9E4717621C2332228A58A213b2DbB329D458,0,100000000000000000000,32411148,0,1628528756
17800053,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x402293a05fD5e6eD2A6cF828C77272F6b71b9Eb8,1000000000,0,0,3035266916527174920139,1628528772
17800058,0x9cba9f70dD6f141200b9198aFD85bA9162bD152a,0x9cba9f70dD6f141200b9198aFD85bA9162bD152a,0,706890234270281870511,233413678,0,1628528782
17800105,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xfd80E2A0d2b3B1548ED8c3d4Cf8dCFAB4A90542D,100000000,0,0,301511808887000688438,1628528880
17800167,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xC0982DfA82577395E132b4f2A9065EEbcbc60219,300000000,0,0,901216047487697055102,1628529008
17800205,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x826D8BF70dA731EA94E4f92c17beC5Bda2faF557,20000000,0,0,59904355188125170687,1628529088
17800216,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x1B99Fb83D64B5c78017482C0d20fa37df8c5036F,0,16420126151081645314,5450000,0,1628529110
17800224,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x40bb95420E0E6EB24d2346A799A53d973ad4185a,9993853823,0,0,27419521477796749650440,1628529126
17800311,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x50DbdE8078de6051a611850fE19B684e76ac7517,22771294,0,0,57207988931486513099,1628529304
17800399,0x11431a89893025D2a48dCA4EddC396f8C8117187,0x11431a89893025D2a48dCA4EddC396f8C8117187,242410543,0,0,607651402929897763844,1628529499
17800442,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xD37DAbe2CccA72166F41c236b91Ca36494FE5919,490825711,0,0,1222821694684965726508,1628529588
17800453,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x1B99Fb83D64B5c78017482C0d20fa37df8c5036F,0,16450057686055066143,6589995,0,1628529624
17800467,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x6054025B75e5ecfBA1cF874B556286d7eC5EC14C,34218613,0,0,84885808411303332004,1628529652
