block_number,sender,to,amount0In,amount1In,amount0Out,amount1Out,timestamps
16388327,0x8BDd3d34f7CD843479596be54be01569deCF1430,0x8BDd3d34f7CD843479596be54be01569deCF1430,0,87344382148357895117,78346997657984943843,0,1625194799
16388329,0x8BDd3d34f7CD843479596be54be01569deCF1430,0x8BDd3d34f7CD843479596be54be01569deCF1430,0,21773559120821411636,10811310430928854244,0,1625194803
16390666,0x0F85A912448279111694F4Ba4F85dC641c54b594,0x0F85A912448279111694F4Ba4F85dC641c54b594,0,4013476162500000000,1785990013184390792,0,1625200132
16394620,0x383E79486D3EcDCdDc85ce59c4AAc7F1a6637AE8,0x383E79486D3EcDCdDc85ce59c4AAc7F1a6637AE8,0,1810996076826620137,787019894599327744,0,1625208541
16394811,0x13f28ea70D7d1FD35bc53CD257c5c58E103f979A,0x13f28ea70D7d1FD35bc53CD257c5c58E103f979A,0,2003743132898606154,857631857724763363,0,1625209063
16394819,0xEee49495242dA9E0BdbE29a7098388CEa8348dE4,0xEee49495242dA9E0BdbE29a7098388CEa8348dE4,0,6862736737523589304,2837482288783092491,0,1625209083
16397456,0xd60B95f4b73a2FF115D5f9efE6d207493cb1cE3b,0xf7d7112e8d528bcd60734566F637C7E7e2a1E794,0,8027503565220475511,3134288711352825701,0,1625214649
16400776,0xF5Fa9aB64e62736a3ae9f6068eAC3B7e0A9E62da,0xF5Fa9aB64e62736a3ae9f6068eAC3B7e0A9E62da,0,633472704545437468,239296837098207948,0,1625221886
16400831,0x5bcb66A3C81892a98907BAC60764645530C75d42,0x5bcb66A3C81892a98907BAC60764645530C75d42,0,1767074763159113011,661586338354157414,0,1625221996
16400905,0x10FD6824e54756F609bF08EF223E31c7e4d94E47,0x10FD6824e54756F609bF08EF223E31c7e4d94E47,0,1704884563500941405,630142135680983879,0,1625222152
16401020,0xCF8798BbE7a51051F19b73CE7d99F661196288FE,0xCF8798BbE7a51051F19b73CE7d99F661196288FE,0,1543577556691205815,563735430785157298,0,1625222386
16401128,0xcffd05069f618F02e49308A2d906Dcb9C65B51C2,0xcffd05069f618F02e49308A2d906Dcb9C65B51C2,0,1496567950932605201,540516208130885022,0,1625222610
16401160,0xdB5B02b58850F916428520F16d0c1eeF6F24C29F,0xdB5B02b58850F916428520F16d0c1eeF6F24C29F,0,4292386462279098146,1518131781063675474,0,1625222678
16401235,0x13f28ea70D7d1FD35bc53CD257c5c58E103f979A,0x13f28ea70D7d1FD35bc53CD257c5c58E103f979A,0,7026818604951814983,2386905354855348941,0,1625222832
16401461,0x0F85A912448279111694F4Ba4F85dC641c54b594,0x0F85A912448279111694F4Ba4F85dC641c54b594,0,7580344500000000000,2447180261349172270,0,1625223296
16403765,0x7814B8c5920923352BD7b6eAB89920C628779d7f,0x7814B8c5920923352BD7b6eAB89920C628779d7f,0,3015978434057358885,938695011885399128,0,1625228304
16456745,0x0F85A912448279111694F4Ba4F85dC641c54b594,0x0F85A912448279111694F4Ba4F85dC641c54b594,0,35998468750000000,6461688516387195,0,1625344399
16661308,0xaa2BD5869229a970D097464a4b80b1689e513c05,0xaa2BD5869229a970D097464a4b80b1689e513c05,0,44580365919445926,3070236738255446,0,1625806270
16980009,0x0F85A912448279111694F4Ba4F85dC641c54b594,0x0F85A912448279111694F4Ba4F85dC641c54b594,0,136376775000000000,3032879061305730,0,1626571123
18748522,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x50da2273B74c79D83388c7f1b97050fDEa30601a,0,5992147820259879948,2789925067717539,0,1630783422
18748523,0xdBDFC363C5F6Cb5a2e9112F9253084327700192c,0x2B168F3224551cc3b84DBC9d72f71578678256F6,2288818359375000,0,0,5934851552798727669,1630783424
21801825,0x28E73C83C0f85784543300B96A1A3c2e900F7a35,0x28E73C83C0f85784543300B96A1A3c2e900F7a35,0,229202775921462486815,2410106270181723,0,1637883528
