block_number,sender,to,amount0In,amount1In,amount0Out,amount1Out,timestamps
19509764,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0,1000000000000000000,345864075889996726,0,1632601127
19534126,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x7A6E41Ea4EdCeD41207660e6c0F16345CDd6150a,4470093709330183,0,0,40587431364825843,1632656546
19534185,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x7A6E41Ea4EdCeD41207660e6c0F16345CDd6150a,8946292707630715,0,0,74737929857729848,1632656668
19534237,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x7A6E41Ea4EdCeD41207660e6c0F16345CDd6150a,8943690157617011,0,0,67153016405610193,1632656776
19534254,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x7A6E41Ea4EdCeD41207660e6c0F16345CDd6150a,8943636654642365,0,0,60683919113695842,1632656810
19534468,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x7A6E41Ea4EdCeD41207660e6c0F16345CDd6150a,26785431524105695,0,0,151203128789212340,1632657254
19534606,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x7A6E41Ea4EdCeD41207660e6c0F16345CDd6150a,1874983486738004341,0,0,942905759068767749,1632657538
19535201,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x7d79A87659063E2e63b72C3B0896789473A717c8,0,195348065333089723,1346910254647719918,0,1632659148
19661429,0x22160911A56Bbda683AC09335886Eb570E340dAc,0xcd353F79d9FADe311fC3119B841e1f456b54e858,0,73365973680857104,144191584696750340,0,1632961869
19680984,0x22160911A56Bbda683AC09335886Eb570E340dAc,0xcd353F79d9FADe311fC3119B841e1f456b54e858,0,56541843385391802,77762815185752484,0,1633007349
19728064,0x99c1C5478b00Afc2Fc1BD946C7e704ebcf77794D,0x99c1C5478b00Afc2Fc1BD946C7e704ebcf77794D,0,29083195866889027,32581676168360585,0,1633112777
19918017,0x3bE77a1f4285FCA60AF1Be20C6cBe3da5ca9f209,0xba9F1403890150ea671C24cA3B4a66b81702d811,1279999999999997812,0,0,334181485341973168,1633549795
19918017,0xEA8A67728E817Eb63b3B794AA3b3A89E8cbA475B,0xba9F1403890150ea671C24cA3B4a66b81702d811,437785708862972454,0,0,25211237149617235,1633549795
19918022,0x22160911A56Bbda683AC09335886Eb570E340dAc,0xcd353F79d9FADe311fC3119B841e1f456b54e858,0,1760853640040666,37287177422798217,0,1633549805
19919110,0x84E5Bc3dF0df0f543648f250443c6f4077218312,0x84E5Bc3dF0df0f543648f250443c6f4077218312,0,150757221972848889,1281592799151504534,0,1633552177
19937036,0xf3938337F7294fEf84e9B2c6D548A93F956Cc281,0x5E58e0CeD3a272CAeb8bA00F4A4C2805Df6BE495,0,258601658342107771,445195991080867539,0,1633591506
20007681,0xEA8A67728E817Eb63b3B794AA3b3A89E8cbA475B,0x32dE8DB551C9c600E05987Cbc8a178D412696787,330960369540044003,0,0,220043907137889341,1633749765
20045078,0xf3938337F7294fEf84e9B2c6D548A93F956Cc281,0xDEF171Fe48CF0115B1d80b88dc8eAB59176FEe57,136000000000000000,0,0,43859489970838770,1633833489
20046092,0x24bACeE5ba8Dc1a0F6f719884044363dbabB30b7,0x24bACeE5ba8Dc1a0F6f719884044363dbabB30b7,0,42093458296210575,130643879002886687,0,1633835582
20093148,0x484F20426f84836648D75f81fd3213694c38c4BF,0x484F20426f84836648D75f81fd3213694c38c4BF,0,40983765526864415,95432983551047475,0,1633942195
20126647,0x99c1C5478b00Afc2Fc1BD946C7e704ebcf77794D,0x32dE8DB551C9c600E05987Cbc8a178D412696787,30000000000000000,0,0,13992917169467216,1634019070
20168849,0x99c1C5478b00Afc2Fc1BD946C7e704ebcf77794D,0x32dE8DB551C9c600E05987Cbc8a178D412696787,67546916916540160,0,0,27562363978484404,1634116978
