block_number,sender,to,amount0In,amount1In,amount0Out,amount1Out,timestamps
21669907,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xdB6f1920A889355780aF7570773609Bd8Cb1f498,21,3,1776,0,1637582199
21814711,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xdB6f1920A889355780aF7570773609Bd8Cb1f498,9,18,7003,0,1637913884
21818833,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xdB6f1920A889355780aF7570773609Bd8Cb1f498,0,181,12548,0,1637923337
21824656,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x8531c4e29491fE6e5e87AF6054FC20FcCf0b4290,81372,0,0,229,1637936282
21833935,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xdB6f1920A889355780aF7570773609Bd8Cb1f498,2,184,79948,0,1637958617
21834028,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x8531c4e29491fE6e5e87AF6054FC20FcCf0b4290,72427,0,0,182,1637958807
21842586,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xdB6f1920A889355780aF7570773609Bd8Cb1f498,1,43,57852,0,1637977418
21846819,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xdB6f1920A889355780aF7570773609Bd8Cb1f498,1,187,15440,0,1637986610
21846938,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x8531c4e29491fE6e5e87AF6054FC20FcCf0b4290,51984,0,0,224,1637986856
21864211,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xdB6f1920A889355780aF7570773609Bd8Cb1f498,3,189,51094,0,1638024710
21864780,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xdB6f1920A889355780aF7570773609Bd8Cb1f498,0,546,4111,0,1638025887
21864782,0x484F20426f84836648D75f81fd3213694c38c4BF,0xA6561863994788Ce722e7682A9c765CD1a093aB8,27740,0,0,714,1638025891
21866689,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xdB6f1920A889355780aF7570773609Bd8Cb1f498,0,54,16474,0,1638030129
21868297,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x8531c4e29491fE6e5e87AF6054FC20FcCf0b4290,2063,0,0,13,1638033712
21884666,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xdB6f1920A889355780aF7570773609Bd8Cb1f498,0,173,10070,0,1638070778
21887533,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x8531c4e29491fE6e5e87AF6054FC20FcCf0b4290,23147,0,0,211,1638077078
21909372,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xdB6f1920A889355780aF7570773609Bd8Cb1f498,2,171,22147,0,1638126223
21927687,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x8531c4e29491fE6e5e87AF6054FC20FcCf0b4290,9833,0,0,135,1638169287
21937147,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xD02b870c556480491c70AaF98C297fddd93F6f5C,397754,0,0,77,1638190611
21937149,0x24bACeE5ba8Dc1a0F6f719884044363dbabB30b7,0xfc9A80eC2479Be51d59D75E50704294DeB2E0e2E,0,329,408398,0,1638190615
21937729,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xD02b870c556480491c70AaF98C297fddd93F6f5C,24273,0,0,275,1638191857
21970556,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xdB6f1920A889355780aF7570773609Bd8Cb1f498,2,362,25251,0,1638267724
21970729,0xA8A080e25744bC174ed0fd06B61b0f7628785bB3,0xe82635a105c520fd58e597181cBf754961d51E3e,5989,0,0,249,1638268082
21971290,0x99c1C5478b00Afc2Fc1BD946C7e704ebcf77794D,0x4943f0928Cd5B4e51c296262d02e3AA0BB353143,39115,0,0,135,1638269240
21992758,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xdB6f1920A889355780aF7570773609Bd8Cb1f498,3,188,41243,0,1638318117
21996175,0x99c1C5478b00Afc2Fc1BD946C7e704ebcf77794D,0x70BEEd35e16ee29Fa8dDF53916d30486F56137a0,40868,0,0,187,1638325452
22021656,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xdB6f1920A889355780aF7570773609Bd8Cb1f498,3,207,41375,0,1638382628
22022786,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x8531c4e29491fE6e5e87AF6054FC20FcCf0b4290,18660,0,0,174,1638385640
22074899,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xdB6f1920A889355780aF7570773609Bd8Cb1f498,4,291,21011,0,1638504807
22075008,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x8531c4e29491fE6e5e87AF6054FC20FcCf0b4290,64392,0,0,334,1638505121
22077963,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xdB6f1920A889355780aF7570773609Bd8Cb1f498,1,230,62148,0,1638511509
22078082,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x8531c4e29491fE6e5e87AF6054FC20FcCf0b4290,69347,0,0,232,1638511755
22078213,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xdB6f1920A889355780aF7570773609Bd8Cb1f498,0,26,39027,0,1638512025
22127712,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xdB6f1920A889355780aF7570773609Bd8Cb1f498,6,232,30839,0,1638626814
22127934,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x8531c4e29491fE6e5e87AF6054FC20FcCf0b4290,60636,0,0,254,1638627332
