block_number,sender,to,amount0In,amount1In,amount0Out,amount1Out,timestamps
21753331,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x74276857987726c3e4b523e1339E5A2093E9AD28,1642220,0,0,2905696048777759981,1637775345
21753442,0x24bACeE5ba8Dc1a0F6f719884044363dbabB30b7,0x0B23bd7D56160272049C6b33e2d4D575B6bE46ae,0,801168574084641021,576252,0,1637775575
21753504,0xFff159420e81423051A151D533bA43143B42a102,0x74276857987726c3e4b523e1339E5A2093E9AD28,332846,0,0,481756738167394087,1637775703
21753654,0x277FEf984D1115a6f543d3D65A2d138faF1db856,0xdC2d6F129a5Fb13AAc61A63EF25E8f7691Fd2020,280750,0,0,360928579245883425,1637776011
21753658,0x277FEf984D1115a6f543d3D65A2d138faF1db856,0x101640e107C4a72DeC79826768C239F1eB48cc85,0,406395616983677914,312316,0,1637776019
21754068,0x277FEf984D1115a6f543d3D65A2d138faF1db856,0x101640e107C4a72DeC79826768C239F1eB48cc85,0,459436708333773648,312767,0,1637776871
21754129,0x277FEf984D1115a6f543d3D65A2d138faF1db856,0x65D43B64E3B31965Cd5EA367D4c2b94c03084797,0,397481994705499595,241535,0,1637776997
21754202,0x24bACeE5ba8Dc1a0F6f719884044363dbabB30b7,0xdC2d6F129a5Fb13AAc61A63EF25E8f7691Fd2020,394593,0,0,625994559737280087,1637777150
21754239,0x277FEf984D1115a6f543d3D65A2d138faF1db856,0x101640e107C4a72DeC79826768C239F1eB48cc85,0,402216671730483110,259398,0,1637777224
21754494,0x277FEf984D1115a6f543d3D65A2d138faF1db856,0x101640e107C4a72DeC79826768C239F1eB48cc85,0,565225691099418687,322163,0,1637777750
21755562,0x277FEf984D1115a6f543d3D65A2d138faF1db856,0x74276857987726c3e4b523e1339E5A2093E9AD28,227617,0,0,405155917590176756,1637779955
21755668,0x24bACeE5ba8Dc1a0F6f719884044363dbabB30b7,0x74276857987726c3e4b523e1339E5A2093E9AD28,395840,0,0,617786380033195562,1637780175
21755861,0x277FEf984D1115a6f543d3D65A2d138faF1db856,0x101640e107C4a72DeC79826768C239F1eB48cc85,0,368456490541113184,242403,0,1637780573
21756067,0x277FEf984D1115a6f543d3D65A2d138faF1db856,0x65D43B64E3B31965Cd5EA367D4c2b94c03084797,0,380924613119371292,227274,0,1637780997
21756443,0x277FEf984D1115a6f543d3D65A2d138faF1db856,0x74276857987726c3e4b523e1339E5A2093E9AD28,249532,0,0,413930876175299864,1637781773
21757038,0xFff159420e81423051A151D533bA43143B42a102,0x74276857987726c3e4b523e1339E5A2093E9AD28,275444,0,0,410016183654448673,1637783131
21757085,0xB837b1D199b9b911f1E00dAE3a93De78F84c9AfA,0x74276857987726c3e4b523e1339E5A2093E9AD28,1000000,0,0,1178280018102203178,1637783229
21757099,0xFff159420e81423051A151D533bA43143B42a102,0xf7bC741b2086Ca344e78225D06224ffDCd86D110,0,318160292627700416,304930,0,1637783257
21757163,0x277FEf984D1115a6f543d3D65A2d138faF1db856,0x0B23bd7D56160272049C6b33e2d4D575B6bE46ae,0,503697759850485540,424993,0,1637783389
21757600,0x277FEf984D1115a6f543d3D65A2d138faF1db856,0x35D59AC5629BA7ACdDF294010Efc9434Cb9AecfF,0,352504081635115714,262145,0,1637784301
21757678,0x277FEf984D1115a6f543d3D65A2d138faF1db856,0x65D43B64E3B31965Cd5EA367D4c2b94c03084797,0,372869087348825266,250803,0,1637784461
21757943,0x277FEf984D1115a6f543d3D65A2d138faF1db856,0x74276857987726c3e4b523e1339E5A2093E9AD28,321735,0,0,469111883883384921,1637785046
21758052,0x24bACeE5ba8Dc1a0F6f719884044363dbabB30b7,0x74276857987726c3e4b523e1339E5A2093E9AD28,433562,0,0,547328331996237661,1637785400
21758067,0x24bACeE5ba8Dc1a0F6f719884044363dbabB30b7,0x881204fbeea7958bB6eD7967a13c4ea0FE073088,0,544850470119857764,429360,0,1637785430
21758084,0x24bACeE5ba8Dc1a0F6f719884044363dbabB30b7,0x74276857987726c3e4b523e1339E5A2093E9AD28,479000,0,0,599199240508993052,1637785468
21758096,0x24bACeE5ba8Dc1a0F6f719884044363dbabB30b7,0x35D59AC5629BA7ACdDF294010Efc9434Cb9AecfF,0,599808569362712621,476814,0,1637785492
21758490,0x277FEf984D1115a6f543d3D65A2d138faF1db856,0x8ad4b3f2C3Cc0E4B017e48290F1517824830Aa04,0,685361269912317219,455150,0,1637786304
21758554,0x277FEf984D1115a6f543d3D65A2d138faF1db856,0x101640e107C4a72DeC79826768C239F1eB48cc85,0,472728191491012007,270026,0,1637786436
21758674,0x277FEf984D1115a6f543d3D65A2d138faF1db856,0x74276857987726c3e4b523e1339E5A2093E9AD28,253958,0,0,443586342055840854,1637786684
21759137,0x277FEf984D1115a6f543d3D65A2d138faF1db856,0x74276857987726c3e4b523e1339E5A2093E9AD28,231738,0,0,365135223519175812,1637787638
21760297,0x277FEf984D1115a6f543d3D65A2d138faF1db856,0x74276857987726c3e4b523e1339E5A2093E9AD28,262682,0,0,374715190769583842,1637790158
21760906,0x277FEf984D1115a6f543d3D65A2d138faF1db856,0x0B23bd7D56160272049C6b33e2d4D575B6bE46ae,0,378408045257683398,263631,0,1637791419
21761159,0x277FEf984D1115a6f543d3D65A2d138faF1db856,0x65D43B64E3B31965Cd5EA367D4c2b94c03084797,0,417102757511383345,261304,0,1637791941
21761216,0x277FEf984D1115a6f543d3D65A2d138faF1db856,0x74276857987726c3e4b523e1339E5A2093E9AD28,234033,0,0,373502447901363823,1637792059
21764574,0xFff159420e81423051A151D533bA43143B42a102,0x74276857987726c3e4b523e1339E5A2093E9AD28,193436,0,0,282961907444902894,1637799254
21767539,0x277FEf984D1115a6f543d3D65A2d138faF1db856,0x74276857987726c3e4b523e1339E5A2093E9AD28,266419,0,0,356494250429794774,1637805971
21767590,0x277FEf984D1115a6f543d3D65A2d138faF1db856,0x74276857987726c3e4b523e1339E5A2093E9AD28,288835,0,0,348718618722367319,1637806077
21767965,0x277FEf984D1115a6f543d3D65A2d138faF1db856,0x65D43B64E3B31965Cd5EA367D4c2b94c03084797,0,332060483746970470,274136,0,1637807039
24226107,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x170dFf1826595155D2cF50E6DF3b3649cAF74435,0,2235714285714285,1173,0,1643288048
24327664,0x79BaFc10542bA08593B2d775d64eD197b0B9a5f9,0x4C5ABEFd16b40629554c13434aC829aae7B0a552,0,13004110079346286,1554,0,1643513066
