block_number,sender,to,amount0In,amount1In,amount0Out,amount1Out,timestamps
20956170,0x84E5Bc3dF0df0f543648f250443c6f4077218312,0x84E5Bc3dF0df0f543648f250443c6f4077218312,1144458310000000000,0,0,61439315,1635994084
20992691,0xD6B4A9db2EAdd02e76E37Bdcf5Bc8C13242c7954,0x536e718845f12510E3C87acfd76F717e8941BfF5,75490688575232528,0,0,3921295,1636074858
21194426,0xD6B4A9db2EAdd02e76E37Bdcf5Bc8C13242c7954,0x536e718845f12510E3C87acfd76F717e8941BfF5,68464756901983296,0,0,3545513,1636516995
21226523,0xD6B4A9db2EAdd02e76E37Bdcf5Bc8C13242c7954,0x536e718845f12510E3C87acfd76F717e8941BfF5,96000729579640272,0,0,4954240,1636588666
21424824,0xD6B4A9db2EAdd02e76E37Bdcf5Bc8C13242c7954,0x536e718845f12510E3C87acfd76F717e8941BfF5,104863278950918832,0,0,5388717,1637037308
21462629,0xD6B4A9db2EAdd02e76E37Bdcf5Bc8C13242c7954,0x536e718845f12510E3C87acfd76F717e8941BfF5,87579664453478960,0,0,4482341,1637122128
21494362,0xD6B4A9db2EAdd02e76E37Bdcf5Bc8C13242c7954,0xD6B4A9db2EAdd02e76E37Bdcf5Bc8C13242c7954,0,5128402,99577402511158756,0,1637192008
21525240,0xD6B4A9db2EAdd02e76E37Bdcf5Bc8C13242c7954,0x536e718845f12510E3C87acfd76F717e8941BfF5,102375963424284688,0,0,5240703,1637260979
21562478,0xD6B4A9db2EAdd02e76E37Bdcf5Bc8C13242c7954,0xD6B4A9db2EAdd02e76E37Bdcf5Bc8C13242c7954,0,4739118,92043035485734783,0,1637342714
21717490,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0,201000000,3600410407495665597,0,1637695038
21720518,0x484F20426f84836648D75f81fd3213694c38c4BF,0x484F20426f84836648D75f81fd3213694c38c4BF,124773440783531104,0,0,7473385,1637702040
21801471,0xD6B4A9db2EAdd02e76E37Bdcf5Bc8C13242c7954,0xD6B4A9db2EAdd02e76E37Bdcf5Bc8C13242c7954,0,8523846,141405349495075190,0,1637882668
21817872,0xD6B4A9db2EAdd02e76E37Bdcf5Bc8C13242c7954,0x536e718845f12510E3C87acfd76F717e8941BfF5,198802589379180096,0,0,11896667,1637921091
21892956,0xD6B4A9db2EAdd02e76E37Bdcf5Bc8C13242c7954,0x03d25162bd75e0b7f764BE0C5559d069366D82d8,64248482909479456,0,0,3821798,1638089188
21954906,0xD6B4A9db2EAdd02e76E37Bdcf5Bc8C13242c7954,0xD6B4A9db2EAdd02e76E37Bdcf5Bc8C13242c7954,0,8817011,147058003589685871,0,1638233005
21970010,0xD6B4A9db2EAdd02e76E37Bdcf5Bc8C13242c7954,0x536e718845f12510E3C87acfd76F717e8941BfF5,81721280422536464,0,0,4877635,1638266567
21999279,0xD6B4A9db2EAdd02e76E37Bdcf5Bc8C13242c7954,0xD6B4A9db2EAdd02e76E37Bdcf5Bc8C13242c7954,0,6536100,108784519501159111,0,1638332156
22018071,0xD6B4A9db2EAdd02e76E37Bdcf5Bc8C13242c7954,0xD6B4A9db2EAdd02e76E37Bdcf5Bc8C13242c7954,0,7650260,126645985145043036,0,1638374102
22018083,0xD6B4A9db2EAdd02e76E37Bdcf5Bc8C13242c7954,0x8312A29A91D9Fac706F4d2ADEB1FA4540faD1673,0,6961528,114609955220565046,0,1638374126
22068713,0x484F20426f84836648D75f81fd3213694c38c4BF,0xbd1769953E56313cd32F2d1F8E58fEd7477f8b40,0,8112363,132800487473252792,0,1638491210
22079152,0xD6B4A9db2EAdd02e76E37Bdcf5Bc8C13242c7954,0x6e7a5FAFcec6BB1e78bAE2A1F0B612012BF14827,0,5043558,82156401298128244,0,1638513959
22105302,0xD6B4A9db2EAdd02e76E37Bdcf5Bc8C13242c7954,0xD6B4A9db2EAdd02e76E37Bdcf5Bc8C13242c7954,0,5432521,88145564569653597,0,1638574219
22117292,0xD6B4A9db2EAdd02e76E37Bdcf5Bc8C13242c7954,0x536e718845f12510E3C87acfd76F717e8941BfF5,197409390934069952,0,0,12063589,1638602539
22201963,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xA17F7De14EE47eFb1c822a7610781c3679bCDf92,100000000000000000,0,0,6069350,1638795890
22205224,0xD6B4A9db2EAdd02e76E37Bdcf5Bc8C13242c7954,0x536e718845f12510E3C87acfd76F717e8941BfF5,129667127744890192,0,0,7828732,1638803385
