block_number,sender,to,amount0In,amount1In,amount0Out,amount1Out,timestamps
14535803,0xd60B95f4b73a2FF115D5f9efE6d207493cb1cE3b,0x47187193994550F53bEeAF0538005b38122Fb54a,122419,0,0,46213605450099965738430275,1621107796
14547651,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x9c85bBC7e4D291e9007CA2d89b0efb759700B1E6,1,0,0,26459798934708723079,1621133540
14924256,0xd60B95f4b73a2FF115D5f9efE6d207493cb1cE3b,0x7F6c6959d70A00ea6BC6d118eb7617D23edD7183,0,447173915182876421884,11,0,1621972534
14989340,0x696211407c1aCa74c543DD19cF06E769BdaFD818,0xbedEE6a7c572aa855a0c84d2f504311d482862F4,36238950,0,0,1985631375133220276545638412,1622114372
14989342,0x21974CC0526a9C29915d0EB18d406c3a1511E9b5,0x264e6BC3f95633725658e4D9640f7F7D9100F6AC,152233,0,0,7775361174188059049766275,1622114376
14989357,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xd04934D47cbC46c535CBbee9238a7CfD8c215115,2804863,0,0,142476046010215072330415429,1622114406
14990998,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x34965ba0ac2451A34a0471F04CCa3F990b8dea27,0,292938026009358657209238864,5701436,0,1622117959
14991044,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xE9cF0020a8d43Ff25963ed78f16C32dAb6F73346,0,60197563821624536255727993,1156682,0,1622118055
14991125,0x74D07514aD71aA6ba1F3428eedFA01dc11408EAB,0x976b13d31C6e3f471251F04546ce31A258a90058,0,278018965028113137841108277,5277609,0,1622118221
14991759,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xd04934D47cbC46c535CBbee9238a7CfD8c215115,22812567,0,0,1156628064201473074038549374,1622119531
14991762,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x34965ba0ac2451A34a0471F04CCa3F990b8dea27,0,279567361818049581043909374,5659345,0,1622119537
14991762,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x34965ba0ac2451A34a0471F04CCa3F990b8dea27,0,146918835136546089216380510,2927576,0,1622119537
14992158,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x2589cfE3E2CC672fCFB83e9F7a5C302cDb57a4d8,0,96804740881756468408662249,1911794,0,1622120353
14992183,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x2589cfE3E2CC672fCFB83e9F7a5C302cDb57a4d8,0,127848778922518960070857125,2504256,0,1622120403
14993610,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x34965ba0ac2451A34a0471F04CCa3F990b8dea27,0,147215591696373032175975634,2854915,0,1622123773
14993911,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x2589cfE3E2CC672fCFB83e9F7a5C302cDb57a4d8,0,98559984434120287200817392,1894410,0,1622124391
