block_number,sender,to,amount0In,amount1In,amount0Out,amount1Out,timestamps
21262550,0x99c1C5478b00Afc2Fc1BD946C7e704ebcf77794D,0x8F8e95Ff4B4c5E354ccB005c6B0278492D7B5907,1848685,0,0,50233303419669,1636672575
21262759,0x99c1C5478b00Afc2Fc1BD946C7e704ebcf77794D,0x8F8e95Ff4B4c5E354ccB005c6B0278492D7B5907,1368395,0,0,36808527025261,1636673165
21263072,0xB837b1D199b9b911f1E00dAE3a93De78F84c9AfA,0x8F8e95Ff4B4c5E354ccB005c6B0278492D7B5907,3299532,0,0,87472841417297,1636673907
21263772,0x99c1C5478b00Afc2Fc1BD946C7e704ebcf77794D,0x8F8e95Ff4B4c5E354ccB005c6B0278492D7B5907,1572211,0,0,41054659810487,1636676015
21264482,0xB837b1D199b9b911f1E00dAE3a93De78F84c9AfA,0x8F8e95Ff4B4c5E354ccB005c6B0278492D7B5907,2919567,0,0,75192932582037,1636677879
21264954,0x99c1C5478b00Afc2Fc1BD946C7e704ebcf77794D,0x5786b267d35F9D011c4750e0B0bA584E1fDbeAD1,0,70708759078557,2730599,0,1636679212
21265652,0xB837b1D199b9b911f1E00dAE3a93De78F84c9AfA,0x8F8e95Ff4B4c5E354ccB005c6B0278492D7B5907,6420930,0,0,163443529652723,1636680928
21267198,0xB837b1D199b9b911f1E00dAE3a93De78F84c9AfA,0x5786b267d35F9D011c4750e0B0bA584E1fDbeAD1,0,72653381568402,2868183,0,1636685017
21267849,0x99c1C5478b00Afc2Fc1BD946C7e704ebcf77794D,0xf0D6f74Dd73f015B8e78050D443eCE9515dfF0Ce,0,33008301297586,1286689,0,1636686747
21268562,0x99c1C5478b00Afc2Fc1BD946C7e704ebcf77794D,0x5786b267d35F9D011c4750e0B0bA584E1fDbeAD1,0,66636746399586,2566998,0,1636688255
21272826,0xB837b1D199b9b911f1E00dAE3a93De78F84c9AfA,0x5786b267d35F9D011c4750e0B0bA584E1fDbeAD1,0,55106543871686,2092499,0,1636698173
21273492,0xB837b1D199b9b911f1E00dAE3a93De78F84c9AfA,0x8F8e95Ff4B4c5E354ccB005c6B0278492D7B5907,5128000,0,0,133001413195784,1636699728
21274030,0xB837b1D199b9b911f1E00dAE3a93De78F84c9AfA,0x5786b267d35F9D011c4750e0B0bA584E1fDbeAD1,0,213901104412799,8121545,0,1636701096
21275840,0xB837b1D199b9b911f1E00dAE3a93De78F84c9AfA,0x8F8e95Ff4B4c5E354ccB005c6B0278492D7B5907,2836781,0,0,75493181651815,1636705228
21280226,0xB837b1D199b9b911f1E00dAE3a93De78F84c9AfA,0x8F8e95Ff4B4c5E354ccB005c6B0278492D7B5907,13353545,0,0,338243916927004,1636715388
21280245,0xB837b1D199b9b911f1E00dAE3a93De78F84c9AfA,0x5786b267d35F9D011c4750e0B0bA584E1fDbeAD1,0,73760535395017,2987775,0,1636715464
21280513,0x24bACeE5ba8Dc1a0F6f719884044363dbabB30b7,0x5786b267d35F9D011c4750e0B0bA584E1fDbeAD1,0,77364002741709,3076956,0,1636716040
22576548,0x28E73C83C0f85784543300B96A1A3c2e900F7a35,0x8F8e95Ff4B4c5E354ccB005c6B0278492D7B5907,11665,0,0,171084728321,1639624909
24217466,0x28E73C83C0f85784543300B96A1A3c2e900F7a35,0x8F8e95Ff4B4c5E354ccB005c6B0278492D7B5907,33101,0,0,128942563854,1643268941
25155508,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xA23f0B78aCdeeAf425FB12EBc4DDFEba97CEf912,0,67316688316,23256,0,1645363965
26360824,0xb7c562e33956519255956D73FFe47e4c0aF10636,0x790BA8A375324c9B139A6734708A6945f0D3f696,1610,0,0,7194586958,1648248112
27033457,0x8Df23f638Bb40B2c62C49dD7b7Ca46723500C485,0x790BA8A375324c9B139A6734708A6945f0D3f696,1548,0,0,6383112787,1649735077
