block_number,sender,to,amount0In,amount1In,amount0Out,amount1Out,timestamps
17634987,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xB4831dd95C91B928949E25b5A9F447dcA66AA7E6,1000000,0,0,7661622724287770186,1628135829
17635032,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xB4831dd95C91B928949E25b5A9F447dcA66AA7E6,0,15446493296626200163,2000000,0,1628135923
17635555,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x34965ba0ac2451A34a0471F04CCa3F990b8dea27,0,100000000000000000000,12786079,0,1628137129
17635612,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xB4831dd95C91B928949E25b5A9F447dcA66AA7E6,5260809,0,0,41106162667020737989,1628137247
17635865,0xEdeb8C6da59cD16CF38021E1Aa12C18f2C7B11Ee,0xEdeb8C6da59cD16CF38021E1Aa12C18f2C7B11Ee,100,0,0,778609679336221,1628137821
17635865,0xEdeb8C6da59cD16CF38021E1Aa12C18f2C7B11Ee,0xEdeb8C6da59cD16CF38021E1Aa12C18f2C7B11Ee,0,778609679336221,99,0,1628137821
17650959,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x03b9b6A95F6e464e95bac01C5c2E034f55dECC08,5262412,0,0,40830022385334622833,1628176838
17697897,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xcd353F79d9FADe311fC3119B841e1f456b54e858,0,8400207415815411945,1079200,0,1628292882
17697940,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x34965ba0ac2451A34a0471F04CCa3F990b8dea27,0,10000000000000000000,1282700,0,1628292972
17698047,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x4FaAf99d52256e8Da264A4D04A137AA6a211d6B4,0,7807991691706639992,1000000,0,1628293190
17708426,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x2f6c3d4F9D0249598410f296b1F6cc113f0aC0ce,0,39197416884627774538,5000000,0,1628317579
17708450,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xcd353F79d9FADe311fC3119B841e1f456b54e858,0,8962180672873412681,1138500,0,1628317627
17791830,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x03b9b6A95F6e464e95bac01C5c2E034f55dECC08,0,40830022385334622833,5164815,0,1628510741
18143998,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xcd353F79d9FADe311fC3119B841e1f456b54e858,0,10000000000000000000,1259478,0,1629345322
18211810,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x2f6c3d4F9D0249598410f296b1F6cc113f0aC0ce,2000000,0,0,15776695194757126114,1629503490
18246179,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xD02b870c556480491c70AaF98C297fddd93F6f5C,0,50000000000000000000,6282263,0,1629583033
18326577,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xcd353F79d9FADe311fC3119B841e1f456b54e858,0,5000000000000000000,625291,0,1629768274
18326698,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x5B2075A0EcDa06210ecA2Fe0612CCEA3D636B428,0,8005087853432975230,1000000,0,1629768652
18326724,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x5B2075A0EcDa06210ecA2Fe0612CCEA3D636B428,0,8015966627201122923,1000000,0,1629768708
18326804,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x34965ba0ac2451A34a0471F04CCa3F990b8dea27,0,30000000000000000000,3730519,0,1629768872
18326908,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x2f6c3d4F9D0249598410f296b1F6cc113f0aC0ce,0,247606448080411004663,30083415,0,1629769084
18327082,0x712a8A58157DA4CA941519011633011B409884B9,0x712a8A58157DA4CA941519011633011B409884B9,3460093,0,0,28832311996604270538,1629769572
18327082,0x712a8A58157DA4CA941519011633011B409884B9,0x712a8A58157DA4CA941519011633011B409884B9,0,28832311996604270538,3439412,0,1629769572
18327082,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x2f6c3d4F9D0249598410f296b1F6cc113f0aC0ce,32534764,0,0,265765546193762656763,1629769572
18365656,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x34965ba0ac2451A34a0471F04CCa3F990b8dea27,0,50000000000000000000,6195561,0,1629856176
