block_number,sender,to,amount0In,amount1In,amount0Out,amount1Out,timestamps
14871667,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x3ACC73A5E87c24CDe92c69a52a9db9f5EE55294B,200000000000000000,0,0,299344,1621855027
14871734,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x3ACC73A5E87c24CDe92c69a52a9db9f5EE55294B,520000000000000000,0,0,613094,1621855165
14871734,0x4d69807a304C8770AF224aF6A0842b8B4f48759C,0xa301F032a43AB35e5C07B84dC0386Cc68Fbf34B4,0,816543,656461323050681164,0,1621855165
14871769,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x3ACC73A5E87c24CDe92c69a52a9db9f5EE55294B,340000000000000000,0,0,469426,1621855291
14871833,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x2589cfE3E2CC672fCFB83e9F7a5C302cDb57a4d8,0,547155,391824318792141020,0,1621855499
14891657,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x2589cfE3E2CC672fCFB83e9F7a5C302cDb57a4d8,144250962019142401,0,0,213930,1621900063
14901164,0x21974CC0526a9C29915d0EB18d406c3a1511E9b5,0xa301F032a43AB35e5C07B84dC0386Cc68Fbf34B4,0,123550,84230122156199708,0,1621922436
14904637,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x2589cfE3E2CC672fCFB83e9F7a5C302cDb57a4d8,121081524377327900,0,0,174801,1621929977
14904637,0x21974CC0526a9C29915d0EB18d406c3a1511E9b5,0x21974CC0526a9C29915d0EB18d406c3a1511E9b5,66415132723453870,0,0,91085,1621929977
14904637,0x21974CC0526a9C29915d0EB18d406c3a1511E9b5,0x160532D2536175d65C03B97b0630A9802c274daD,6450834075055668,0,0,8675,1621929977
14907351,0x21974CC0526a9C29915d0EB18d406c3a1511E9b5,0x21974CC0526a9C29915d0EB18d406c3a1511E9b5,10730892579244286,0,0,14365,1621935839
