block_number,sender,to,amount0In,amount1In,amount0Out,amount1Out,timestamps
20794645,0x84E5Bc3dF0df0f543648f250443c6f4077218312,0x84E5Bc3dF0df0f543648f250443c6f4077218312,0,130628713249296206471,460918717,0,1635629735
20794647,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xcd353F79d9FADe311fC3119B841e1f456b54e858,0,2009246391771442540,6259362,0,1635629739
20794648,0x24bACeE5ba8Dc1a0F6f719884044363dbabB30b7,0x8312A29A91D9Fac706F4d2ADEB1FA4540faD1673,0,12830689598882962640,39454658,0,1635629741
20794650,0x24bACeE5ba8Dc1a0F6f719884044363dbabB30b7,0xaC0ED4cceb1aE6c507B9925ac05DcfE8692Ff8C0,0,3097008394843868556,9391381,0,1635629745
20794664,0x11431a89893025D2a48dCA4EddC396f8C8117187,0x11431a89893025D2a48dCA4EddC396f8C8117187,0,8733061424953522333,26212061,0,1635629773
20794709,0xD6B4A9db2EAdd02e76E37Bdcf5Bc8C13242c7954,0xD6B4A9db2EAdd02e76E37Bdcf5Bc8C13242c7954,0,2365263140795983968,7031377,0,1635629867
20794711,0xD6B4A9db2EAdd02e76E37Bdcf5Bc8C13242c7954,0xD6B4A9db2EAdd02e76E37Bdcf5Bc8C13242c7954,0,63628331044046792,188756,0,1635629871
20794715,0x84E5Bc3dF0df0f543648f250443c6f4077218312,0x84E5Bc3dF0df0f543648f250443c6f4077218312,0,3023559036248971985,8945770,0,1635629879
20794742,0x84E5Bc3dF0df0f543648f250443c6f4077218312,0x84E5Bc3dF0df0f543648f250443c6f4077218312,0,15123524257875862319,44058117,0,1635629933
20794749,0xD6B4A9db2EAdd02e76E37Bdcf5Bc8C13242c7954,0xc48AE82ca34C63887b975F20ABA91a38f2a900B8,10238174,0,0,3528168989181772862,1635629947
20794824,0xb20D42e335f203D4421CaB57A543B29ea590E69E,0xc48AE82ca34C63887b975F20ABA91a38f2a900B8,12675317,0,0,4338817854676347511,1635630105
20794857,0x11431a89893025D2a48dCA4EddC396f8C8117187,0x11431a89893025D2a48dCA4EddC396f8C8117187,24782160,0,0,8390995763522400303,1635630171
20794928,0xb20D42e335f203D4421CaB57A543B29ea590E69E,0xc48AE82ca34C63887b975F20ABA91a38f2a900B8,20446409,0,0,6832726652817161982,1635630317
20794939,0xD6B4A9db2EAdd02e76E37Bdcf5Bc8C13242c7954,0x6b0Ce31eAD9b14c2281D80A5DDE903AB0855313A,14881593,0,0,4922677084820402803,1635630339
20794979,0xb20D42e335f203D4421CaB57A543B29ea590E69E,0xc48AE82ca34C63887b975F20ABA91a38f2a900B8,13491005,0,0,4426498106939576059,1635630423
20795014,0xb20D42e335f203D4421CaB57A543B29ea590E69E,0xD02b870c556480491c70AaF98C297fddd93F6f5C,0,3618006698115228034,10968779,0,1635630497
20795033,0x24bACeE5ba8Dc1a0F6f719884044363dbabB30b7,0xFEFF91C350bB564cA5Dc7D6F7DcD12ac092F94FF,0,3785016712864501881,11401530,0,1635630535
20795033,0x11431a89893025D2a48dCA4EddC396f8C8117187,0x11431a89893025D2a48dCA4EddC396f8C8117187,0,9664687500000000000,28776641,0,1635630535
20795036,0xb20D42e335f203D4421CaB57A543B29ea590E69E,0xB22ca72035160840E86e3E3fBA5e96fbbC74E222,6722043,0,0,2258501726336275722,1635630541
