block_number,sender,to,amount0In,amount1In,amount0Out,amount1Out,timestamps
15758700,0x22160911A56Bbda683AC09335886Eb570E340dAc,0x22160911A56Bbda683AC09335886Eb570E340dAc,0,235380,190069513579885784,0,1623792441
15758703,0x22160911A56Bbda683AC09335886Eb570E340dAc,0x22160911A56Bbda683AC09335886Eb570E340dAc,0,78225,48095149297143434,0,1623792447
15773258,0x34DE7FA06Ad0B7C9de0514FC0CaDE2476db2C6E0,0x06EcB6e790d949104deda350f50400408d8c30e0,0,35469,19971178773675259,0,1623826500
15803011,0x12432c84d148DD38F8d05dB6a37CA4e7e993e785,0x2cF7252e74036d1Da831d11089D326296e64a728,7373336427291263,0,0,13236,1623892644
15975412,0x54549B726B24eCA4cd9Aee30179E07220A447A58,0xA4a335c69201ac4ecdf8392842b130806234e963,16425843271332679,0,0,28573,1624272309
15995861,0x244D1D6672485913F0032AC02B887Da1e3A72dea,0x55FF76BFFC3Cdd9D5FdbBC2ece4528ECcE45047e,36564132006104336,0,0,59412,1624318317
16117491,0xc899aB716F2a04241D60C751141C455745DDeF8B,0x06EcB6e790d949104deda350f50400408d8c30e0,0,31901,19938981372170818,0,1624590089
16131041,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xC948873367A5d5D11483399658e90E365392b7EE,10372330985565904,0,0,16696,1624619928
16242112,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x55FF76BFFC3Cdd9D5FdbBC2ece4528ECcE45047e,765449298134965300,0,0,619551,1624869737
16242114,0x3c172aac7d515D7CB39918a7fDa311a8AC7B3f33,0x79533b8Dac0ED577a78187eCF2B76F2ba8EE4F91,0,208581,380542046717985150,0,1624869751
16242114,0x22160911A56Bbda683AC09335886Eb570E340dAc,0x22160911A56Bbda683AC09335886Eb570E340dAc,0,152644,178446760949999144,0,1624869751
16242114,0x22160911A56Bbda683AC09335886Eb570E340dAc,0x3B31Bb4b6bA4f67F4EF54e78bCb0AAa4f53DC7fF,85382978034864001,0,0,78883,1624869751
16242121,0x3bCE205149f4fBb83306661EA369C67945325188,0x06EcB6e790d949104deda350f50400408d8c30e0,0,64445,70377900629442569,0,1624869765
16243263,0xb6A295CCFe618B3EFfFe9a1C8dCAF7194a2b41B8,0x60D77aF0C1Fda7b525c45491F15E3f95a0155735,25103092447212892,0,0,23850,1624872373
16313862,0x28E73C83C0f85784543300B96A1A3c2e900F7a35,0xf7bC741b2086Ca344e78225D06224ffDCd86D110,22966849213105237,0,0,20835,1625029020
16595220,0xf209F26F8814b23B534be10bEadfD6b119FeD286,0x06EcB6e790d949104deda350f50400408d8c30e0,0,11787,13038501166001245,0,1625647469
16795149,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x55FF76BFFC3Cdd9D5FdbBC2ece4528ECcE45047e,11408235685289635,0,0,10267,1626129801
16894472,0x28E73C83C0f85784543300B96A1A3c2e900F7a35,0x218E468B15469228F35B0e7f88425CD45Fb982bD,19981890493515326,0,0,17463,1626370771
17054014,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x55FF76BFFC3Cdd9D5FdbBC2ece4528ECcE45047e,8668190394443325,0,0,7376,1626745996
17057927,0x28E73C83C0f85784543300B96A1A3c2e900F7a35,0xf7bC741b2086Ca344e78225D06224ffDCd86D110,18489541092417547,0,0,15349,1626755484
17075783,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x06EcB6e790d949104deda350f50400408d8c30e0,0,7084,8559533955286274,0,1626795876
17096593,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x06EcB6e790d949104deda350f50400408d8c30e0,0,7390,8789217505857746,0,1626842029
17101346,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x06EcB6e790d949104deda350f50400408d8c30e0,0,8020,9380596084608463,0,1626852599
17114171,0x84148b420F828da7236448306eCAc42344Fc48c7,0x06EcB6e790d949104deda350f50400408d8c30e0,0,8667,9937521139114747,0,1626882961
17190970,0x84148b420F828da7236448306eCAc42344Fc48c7,0x84148b420F828da7236448306eCAc42344Fc48c7,3487594303995852,0,0,3035,1627070741
17197262,0x84148b420F828da7236448306eCAc42344Fc48c7,0x06EcB6e790d949104deda350f50400408d8c30e0,0,11000,12456561976561872,0,1627084035
17200436,0x84148b420F828da7236448306eCAc42344Fc48c7,0x84148b420F828da7236448306eCAc42344Fc48c7,1133576163535908,0,0,1005,1627090587
17201310,0x84148b420F828da7236448306eCAc42344Fc48c7,0x84148b420F828da7236448306eCAc42344Fc48c7,1132305951424483,0,0,1002,1627092391
17276988,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x06EcB6e790d949104deda350f50400408d8c30e0,0,10235,11381328883138593,0,1627271216
17717596,0x28E73C83C0f85784543300B96A1A3c2e900F7a35,0x06EcB6e790d949104deda350f50400408d8c30e0,0,21309,22930983326566134,0,1628337948
17774952,0x28E73C83C0f85784543300B96A1A3c2e900F7a35,0x101640e107C4a72DeC79826768C239F1eB48cc85,23096071391976530,0,0,21333,1628469850
17833197,0x28E73C83C0f85784543300B96A1A3c2e900F7a35,0x06EcB6e790d949104deda350f50400408d8c30e0,0,20587,22174407713257615,0,1628602619
17887483,0x28E73C83C0f85784543300B96A1A3c2e900F7a35,0x06EcB6e790d949104deda350f50400408d8c30e0,0,23210,23904298229060549,0,1628735575
17905201,0x28E73C83C0f85784543300B96A1A3c2e900F7a35,0x101640e107C4a72DeC79826768C239F1eB48cc85,23737084974734310,0,0,22916,1628777800
17949764,0x28E73C83C0f85784543300B96A1A3c2e900F7a35,0x06EcB6e790d949104deda350f50400408d8c30e0,0,24399,25087600063891776,0,1628885856
18118914,0x28E73C83C0f85784543300B96A1A3c2e900F7a35,0x55FF76BFFC3Cdd9D5FdbBC2ece4528ECcE45047e,24005471901688975,0,0,23234,1629286920
18197875,0x28E73C83C0f85784543300B96A1A3c2e900F7a35,0x06EcB6e790d949104deda350f50400408d8c30e0,0,25993,26625158851153351,0,1629471174
18425395,0x28E73C83C0f85784543300B96A1A3c2e900F7a35,0x101640e107C4a72DeC79826768C239F1eB48cc85,23963365315908654,0,0,23317,1630006335
18733604,0x28E73C83C0f85784543300B96A1A3c2e900F7a35,0x06EcB6e790d949104deda350f50400408d8c30e0,0,26444,26933110399351779,0,1630748011
18874343,0x28E73C83C0f85784543300B96A1A3c2e900F7a35,0x28E73C83C0f85784543300B96A1A3c2e900F7a35,36469451526189799,0,0,35271,1631087579
19155891,0x28E73C83C0f85784543300B96A1A3c2e900F7a35,0x06EcB6e790d949104deda350f50400408d8c30e0,0,29325,30324334326199524,0,1631757911
19185623,0xD5EF7364D68CaF8E168274DA151c6668De49d0C9,0xD5EF7364D68CaF8E168274DA151c6668De49d0C9,18092655367964991,0,0,17601,1631835083
19327245,0x66314f56034215530E205E5352Ca59130b8A8C87,0x59153f27eeFE07E5eCE4f9304EBBa1DA6F53CA88,20002569820354004,0,0,18751,1632178682
19805740,0x28E73C83C0f85784543300B96A1A3c2e900F7a35,0x06EcB6e790d949104deda350f50400408d8c30e0,0,22471,23740210511060930,0,1633287231
20522931,0x28E73C83C0f85784543300B96A1A3c2e900F7a35,0x06EcB6e790d949104deda350f50400408d8c30e0,0,26307,26455223824676717,0,1634993777
20924223,0x28E73C83C0f85784543300B96A1A3c2e900F7a35,0x06EcB6e790d949104deda350f50400408d8c30e0,0,24310,23254437466990769,0,1635918611
21053494,0x28E73C83C0f85784543300B96A1A3c2e900F7a35,0x28E73C83C0f85784543300B96A1A3c2e900F7a35,18069858305433213,0,0,18877,1636208734
