block_number,sender,to,amount0In,amount1In,amount0Out,amount1Out,timestamps
15101810,0x1883ACFD428158566358bb103f11204f1106b199,0xFF43987461FD150779eb394E7F87D0995991Da4f,0,6844166118143969,196382220,0,1622348515
15182002,0x218BC75eb5aB883e136DD9BB0f8bE4c7840879E1,0x5d17A3089d7Ff50Cc2fAe3d76f1be37C19e3869E,57192877,0,0,2311154233981550,1622514190
15270966,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xdc22C3C23d94CF60ce61F7ac73c05CaAb0ed4668,10456513,0,0,388980892065308,1622698445
15270966,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xdc22C3C23d94CF60ce61F7ac73c05CaAb0ed4668,10280189,0,0,373230463504130,1622698445
15308672,0x1CD14f9171886a9F4D25A21817474C8990065F88,0x4485DF5F2B6Bf03935CeE44bf41ba65C06650B84,51971946,0,0,1758600728117333,1622777640
15620071,0xEee49495242dA9E0BdbE29a7098388CEa8348dE4,0x4485DF5F2B6Bf03935CeE44bf41ba65C06650B84,118443721,0,0,3728478873829514,1623488315
15635831,0xB757C05E415eD00C923DA9908987EAAD9C279135,0x4564F5cc77A6e8268149A94f8e0327E671708cfF,0,1708037286489054,54798195,0,1623522097
15645603,0xa262f998b3d20eC7315870A014B498423279D1b7,0x7b12052A769c34418e624051a1C19db94b70bf94,0,414212400804705,13068154,0,1623543149
15648365,0x2B92c72FcA42E8074cB1EF903a84a05A15E620B8,0x4564F5cc77A6e8268149A94f8e0327E671708cfF,0,854325150495823,26687875,0,1623549233
15649318,0xd75308650d2F4E885051616b7D6122BC305eAc9C,0x0aD91cc38b01654942f77E7dB56d7AdF59A51931,0,686663539335520,21194817,0,1623551327
15655373,0x20027bd4a6Fa91aC183Ff62A6230F4e5bf459897,0xDCd3664DDcD34ac37FDe42A7794a96eF17068987,0,949434690745712,28937776,0,1623564585
15662807,0xF5Fa9aB64e62736a3ae9f6068eAC3B7e0A9E62da,0x0554059D42E26f35CC958581C71FdfD92405d02f,17500731,0,0,572381503180132,1623581099
15667812,0xCCc8deCf85816b1ee28B2C46045b3D87bcb0c27B,0x7d88D931504D04BFBEE6F9745297A93063CAb24c,30024335,0,0,970325286795798,1623592189
15707358,0xEee49495242dA9E0BdbE29a7098388CEa8348dE4,0x90bc3E68Ba8393a3Bf2D79309365089975341a43,97332611,0,0,3048138331687074,1623678461
15712182,0xEee49495242dA9E0BdbE29a7098388CEa8348dE4,0x3A35fEb378BF72caC9410a2cfcbE989CB2FF02D7,0,3111003045656338,98710797,0,1623688803
15737787,0xEee49495242dA9E0BdbE29a7098388CEa8348dE4,0x4564F5cc77A6e8268149A94f8e0327E671708cfF,0,3082928591893185,93226982,0,1623745319
15752379,0xEee49495242dA9E0BdbE29a7098388CEa8348dE4,0x145E99a991a1594e76E2ac4f329bFD6aB84A95Bb,101316752,0,0,3324132774201404,1623778058
15752474,0xEee49495242dA9E0BdbE29a7098388CEa8348dE4,0xdc22C3C23d94CF60ce61F7ac73c05CaAb0ed4668,102469924,0,0,3195334317627772,1623778256
15755457,0xFB8edC880358260449D33208A4e8c65B319ADb9b,0x0554059D42E26f35CC958581C71FdfD92405d02f,35588957,0,0,1072740873618742,1623784922
15777707,0x49105799B8419570cfF4EceB109886020C327c5b,0x4485DF5F2B6Bf03935CeE44bf41ba65C06650B84,58076986,0,0,1711612523602301,1623836455
15840838,0x18214e5691A116995a5b6F6A8a4029BC7574C47A,0xf6BCaAD1Bb98F26F9D031fCC3908e6D0685b9186,0,972578736890346,32999621,0,1623973713
15853676,0xcE34375E4e731F1F2eCb7533b8926b4Fc6A36951,0x0aD91cc38b01654942f77E7dB56d7AdF59A51931,0,912766628699810,30501154,0,1624002664
15891414,0x7CFF570cF0E1b6C43CbBC97b612bC7Ce0C4F6b3D,0x0aD91cc38b01654942f77E7dB56d7AdF59A51931,0,1122497660245336,36901917,0,1624087726
15951786,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xdc22C3C23d94CF60ce61F7ac73c05CaAb0ed4668,29162274,0,0,883451179665114,1624221044
15971374,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x33A99094c0867054fb8258A6d8377c203245a089,0,1385361765463004,45277405,0,1624263722
15973364,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x2589cfE3E2CC672fCFB83e9F7a5C302cDb57a4d8,0,831236168123956,26692552,0,1624267956
16002156,0x54549B726B24eCA4cd9Aee30179E07220A447A58,0x4564F5cc77A6e8268149A94f8e0327E671708cfF,0,1379255233898458,43527864,0,1624332741
16013838,0x73D144dAAce606d3E6BA266f16024F58F750e8c5,0x4564F5cc77A6e8268149A94f8e0327E671708cfF,0,1615014899911697,49793931,0,1624359541
16017464,0x91CF5e057AA74CFa096c7a7ff26af81484f36D3C,0x4564F5cc77A6e8268149A94f8e0327E671708cfF,0,3366563478311168,99920917,0,1624367298
16020980,0xAFE40ED1ad7783F5df68c9BB8795238FCC347AdD,0x42eD6D85ccF43859cBc46F6efA1f21e21cC24030,56358410,0,0,1908558148546499,1624374809
16027737,0xC64A7F61054f6c4d8e180E3Bb6aE4c6F3a2d8D31,0x7d88D931504D04BFBEE6F9745297A93063CAb24c,62108474,0,0,2040795496161210,1624389599
16032658,0x7F46867e7063856AEc871Befa017d9237853EEa3,0x7d88D931504D04BFBEE6F9745297A93063CAb24c,40653094,0,0,1301713196676684,1624400402
16061185,0xE417D10Af2a632386Ed75e149ca1FCB0328780Bf,0x39c3B0102a61207d62d75983dE4E5172aB5343d0,0,1520033943673009,47107556,0,1624464215
16066234,0x88b20F1462b1Ced77e8C867bA8a2E6060fD0D5Cb,0xFF43987461FD150779eb394E7F87D0995991Da4f,0,1214465226148792,36850666,0,1624475023
16070294,0x1890879C6D9f906D5240227b2C2ce9554865FD0a,0x4564F5cc77A6e8268149A94f8e0327E671708cfF,0,834526762976933,24927890,0,1624484045
16070294,0x18214e5691A116995a5b6F6A8a4029BC7574C47A,0xFF43987461FD150779eb394E7F87D0995991Da4f,0,1943670842731274,56852023,0,1624484045
16081228,0xcc99954275e155aB5237E27b509a901B8Ecf6bb1,0x4564F5cc77A6e8268149A94f8e0327E671708cfF,0,1254046475230686,35810473,0,1624509056
16135764,0x73D144dAAce606d3E6BA266f16024F58F750e8c5,0x953F84F80cf17FAD3761eCDA10c9A796Db9293aC,0,2127728572778410,59259706,0,1624630205
16145878,0xE417D10Af2a632386Ed75e149ca1FCB0328780Bf,0x7c76B6B3FE14831A39C0fec908DA5f17180df677,31318660,0,0,1126011139693372,1624653139
16202418,0xeEa430DFe37CFe7BF42b51cA7D066a4C97d66310,0x0554059D42E26f35CC958581C71FdfD92405d02f,19858668,0,0,704412556003784,1624783915
16244253,0x7D9c6e2Be54299e6B8C5B256B5d5D458e585b913,0x4485DF5F2B6Bf03935CeE44bf41ba65C06650B84,23395406,0,0,820522589209679,1624874545
16252139,0xa462Bc887B9904e964Cd91a560101FC9a9348397,0x7d88D931504D04BFBEE6F9745297A93063CAb24c,45343742,0,0,1562183501450798,1624891986
16257790,0xa462Bc887B9904e964Cd91a560101FC9a9348397,0x0554059D42E26f35CC958581C71FdfD92405d02f,51588045,0,0,1733575461521803,1624904600
16267857,0x28E73C83C0f85784543300B96A1A3c2e900F7a35,0x145E99a991a1594e76E2ac4f329bFD6aB84A95Bb,8162939,0,0,270168304342923,1624927048
16270425,0x28E73C83C0f85784543300B96A1A3c2e900F7a35,0x42eD6D85ccF43859cBc46F6efA1f21e21cC24030,19378651,0,0,636923003736827,1624932962
16274271,0x28E73C83C0f85784543300B96A1A3c2e900F7a35,0x42eD6D85ccF43859cBc46F6efA1f21e21cC24030,14484016,0,0,471999252916839,1624941839
16277139,0x28E73C83C0f85784543300B96A1A3c2e900F7a35,0x42eD6D85ccF43859cBc46F6efA1f21e21cC24030,18807022,0,0,607775148030328,1624948139
16277615,0x28E73C83C0f85784543300B96A1A3c2e900F7a35,0x42eD6D85ccF43859cBc46F6efA1f21e21cC24030,18864203,0,0,603907982609741,1624949247
16284660,0x28E73C83C0f85784543300B96A1A3c2e900F7a35,0x145E99a991a1594e76E2ac4f329bFD6aB84A95Bb,10780560,0,0,342582490610145,1624964730
