block_number,sender,to,amount0In,amount1In,amount0Out,amount1Out,timestamps
14703236,0x21974CC0526a9C29915d0EB18d406c3a1511E9b5,0x781D28CD920091D5A9Bf7e2a4b8CE286991978BD,6096372091415824,0,0,37803530337161079381,1621473201
15277879,0xD3a3D3892d8F730CA0D1E32F6d394DC1B9283De6,0x781D28CD920091D5A9Bf7e2a4b8CE286991978BD,107000000000000,0,0,409494307567613881,1622712703
16741304,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x781D28CD920091D5A9Bf7e2a4b8CE286991978BD,2700910000000000,0,0,8804976564083540243,1626002765
17189585,0x84148b420F828da7236448306eCAc42344Fc48c7,0x781D28CD920091D5A9Bf7e2a4b8CE286991978BD,1140785093205709,0,0,3006726829013509031,1627067631
18033977,0x28E73C83C0f85784543300B96A1A3c2e900F7a35,0x28E73C83C0f85784543300B96A1A3c2e900F7a35,0,10572600215972709356,3491508975972594,0,1629092011
21186302,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x95A7748048Ea6f6f4F52423b657941901b0Ca782,1000000000000000,0,0,3439561741794854492,1636499707
21186598,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x95A7748048Ea6f6f4F52423b657941901b0Ca782,1000000000000000,0,0,3069286911188310264,1636500319
21187397,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x95A7748048Ea6f6f4F52423b657941901b0Ca782,20000000000000000,0,0,27992687068603057076,1636502026
21187398,0x28E73C83C0f85784543300B96A1A3c2e900F7a35,0x881204fbeea7958bB6eD7967a13c4ea0FE073088,0,25680295176511838511,19111410958956780,0,1636502028
21187649,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x95A7748048Ea6f6f4F52423b657941901b0Ca782,20000000000000000,0,0,26190269114174056459,1636502674
21190522,0x28E73C83C0f85784543300B96A1A3c2e900F7a35,0x28E73C83C0f85784543300B96A1A3c2e900F7a35,0,17244319024604517290,15870095888432913,0,1636508757
22916383,0x28E73C83C0f85784543300B96A1A3c2e900F7a35,0x28E73C83C0f85784543300B96A1A3c2e900F7a35,0,4141748093328643083,2074964851217350,0,1640371815
24215546,0x28E73C83C0f85784543300B96A1A3c2e900F7a35,0x781D28CD920091D5A9Bf7e2a4b8CE286991978BD,2976423146022687,0,0,5691576165266537180,1643264853
