block_number,sender,to,amount0In,amount1In,amount0Out,amount1Out,timestamps
17791891,0x84E5Bc3dF0df0f543648f250443c6f4077218312,0x84E5Bc3dF0df0f543648f250443c6f4077218312,299653226,0,0,869825650775239358742,1628510867
17791893,0xE85ac6DaF59D957D57AdD9FD02B72118737A710A,0x92928272c2D5E6230350B1d9791eDcf9263644D0,90610367,0,0,257990721981662322210,1628510871
17793293,0xb20D42e335f203D4421CaB57A543B29ea590E69E,0x8F1dbED8545d743CCf752Ff1805142778928c835,31611532,0,0,89467800713117889928,1628514150
17793756,0x84E5Bc3dF0df0f543648f250443c6f4077218312,0x84E5Bc3dF0df0f543648f250443c6f4077218312,60331684,0,0,169987347285545263742,1628515114
17793783,0xb20D42e335f203D4421CaB57A543B29ea590E69E,0x92928272c2D5E6230350B1d9791eDcf9263644D0,23905287,0,0,67077816796269261708,1628515168
17793870,0xb20D42e335f203D4421CaB57A543B29ea590E69E,0xff98829D6B0C851bD82BA9784a789F27d86BdAF1,62043417,0,0,173365091053423610841,1628515350
17793872,0xb20D42e335f203D4421CaB57A543B29ea590E69E,0xFD2e00312d07207b8F1B65A5BF6Df5C9F196A132,62072989,0,0,172407505114667096859,1628515354
17794499,0xb20D42e335f203D4421CaB57A543B29ea590E69E,0xb20D42e335f203D4421CaB57A543B29ea590E69E,0,88280986395604724736,31640383,0,1628516649
17796017,0xb20D42e335f203D4421CaB57A543B29ea590E69E,0xb20D42e335f203D4421CaB57A543B29ea590E69E,0,45523024801118893189,16277726,0,1628519945
17806227,0xd60B95f4b73a2FF115D5f9efE6d207493cb1cE3b,0x8F1dbED8545d743CCf752Ff1805142778928c835,167103401,0,0,461160146284775121342,1628543407
17806487,0xb20D42e335f203D4421CaB57A543B29ea590E69E,0xFD2e00312d07207b8F1B65A5BF6Df5C9F196A132,46934984,0,0,128195601598110297175,1628543943
17806543,0xb20D42e335f203D4421CaB57A543B29ea590E69E,0xFD2e00312d07207b8F1B65A5BF6Df5C9F196A132,23910336,0,0,65085362416791039315,1628544062
17809524,0xb20D42e335f203D4421CaB57A543B29ea590E69E,0xb20D42e335f203D4421CaB57A543B29ea590E69E,0,44531741154885174096,16267378,0,1628550779
17809526,0xb20D42e335f203D4421CaB57A543B29ea590E69E,0x8F1dbED8545d743CCf752Ff1805142778928c835,16280827,0,0,44301281835113128326,1628550783
17809529,0xb20D42e335f203D4421CaB57A543B29ea590E69E,0xFD2e00312d07207b8F1B65A5BF6Df5C9F196A132,16258781,0,0,44172306590469257201,1628550789
17810055,0xb20D42e335f203D4421CaB57A543B29ea590E69E,0xb20D42e335f203D4421CaB57A543B29ea590E69E,0,23624911047283616191,8646747,0,1628551877
17811021,0xb20D42e335f203D4421CaB57A543B29ea590E69E,0x92928272c2D5E6230350B1d9791eDcf9263644D0,8682092,0,0,23579146369891278634,1628554133
17811026,0xb20D42e335f203D4421CaB57A543B29ea590E69E,0x92928272c2D5E6230350B1d9791eDcf9263644D0,8629580,0,0,23417097678358772609,1628554143
17824304,0xb20D42e335f203D4421CaB57A543B29ea590E69E,0x92928272c2D5E6230350B1d9791eDcf9263644D0,8589717,0,0,23289708279608204120,1628583015
17824404,0xb20D42e335f203D4421CaB57A543B29ea590E69E,0x8F1dbED8545d743CCf752Ff1805142778928c835,16228850,0,0,43949828346714046690,1628583223
17824441,0xb20D42e335f203D4421CaB57A543B29ea590E69E,0xFD2e00312d07207b8F1B65A5BF6Df5C9F196A132,31517562,0,0,85159048848699323857,1628583297
17824444,0xb20D42e335f203D4421CaB57A543B29ea590E69E,0xb20D42e335f203D4421CaB57A543B29ea590E69E,0,107044745920470157366,39364958,0,1628583303
17824447,0xb20D42e335f203D4421CaB57A543B29ea590E69E,0xFD2e00312d07207b8F1B65A5BF6Df5C9F196A132,31517562,0,0,85223948715743154345,1628583309
