block_number,sender,to,amount0In,amount1In,amount0Out,amount1Out,timestamps
20552317,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xFaA45EEbb35316a44eAEfea6389Ad3005072D681,58853,0,0,248145624572680070,1635060556
20579282,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xce8246bDFB1232F84b73b40d4CB27D184324C7B8,0,25066525249606909904,5902534,0,1635126531
20579462,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xce8246bDFB1232F84b73b40d4CB27D184324C7B8,0,21789144657324035304,5119466,0,1635126903
20579807,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x50Dc4F798A3eDba5Cc6fA6d7EA807670D479D5e9,10366649,0,0,43811912624017535852,1635127741
20579869,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xce8246bDFB1232F84b73b40d4CB27D184324C7B8,0,95904000000000000000,22501712,0,1635127929
20582288,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xce8246bDFB1232F84b73b40d4CB27D184324C7B8,0,22982120908035609121,5362111,0,1635134301
20582988,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xFaA45EEbb35316a44eAEfea6389Ad3005072D681,1005625,0,0,4288078003103488995,1635135967
20583647,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xFaA45EEbb35316a44eAEfea6389Ad3005072D681,1014565,0,0,4324444395228379725,1635137462
20584142,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xFaA45EEbb35316a44eAEfea6389Ad3005072D681,1013551,0,0,4318363700004646037,1635138642
20584615,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xFaA45EEbb35316a44eAEfea6389Ad3005072D681,1012537,0,0,4312289351977482028,1635139842
20585123,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xFaA45EEbb35316a44eAEfea6389Ad3005072D681,1011525,0,0,4306229851174311853,1635141040
20585644,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xFaA45EEbb35316a44eAEfea6389Ad3005072D681,1010513,0,0,4300176662082631020,1635142242
20586203,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xFaA45EEbb35316a44eAEfea6389Ad3005072D681,1009503,0,0,4294138277918436671,1635143442
20586661,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xFaA45EEbb35316a44eAEfea6389Ad3005072D681,1008493,0,0,4288106170182900228,1635144642
20586878,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xce8246bDFB1232F84b73b40d4CB27D184324C7B8,0,44060224370427045651,10280986,0,1635145088
20587243,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xFaA45EEbb35316a44eAEfea6389Ad3005072D681,1017766,0,0,4343719715213690080,1635145842
20587701,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xFaA45EEbb35316a44eAEfea6389Ad3005072D681,1005445,0,0,4289391193164097687,1635147042
20588267,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xFaA45EEbb35316a44eAEfea6389Ad3005072D681,1004439,0,0,4283369948905427708,1635148356
20588732,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xFaA45EEbb35316a44eAEfea6389Ad3005072D681,1003435,0,0,4277363467026686330,1635149442
20589770,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xFaA45EEbb35316a44eAEfea6389Ad3005072D681,1002431,0,0,4271363201190746914,1635151842
20590279,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xFaA45EEbb35316a44eAEfea6389Ad3005072D681,1001429,0,0,4265377656008071338,1635153042
20590335,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xce8246bDFB1232F84b73b40d4CB27D184324C7B8,0,1000389184471129236,233501,0,1635153266
20590785,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xFaA45EEbb35316a44eAEfea6389Ad3005072D681,1000661,0,0,4260794847666877219,1635154243
20593822,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xFaA45EEbb35316a44eAEfea6389Ad3005072D681,1010839,0,0,4302395693504541781,1635161441
20594137,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xFebBD214818E65884BC5C0c634A74B4F71c6094d,5888208,0,0,25027146984040826167,1635162091
20594320,0xf3bD012FEbBa4B181eE3a1939b134e07e7635cfE,0xf3bD012FEbBa4B181eE3a1939b134e07e7635cfE,1000,0,0,4245361015945921,1635162503
20594320,0xf3bD012FEbBa4B181eE3a1939b134e07e7635cfE,0xf3bD012FEbBa4B181eE3a1939b134e07e7635cfE,0,4245361015945921,994,0,1635162503
20594356,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xFaA45EEbb35316a44eAEfea6389Ad3005072D681,1003940,0,0,4261232646108239896,1635162647
20594863,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xFaA45EEbb35316a44eAEfea6389Ad3005072D681,1002936,0,0,4255259961353088171,1635163843
20595368,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xFaA45EEbb35316a44eAEfea6389Ad3005072D681,1001933,0,0,4249297682832230795,1635165049
20595842,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xFaA45EEbb35316a44eAEfea6389Ad3005072D681,1000931,0,0,4243345791597986586,1635166249
20616178,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xce8246bDFB1232F84b73b40d4CB27D184324C7B8,0,4187316333348883316,981801,0,1635214240
20616726,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xce8246bDFB1232F84b73b40d4CB27D184324C7B8,0,4193171622628722705,982786,0,1635215444
20617206,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xce8246bDFB1232F84b73b40d4CB27D184324C7B8,0,4199037139285479817,983772,0,1635216642
20617695,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xce8246bDFB1232F84b73b40d4CB27D184324C7B8,0,4204908630911794468,984758,0,1635217844
20618127,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xce8246bDFB1232F84b73b40d4CB27D184324C7B8,0,4210794654272198516,985746,0,1635219056
20618655,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xce8246bDFB1232F84b73b40d4CB27D184324C7B8,0,4216690960437475671,986735,0,1635220241
20619081,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xce8246bDFB1232F84b73b40d4CB27D184324C7B8,0,4222597567987354474,987725,0,1635221441
20619518,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xce8246bDFB1232F84b73b40d4CB27D184324C7B8,0,4228510217929506224,988715,0,1635222643
20620034,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xce8246bDFB1232F84b73b40d4CB27D184324C7B8,0,4234437480783923039,989707,0,1635223841
