block_number,reseve0,reserve1,timestamps
18929249,4980000000000000000000,1245000000000000000000,1631216050
18937076,5080000000000000000000,1220564206547630765597,1631235392
18937084,5212000000000000000000,1189742384352679959804,1631235440
18937092,5412000000000000000000,1145902595861730411816,1631235472
18942527,5160561134013681712753,1201902595861730411816,1631249726
18942904,5316495121552065712753,1166753188084294712463,1631250760
18945905,5666495121552065712753,1094889721711068628198,1631258409
18945915,6091898897910065712753,1018645807822324269885,1631258429
18946343,6062231838483936371381,1023645807822324269885,1631259698
18946395,6032852759532548039919,1028645807822324269885,1631259806
18946514,6003757486076419325214,1033645807822324269885,1631260052
18946569,5974941923469681420266,1038645807822324269885,1631260166
18946644,5957785222440212666595,1041645807822324269885,1631260321
18947477,5912557373682894799864,1049637807822324269885,1631262567
18947619,5868012045322038240315,1057629807822324269885,1631262859
18948318,5789592956749112621346,1071998335970422414516,1631264430
18949214,5503817302672897080798,1127827377391151622733,1631266662
18949733,5903417302672897080798,1051698752139137707004,1631267922
18951473,5392238439587449178492,1151698752139137707004,1631272306
18951513,5346005537593159910967,1161688752139137707004,1631272426
18951544,4970603064540472350121,1249688752139137707004,1631272488
18952166,5163410064540472350121,1203158880626369971631,1631274028
18955225,5562802232580472350121,1117016351906616312979,1631281165
18964801,5827885077665194350121,1066354087275639550105,1631303502
18975379,5859181329552194350121,1060675256264160621319,1631327821
18976807,5804673858552045551657,1070665256264160621319,1631330789
18976882,5751172680570854737806,1080655256264160621319,1631330943
18979578,5735314550611535749531,1083652256264160621319,1631337525
18979595,5719543764231838873864,1086649256264160621319,1631337573
18979650,5703859601448295054394,1089646256264160621319,1631337687
18979678,5688261350170916823072,1092643256264160621319,1631337743
18979692,5672748306095303559477,1095640256264160621319,1631337771
18992070,5894526306095303559477,1054536480795672285365,1631367222
18994228,5839373791973284428239,1064526480795672285365,1631372409
18995063,5785245296580448711325,1074516480795672285365,1631374279
18995078,5732112548994220299722,1084506480795672285365,1631374313
18995189,5726967220699813752835,1085483775140733814627,1631374539
18995285,5674896301991337760357,1095473775140733814627,1631374739
18995867,5623765119688181310839,1105463775140733814627,1631376123
19009198,5618702769441779182891,1106462775140733814627,1631410791
19011499,5568576197423511694867,1116452775140733814627,1631416891
19013154,5519337423032364269445,1126442775140733814627,1631421054
19016978,5495043778431707443122,1131437775140733814627,1631430473
19026908,5447093098451431086294,1141427775140733814627,1631454742
19027491,5641898098451431086294,1102130408842278021764,1631456088
19027704,5591368508091839087218,1112120408842278021764,1631456638
19028770,5566442280828356825837,1117115408842278021764,1631459362
19028809,5541737638543801983494,1122110408842278021764,1631459560
19041633,5517251638146486308620,1127105408842278021764,1631491501
19046402,5573919663900486308620,1115680563862290294006,1631502391
19046692,5375590489717565886547,1156966785117848946063,1631502987
19051893,5477978974741565886547,1135405672982210725835,1631515301
19058952,5471457005316972715246,1136763147447604790784,1631532802
19060252,5660268005316972715246,1098953824157573378654,1631535978
19060977,5634733667505560565939,1103948824157573378654,1631537767
19061002,5609429015670101027750,1108943824157573378654,1631537821
19061020,5584350963062304468429,1113938824157573378654,1631537858
19061305,5559496478011134177960,1118933824157573378654,1631538575
19062140,5510446027871863429841,1128923824157573378654,1631540695
19066072,5462254803147212146994,1138913824157573378654,1631550199
19095456,5219728612832817055371,1191990831438943896533,1631617565
19095930,5190967803873718621235,1198614986936904325331,1631618803
19096613,5407750803873718621235,1150703941670212720205,1631620342
19098279,5391705338769476731783,1154138687486212720205,1631624061
19104938,5282300385865270744942,1178114687486212720205,1631638884
19134358,5269890756364192019199,1180897280017138804759,1631706734
19139607,5546613756364192019199,1122149748929475976456,1631718917
19140260,5449869338501358126112,1142129748929475976456,1631720268
19143242,5244078106039765169237,1187084748929475976456,1631727299
19143472,5176331067950429580487,1202667883980231374384,1631727904
19147785,5100490929386462362153,1220604383641840547811,1631738664
19150332,5142838539386462362153,1210583481360611252285,1631744831
19163613,5295633403038462362153,1175756299158424952447,1631777246
19174564,5482446403038462362153,1135808802390576770148,1631805225
19175648,5458513257036663979100,1140803802390576770148,1631808284
19176401,5539587138583080979100,1124157079322215184576,1631810406
19176650,5419544254118280484124,1149132079322215184576,1631811024
19176957,5216098335433881383855,1194087079322215184576,1631812038
19189928,5208508346012128051825,1195832373528374041941,1631846233
19190911,5000273178731071259934,1245782373528374041941,1631849172
19190999,5014632347128088328909,1242225804339566252415,1631849356
19191141,5034612347128088328909,1237310727376427023318,1631849724
19191188,5054592347128088328909,1232434449623568315686,1631849874
19193657,5104542347128088328909,1220410409448179544747,1631856159
19193731,5154492347128088328909,1208619066229147349125,1631856315
19193774,5195971142100800328909,1198999524104107252962,1631856401
19202244,5330836142100800328909,1168754700550650065074,1631877569
19202272,5482585072269800328909,1136499863609283773901,1631877625
19204094,5434954350862314726029,1146489863609283773901,1631881720
19204109,5388145311679240330177,1156479863609283773901,1631881756
19207697,5378802214214922621309,1158494739133685311605,1631889720
19210456,5332952744613829611328,1168484739133685311605,1631896289
19235153,5278350099042679298726,1180608667991888481572,1631959292
19237732,5264063356354872558830,1183822498169518413445,1631965891
19242835,5455887964729872558830,1142320745774387925003,1631978047
19243008,5219068874210580546656,1194310359008470467055,1631978405
19243283,5175904080794043272151,1204300359008470467055,1631978971
19243292,5133448475399612937979,1214290359008470467055,1631978989
19243321,5176405475399612937979,1204243410571660038315,1631979047
19243384,5136379236343280792595,1213655950325877539688,1631979177
19243482,5316199236343280792595,1172723139855769481804,1631979381
19243651,5054517490909960048183,1233619882155769481804,1631979731
19243875,5017852988210151837769,1242660832155769481804,1631980192
19243986,5052817988210151837769,1234087361568937614387,1631980440
19244744,5094775988210151837769,1223954281407030764634,1631982409
19244864,5137732988210151837769,1213751145731667008813,1631982657
19260698,5150420288210151837769,1210770196636650636748,1632022787
19261940,5974595288210151837769,1044180709668737914843,1632025829
19262143,5951180750749443754468,1048301333305889371906,1632026525
19262240,5895170070526061252991,1058291333305889371906,1632026727
19262258,5840205412605256352345,1068281333305889371906,1632026763
19262268,5786257731598690562522,1078271333305889371906,1632026791
19262277,5733299047868624782880,1088261333305889371906,1632026819
19262289,5681302399083859050129,1098251333305889371906,1632026843
19262407,5667182074725758942966,1100995965087965842261,1632027215
19263595,5468560207328189419418,1141105223457624105915,1632030137
19265599,5421241409755085400067,1151095223457624105915,1632035037
19270017,5329021047064393151048,1171075223457624105915,1632045270
19272200,5317197911481493804673,1173687020819003437092,1632050869
19275577,5301149154251014696576,1177250945583654513025,1632059172
19279228,5212941864958916542780,1197230945583654513025,1632067738
19279453,5257896864958916542780,1187025072322815330570,1632068204
19279615,5302851864958916542780,1176991984758401551630,1632068536
19280191,5214597153358603658928,1196971984758401551630,1632069983
19280592,5129236181020785750956,1216951984758401551630,1632071197
19281476,5174191181020785750956,1206410168258163369771,1632073407
19281551,5219146181020785750956,1196049687444350885079,1632073561
