block_number,reseve0,reserve1,timestamps
20632209,48000000000000000000,55000000000000000000,1635253181
20632351,49745454545454545454,56999999999999999999,1635253601
20632694,161910258013354363040,185522170640301874315,1635254307
20632698,162418573791995956375,184943284767462534672,1635254315
20632911,173835270872675350787,197943284767462534671,1635254765
20633107,173286381251500794353,198572162476318076815,1635255210
20633118,172755899196408441579,199183753380802222310,1635255254
20633129,172201006275162264194,199827525631990520422,1635255298
20633674,172201006274303101260,199827525632990520422,1635256596
20633674,172201006275162264194,199827525631996511423,1635256596
20634378,171656653364602919313,200463120029712850751,1635258304
20815598,172941103990776649868,201963120029712850750,1635675443
20948771,182216503388597543404,191711831283881388757,1635977344
20953928,192216503388597543404,181766455702352914166,1635989203
20953989,205963894426158615422,194766455702352914165,1635989329
20975220,205769992804435096081,194950540702352914165,1636036776
22085025,207950360107121650625,192912545078044004610,1638528247
22579309,207842943860580935892,193012545078044004610,1639631002
22868351,145536476770572260953,135151885656616430855,1640264094
24354773,145525741503093476703,135161885656616430855,1643572606
24354778,145536476770572260953,135151945562210521209,1643572616
26042309,83230011981989538347,77291262631462070691,1647527849
27328151,82696649241578744388,77791262631462070691,1650381561
