block_number,reseve0,reserve1,timestamps
21867800,34745000,238757691405183,1638032547
21867871,174007490,1195729650825994,1638032693
21892956,177829288,1170107204157088,1638089188
22018071,170179028,1222866705588266,1638374102
22068713,162066665,1284262363785243,1638491210
22105302,156634144,1328938298108563,1638574219
22137834,160984039,1293134332085854,1638649072
22224429,157243111,1323991517663121,1638846921
22245386,152769402,1362880038804354,1638892468
22326257,156546308,1330094858932335,1639072499
22367262,152952674,1361439575502791,1639161426
22396329,156289748,1332455683991726,1639224848
22469146,160759506,1295516142001295,1639383984
22537893,155548157,1339050583092053,1639540162
22625957,154082294,1351827988069464,1639732632
22659507,152092453,1369567312037102,1639807789
22783974,150156507,1387278082417961,1640079976
22811062,146188630,1425045130590397,1640138752
22825186,143083939,1456059358933428,1640169937
22857698,140457066,1483372994293789,1640240555
22883563,142140709,1465854672851092,1640298280
22924655,145275904,1434312967982318,1640390267
22957166,143338136,1453761592361370,1640461956
22965229,141211828,1475717592024073,1640479568
22980795,139294076,1496095895772673,1640512986
23004733,137282917,1518079272323822,1640566648
23044067,139565940,1493319778393303,1640653692
23049912,137946970,1510898387959249,1640666637
23074552,140850600,1479842793318970,1640719467
23088696,138886832,1500829760543571,1640750235
23596770,134785699,1546633022423236,1641909882
23749209,136632173,1525793379844836,1642254834
23815598,133816992,1557988916193571,1642398166
23845623,136586612,1526489827016340,1642464796
24086316,141246727,1476272880495217,1642986987
24239190,139209938,1497937319033103,1643316463
24332231,141104964,1477879709263144,1643523256
24345002,142708478,1461323082206574,1643550882
24364491,144452012,1443737208331155,1643594093
24405748,146006003,1428416636968638,1643685207
24478565,148662758,1402964593069673,1643842676
24529699,150194957,1388694888423207,1643955158
24547626,152537389,1367432468675341,1643993915
24559865,150938123,1381964714657216,1644021288
24646650,149398511,1396249276268144,1644216712
24662525,144064266,1448103548241540,1644251257
24671618,142503417,1464012448357127,1644271181
24697268,144308539,1445753710436460,1644328131
24798115,146614543,1423081546570253,1644548014
24838514,148238313,1407539676765168,1644638044
24925920,150787583,1383813482220359,1644830504
26015816,156960445,1329548420072202,1647463152
26740670,164138048,1271575328178940,1649090560
