block_number,reseve0,reserve1,timestamps
15922562,729920000000000000000,100000000000000000000,1624157445
15922565,729921000000000000000,99999863409875301889,1624157451
15922565,729920005990991841448,99999999999999999999,1624157451
15922586,779920005990991841448,93607089319029811012,1624157493
15922600,829920005990991841448,87983466665930086215,1624157521
15922743,786322324116902996880,92876393299455684079,1624157815
15922744,794399369610174154823,91934877991202336294,1624157817
15922842,744399369610174154823,98128563551218183471,1624158021
15922842,762176486442302389796,95846505069747478744,1624158021
15922867,752400688668708447892,97095567505936900026,1624158071
15922998,852400688668708447892,85734905310643685865,1624158341
15922999,818645981531126525485,89280594997707695002,1624158343
15922999,788128948803015694090,92748018920143022464,1624158343
15923001,798128948803015694090,91589393476492604924,1624158347
15923011,798858875803015694090,91505957972146531792,1624158371
15923021,799598331947692722582,91421588316238138660,1624158391
15923023,800328258947692722582,91338458583244316971,1624158395
15923032,842339588947692722582,86795978410209707701,1624158413
15923033,827948110648091966034,88309214646779568667,1624158415
15923035,832659830121344336640,87810995555406773089,1624158419
15923076,854075120121344336640,85615641259893512443,1624158505
15923077,848024768088946187114,86228316123920377060,1624158507
15923118,881844668088946187114,82930888594304050522,1624158589
15923120,872417611487063725018,83829708850062488138,1624158593
15923124,873147538487063725018,83759839613195418408,1624158601
15923135,912955465055056816175,80118109359654526048,1624158623
15923135,903947875526600746777,80918866339361903348,1624158623
15923135,896366191946441552917,81605357293198874483,1624158623
15923136,895633854703348962464,81672284720602692704,1624158631
15923146,954216225406177329879,76672284720602692704,1624158671
15923147,934245137883234524044,78316217726743829045,1624158675
15923147,914602298129717420137,80003269971905160241,1624158675
15923150,918116674289717420137,79697947863226262754,1624158687
15923151,921631050449717420137,79394950805273214202,1624158691
15923158,926953193795895775760,78940460854083974775,1624158719
15923159,1000061182836291078464,73185685975553778048,1624158723
15923159,976470415856727980447,74959115606062150243,1624158723
15923160,967191280510224805749,75680429723959091189,1624158727
15923161,966457265455999518940,75738081241416585652,1624158731
15923184,988376865455999518940,74063337338312064907,1624158823
15923186,984857246629410104658,74328816517789089456,1624158831
15923187,984129964767208671623,74383911539808206101,1624158835
15923197,1084129964767208671623,67541439730024144401,1624158875
15923197,1048567559820033603203,69839015597592177335,1624158875
15923197,1015881360953718319460,72092862319345478723,1624158875
15923197,1024851543769887318845,71463734100350101911,1624158875
15923198,1031104725469887318845,71031631344739901993,1624158879
15923202,1031064012571849325774,71034444560355213014,1624158893
15923207,1052356502571849325774,69601418552300092146,1624158903
15923211,1050191443822770996267,69745339543902007643,1624158911
15923213,1049463753835682887242,69793845937908585014,1624158915
15923220,1086063766189859531860,67448633952795861177,1624158929
15923220,1073624833891953381640,68232439901909676032,1624158929
15923220,1061670807998598346881,69003024029504359463,1624158929
15923220,1063607045236438919229,68877784041620527260,1624158929
15923223,1064331682916438919229,68831030002671478798,1624158935
15923224,1081038722916438919229,67770414857168543171,1624158937
15923224,1077337399775826124365,68003948929021340805,1624158937
15923253,1098280174349419995420,66711018341505513185,1624158995
15923257,1097553239814384068787,66755335521509976080,1624159003
15923259,1096827702380387797630,66799626190347041244,1624159007
15923280,1106827702380387797630,66197897191736534884,1624159053
15923281,1103609238339921717058,66391531527302894652,1624159055
15923281,1124772688339921717058,65146001892770336352,1624159055
15923281,1121487777346280425405,65337392963081756368,1624159055
15923281,1117611506916151877597,65564687944578305725,1624159055
15923292,1135811656916151877597,64517186379824356727,1624159077
15923293,1130687596917872202756,64810445710605253392,1624159079
15923304,1167294388004267825978,62783872532203646131,1624159101
15923304,1156954149199036312913,63346689733420793313,1624159101
15923304,1150425104455175794104,63707285033101182101,1624159101
15923341,1173312684455175794104,62468215206941446241,1624159179
15923344,1172306884263797352521,62521972122012905993,1624159185
15923345,1170184984631495162005,62635684522217963879,1624159187
15923355,1205926274631495162005,60784690276478514651,1624159207
15923357,1198808950570767554992,61146654638500500908,1624159211
15923363,1235407018959703266005,59340501548248739306,1624159223
15923363,1230398859747430473067,59582765201124448107,1624159223
15923363,1219615556705749252990,60111154910990217612,1624159223
15923364,1214846098370914592947,60347860062516621700,1624159225
15923392,1251443848618204459925,58588161992005642422,1624159285
15923392,1240744040353453561230,59094929209630036311,1624159285
15923393,1233955362511513752998,59421021708178124592,1624159287
15923422,1433955362511513752998,51154717316049029072,1624159345
15923422,1400134760937304476361,52394090288524418124,1624159345
15923422,1336409004070258283263,54899984627811081238,1624159345
15923422,1302481213690848233993,56334354559843368972,1624159345
15923424,1321069414451957243505,55544042643272520359,1624159349
15923425,1324215137859962578054,55412490561566409479,1624159351
15923430,1324939775539962578054,55382275163785724109,1624159361
15923444,1335621672370453972080,54940662729467105984,1624159389
15923444,1334467082899758984121,54988340777034498410,1624159389
15923447,1359259149320525797592,53988340777034498410,1624159395
15923448,1358506028619436759600,54018360579999964833,1624159397
15923448,1352685305485116952039,54251505743874266939,1624159397
15923448,1351084343613921966946,54315984279490889025,1624159397
15923449,1340581864049368352883,54742790756091759631,1624159399
15923450,1341519885443121250660,54704628096630647022,1624159401
15923451,1342244523123121250660,54675183256279650302,1624159403
15923460,1484085829441584554214,49463792354169051154,1624159425
15923460,1436937810040010304084,51091654908140486255,1624159425
15923460,1407576517499712682749,52160606329378444083,1624159425
15923462,1410349256689359972915,52058365892247333674,1624159429
15923462,1411717750820207159770,52008052683392938698,1624159429
15923469,1498395280546458698997,49008052683392938698,1624159443
15923469,1470894262982838642824,49927103652602256228,1624159443
15923469,1444857072306467126172,50829527263992245740,1624159443
15923470,1450633415645467746222,50627731642440032360,1624159445
15923470,1453198203712816910146,50538645006548407156,1624159445
15923474,1453922841392816910146,50513531985827836776,1624159453
15923482,1545999625015106816897,47513531985827836776,1624159469
15923482,1515987609795456181790,48456988013304952401,1624159469
15923482,1489700687483695642324,49314621995689177905,1624159469
15923483,1495475015515929683674,49124777422222500616,1624159471
15923484,1501728197215929683674,48920833441427750112,1624159473
15923516,1502452834895929683674,48897309521122909477,1624159537
15923518,1503177472575929683674,48873808247211434664,1624159541
15923527,1513708368373753926885,48534805274323867024,1624159563
15923527,1519791644824585239177,48341115289338975125,1624159563
15923540,1519721772401514143948,48343344562186280374,1624159589
15923541,1519742969937346778972,48342672286964579997,1624159591
15923566,1531215059937346778972,47981560281570957173,1624159641
15923579,1673636369899074801473,43909686745265636290,1624159667
15923580,1623998948604659060568,45255821844501017432,1624159669
15923580,1579977301442905081555,46520542869902664746,1624159669
15923581,1590116026107175861830,46224807850651759506,1624159671
15923582,1595740527768865350751,46062366482217484686,1624159673
15923584,1596465165448865350751,46041521407210878681,1624159681
15923586,1597189803128865350751,46020695218487669987,1624159685
15923616,1586776254630001729470,46323624369688706108,1624159745
15923630,1602703324630001729470,45864644764129761332,1624159773
15923636,1601976681262147791614,45885511186778315899,1624159785
15923654,1611976681262147791614,45601706175204374793,1624159829
15923654,1609898926790437447929,45660737366601993117,1624159829
15923656,1607777597507098331320,45721164205599721250,1624159833
15923658,1607051370939637721868,45741887771909121655,1624159837
15923696,1607776008619637721868,45721333353225236469,1624159913
15923698,1608500646299637721868,45700797426525975141,1624159917
15923700,1609225283979637721868,45680279966855341022,1624159921
15923707,1472194617252322192614,49944956966855341022,1624159935
15923708,1498348659956143702095,49075725401262198909,1624159937
15923709,1511564293708806402414,48647931442377115243,1624159939
15923709,1685239492223671928632,43647931442377115243,1624159939
15923709,1619105963728297940249,45436126665741639529,1624159939
15923709,1559955712102558846842,47164153455250410347,1624159939
15923709,1580813918390355754633,46543683722868371855,1624159939
15923709,1590096188537767880741,46272792880298962569,1624159939
15923722,1761913804199212528080,51272792880298962569,1624159969
15923733,1735662788585474523690,52050601181608816476,1624159991
15923733,1735440545674563113473,52057286910604683716,1624159991
15923736,1738005547843760300521,51980689305797894157,1624159997
15923737,1738730185523760300521,51959090663368331662,1624159999
15923766,1751684769809444575721,51575971511359639205,1624160057
15923766,1750941138765927707738,51597941924507364897,1624160057
15923777,1751122278965137567957,51592620522856388716,1624160083
15923787,1757959558965137567957,51392559585905066283,1624160103
15923818,1751690565183717412850,51577037992154020998,1624160165
15923838,1761690565183717412850,51285141199466180441,1624160205
15923838,1761164408318927951202,51300509000819811445,1624160205
15923838,1758718203442047088273,51372077693602038398,1624160205
15923862,1785406363442047088273,50606439977333073881,1624160257
15923864,1782175657441925898604,50698454750434150097,1624160261
15923884,1772175657441925898604,50985395875938362713,1624160301
15923887,1772900295121925898604,50964619103306125656,1624160307
15923905,1841225865121925898604,49078850119386110515,1624160347
15923906,1832386887485907203441,49316306629342548826,1624160349
15923908,1828882930379627313111,49411076057587089694,1624160353
15923931,1897146368950094866832,47638300826568507566,1624160399
15923931,1866869161895962537346,48413231824255756655,1624160399
15923933,1875886615595962537346,48181202522732415458,1624160403
15923933,1878607403093779149118,48111630717219291316,1624160403
15923933,1856459724961170949933,48687332521481072979,1624160403
15923933,1861784434961170949933,48548503126736673261,1624160403
15923933,1865410401992029118908,48454417562945513580,1624160403
15923935,1866135039672029118908,48435658683724906417,1624160407
15923948,1935072689672029118908,46715113913954916115,1624160433
15923949,1924621245200766565404,46969558547622238479,1624160435
15923950,1916512094355093192137,47168894270320128060,1624160437
15923951,1918991451303830737517,47108134160078444416,1624160439
15923954,1919716088983830737517,47090405518434206345,1624160445
15923960,1934716088983830737517,46726396866763044009,1624160457
15923960,1932517674462829553290,46779712337050037034,1624160457
15923962,2001068314462829553290,45181822116039889718,1624160461
15923963,1989896299716258313737,45436252889943092923,1624160463
15923964,1984134806726933159614,45568586820414494497,1624160465
15923968,1910437983024095847055,47331724506556153101,1624160477
15923969,1929574163024095847055,46863715533547927584,1624160479
15923969,1942768328368012611714,46546392474497255820,1624160479
15923979,2011868458368012611714,44952330436271643783,1624160499
15923980,2002470691629582710422,45163930379088087910,1624160501
15923980,1999797560982940992743,45224482689918061568,1624160501
15923983,1999069392456945419049,45241005445671202233,1624160507
15923985,1998342922617556877600,45257501674096644181,1624160511
15923997,2064456402617556877600,43812355549373204296,1624160535
15923999,2043681744166205108896,44259061843829452488,1624160539
15924001,2047214243281236692055,44182920878651861170,1624160543
15924013,2067214243281236692055,43756727504265885611,1624160567
15924013,2063551660392782826876,43834624694399417865,1624160567
15924013,2060306335818323055372,43903879270370644374,1624160567
15924023,2062943688030323055372,43847918913061276461,1624160587
15924023,2124016769276321459966,42590808283246786362,1624160587
15924025,2119086989661081714853,42690188386446883556,1624160591
15924025,2117381086900992650924,42724685928707758859,1624160591
15924026,2115640538611005733185,42759941513058019852,1624160593
15924037,2157884708611005733185,41925307052799176483,1624160619
15924037,2167367718616275820721,41742416733088124946,1624160619
15924053,2233895168616275820721,40502907862906132616,1624160651
15924054,2227914937334143371489,40611954033982115836,1624160653
15924054,2221751855002217628257,40724949533316276505,1624160653
15924061,2221025190512063853430,40738313822060875212,1624160667
15924071,2285203948891239137634,39597535801447845849,1624160687
15924071,2264968882274323193195,39952361772987686076,1624160687
15924071,2247181906569143570340,40269545707288553410,1624160687
15924073,2247906544249143570340,40256603302767534753,1624160691
15924075,2248631181929143570340,40243669227309355160,1624160695
15924083,2318197641929143570340,39039517332750002102,1624160711
15924083,2318439744295729628639,39035452871798080475,1624160711
15924084,2310875825997833342320,39163607496631431839,1624160713
15924087,2310147062744973504583,39175999295876819473,1624160719
15924089,2309420023126333384832,39188369591417032157,1624160723
15924095,2308693295125060301317,39200742382773935644,1624160735
15924103,2337886284519345830151,38712696216374181205,1624160755
15924103,2361136431955245988795,38332624076093554948,1624160755
15924122,2394820366539002279541,37795057935011267712,1624160793
15924123,2434820366539002279541,37175980971306336203,1624160795
15924126,2431325345510069607582,37229582107373372906,1624160801
15924142,2498386355510069607582,36233193430791292964,1624160833
15924143,2488781900265261591413,36373441648734532225,1624160835
15924146,2488053173174909199546,36384127140024250244,1624160841
15924148,2487326236902144874972,36394792619670398985,1624160845
15924183,2486600041472579983202,36405453465563487368,1624160919
15924216,2500988671472579983202,36196631192174183569,1624160985
15924222,2500263072940498502699,36207167384345754784,1624160997
15924243,2456905632931784094990,36848044179968091731,1624161043
15924245,2463158814631784094990,36754778568649760737,1624161047
15924270,2439075388090126296850,37118787220320923073,1624161097
15924270,2444068218090126296850,37043186653189139198,1624161097
15924271,2446976035103341846961,36999298995418907151,1624161099
15924283,2396976035103341846961,37773412510627314110,1624161123
15924283,2412405625103341846961,37532536379785529578,1624161123
15924283,2426041795103341846961,37322204780450192945,1624161123
15924293,2429808986267341846961,37264513524378655869,1624161147
15924305,2414941705863574360468,37494618059591273267,1624161171
15924313,2415666343543574360468,37483404372132307550,1624161187
15924315,2416390981223574360468,37472197400208233624,1624161191
15924316,2413822057319331690902,37512197400208233624,1624161193
15924318,2414555201162921945895,37500841538044887829,1624161197
15924322,2419587992075617160229,37423072567613253858,1624161205
15924334,2424578362075617160229,37346277415790418772,1624161229
15924336,2536006882075617160229,35710042475841007682,1624161233
15924336,2516006882075617160229,35994759463031241471,1624161233
15924336,2507007338239314799081,36124360658909763286,1624161233
15924338,2506279529836475021625,36134882520137558096,1624161237
15924340,2505553091185856010441,36145390683654657195,1624161241
15924356,2523229611185856010441,35892927993646261139,1624161277
15924415,2527893051185856010441,35826911242624493251,1624161395
15924515,2530327661332452215763,35792542911480270299,1624161675
15924564,2534979921332452215763,35727052222705828578,1624161833
15924566,2535704559012452215763,35716872991545709307,1624161837
15924657,2544264700831636019742,35597063385920563813,1624162023
15924730,2658187790441801880945,34075846043968331676,1624162173
15924731,2674427748707534662366,33869543892806340537,1624162175
15924732,2651594014426049511613,34162083115257803432,1624162177
15924732,2639480853816785168928,34319332207185953853,1624162177
15924734,2633685529061273514236,34395077828206224315,1624162181
15924756,2643685529061273514236,34265363906639074472,1624162229
15924757,2640573636422924040475,34305866843264720766,1624162231
15924759,2639846369116610221787,34315346413549649202,1624162235
15924784,2690863436916570688727,33666664058598655915,1624162285
15924786,2684527504432266360820,33746362092904216459,1624162289
15924786,2682184674230589766244,33775927505292797039,1624162289
15924788,2681458202545690784986,33785105753234576018,1624162293
15924793,2680732014990228797764,33794285390611145322,1624162303
15924795,2680007092133393676260,33803454010306075093,1624162307
15924807,2848757092133393676260,31806712788810780941,1624162335
15924808,2791945685084587004434,32455873473033917463,1624162337
15924809,2811945685084587004434,32225718271318159173,1624162339
15924811,2808453933536999126821,32265905076117878140,1624162343
15924825,2853062656965642053487,31762905212357456841,1624162371
15924826,2977585223558176233652,30438399822799338769,1624162373
15924827,2925715062890702272424,30979667663876062755,1624162375
15924861,3000912062890702272424,30205648333009720455,1624162443
15924862,2979656288530038454959,30421772715203222693,1624162445
15924864,2985972850909982935049,30357610792974476319,1624162453
15924869,3231072850909982935049,28061154668117730581,1624162463
15924869,3151820826745988583311,28768871005981227104,1624162463
15924870,3161820826745988583311,28678154807583996514,1624162465
15924883,3184985396745988583311,28470198241915738552,1624162491
15925150,3111756878944962802811,29142199240482080821,1624163041
15925150,3128473758944962802811,28986943684167098165,1624163041
15925151,3140433746009927892951,28876880107561801953,1624163043
15925171,3144164767572927892951,28842716050679428146,1624163083
15925173,3144889405252927892951,28836090116025976835,1624163087
15925175,3145621505163274332621,28829399043704411473,1624163091
15925183,3146346142843274332621,28822779234669549543,1624163107
15925198,3136346142843274332621,28914954990919895315,1624163141
15925200,3139835052533274332621,28882921665839089331,1624163145
15925213,3149835052533274332535,28974910325060330390,1624163171
15925251,3092248106937588338137,29516133835846648293,1624163251
15925251,3106459326937588338137,29381508660936535793,1624163251
15925251,3123769596667588338137,29219177717901127851,1624163251
15925320,3151585586277487303083,28962055232426826858,1624163393
15925321,3165202516172114767915,28837830565744701968,1624163395
15925424,3171455697872114767915,28781141054562691241,1624163605
15925574,3161861513233761150649,28868735804562691241,1624163917
15925685,3162580937693761150649,28862188436263813982,1624164143
15925788,3163300362153761150649,28855644041615281618,1624164357
15925957,3167947704570716915444,28813439954544893699,1624164835
15925970,3172151052003716915444,28775374289258996931,1624164861
15925972,3172870476463716915444,28768869259451522316,1624164865
15925990,3173589900923716915444,28762367174486364422,1624164901
15926018,3174309325383716915444,28755868032363269754,1624164961
15926540,3051376719817045633961,29917858543697825846,1624166037
15926540,3086866569817045633961,29574911590674375584,1624166037
15926540,3121917070401266069847,29243852053306869817,1624166037
15926541,3118191764156368128079,29278894835562980089,1624166039
15926542,3114187724408994353450,29316653194705794915,1624166041
15926558,3212668984408994353450,28420593167328890809,1624166073
15926559,3199091363129832433101,28541579141838478809,1624166075
15926561,3192740790380396355510,28598521057575251693,1624166079
15926602,3046772727134816276944,29972772503588916435,1624166165
15926602,3085374077134816276944,29598891806631117008,1624166165
15926602,3127125232521798669171,29204878191165752042,1624166165
15926603,3118322404163669129530,29287569803461641771,1624166167
15926606,3114854072978097276776,29320279087186915835,1624166173
15926641,3259854072978097276776,28019836876064203996,1624166243
15926642,3209751898160793057157,28458524677240153830,1624166245
15926642,3165822553438661173548,28854606926962378182,1624166245
15926643,3175046431447134592329,28771031697892064834,1624166247
15926643,3181096405904040610712,28716477298130224557,1624166247
15926645,3183257888298614230617,28697036813612141696,1624166251
15926647,3183977312758614230617,28690572123040169838,1624166255
15926804,3203540756564483791091,28515886413948964727,1624166581
15926806,3202817633578609556788,28522344021879343984,1624166585
15926808,3199350632458075352934,28553345485531027959,1624166589
15926841,3252160101482561778243,28091056869455392284,1624166655
15926841,3237138789460095587969,28221800177204161441,1624166655
15926842,3226618719539870796649,28314091427907863122,1624166657
15926884,3233014909539870796649,28258242606224067932,1624166745
15926944,3273469008521312223213,27910057084433220907,1624166869
15926946,3267206746438481087224,27963713318594501651,1624166873
15927150,3284957026438481087224,27813062132493659054,1624167293
15927226,3290460636438481087224,27766681454288359756,1624167449
15927682,3302241386438481087224,27667919901804699810,1624168613
15927700,3316519456438481087224,27549161530049203231,1624168649
15927735,3348195746438481087224,27289301586282371570,1624168719
15927737,3344727013403387566410,27317687799548642942,1624168723
15927939,3492727013403387566410,26163460400028145210,1624169143
15927939,3451191713892140374749,26479286695873744217,1624169143
15927939,3418236166432797876467,26735344247878310184,1624169143
15927940,3418301027571093872099,26734838475364262718,1624169145
15927966,3513652390082647423824,26011442329824839522,1624169197
15927966,3486102891997062091171,26217620540366750066,1624169197
