block_number,reseve0,reserve1,timestamps
24975664,320000000000000000,295000000000000000,1644939400
24975674,499500000000000000,460476562500000000,1644939420
24996148,157812515745857835,1460476562500000000,1644984394
24997910,30886562515745857835,7484531543259858,1644988030
25107093,27255861778369002969,8484531543259858,1645255490
25114305,23241245646285781346,9954531543259858,1645273391
25114330,19825893111118909370,11674531543259858,1645273441
25114361,16908974370701374379,13694531543259858,1645273503
25114697,14483726514285654283,15994531543259858,1645274207
25114753,12351124135657236374,18764531543259858,1645274323
25114847,11174105362808817038,20747031543259858,1645274515
25114890,10202154553989366710,22729531543259858,1645274605
25114920,1907663854094746377,121854531543259858,1645274665
25114948,1357270583663783257,171417031543259858,1645274725
25114992,1283284935211336913,181329531543259858,1645274813
25115073,1216958654791039960,191242031543259858,1645274983
25115201,1204509631404214374,193224531543259858,1645275247
25115692,1092730867556498080,213049531543259858,1645276257
25115761,748839261205377795,311183281543259858,1645276599
25158391,178129671841868684,1311183281543259858,1645370327
25158757,54288865067148783,4311183281543259858,1645371083
25258546,105104983082148783,2230048545828754876,1645618480
25354943,2214356120582148783,106153171837258838,1645879882
25357474,2025759753817617490,116065671837258838,1645886541
25357701,1613580249120316904,145803171837258838,1645887219
25357735,1340912861166129010,175540671837258838,1645887287
25357763,1205208786695387609,195365671837258838,1645887349
25357940,1094478289427398342,215190671837258838,1645887726
25603477,961944614740627749,244928171837258838,1646472680
25958730,532345596947715691,443178171837258838,1647323093
26203813,11983559145722715691,19743902499682939,1647901321
26261787,12453676822682490691,19000735645111256,1648028243
26301805,2459601824252563709,96438544363288888,1648115901
26454506,401642042344708767,592063544363288888,1648457257
26459758,599892042344708767,396794068976270360,1648469085
27074653,10593967040774635749,22532558364992445,1649824916
27242168,3317876604380771138,72095058364992445,1650193538
27242633,1968601187204271501,121657558364992445,1650194628
27254257,1399972494630349003,171220058364992445,1650219519
27257817,206730604065482993,1162470058364992445,1650227253
27279268,3302398171335833670,72976017227355173,1650273959
27336089,1969084084681305692,122538517227355173,1650399024
27405101,575838485835375229,419913517227355173,1650552090
27414232,1897486074231676088,127699849726386080,1650571360
