block_number,reseve0,reserve1,timestamps
19146921,100000000000000000,580000000000000000,1631736534
19147448,92079902349643645,630037836236343569,1631737838
19151003,97457917357598800,595369054886093853,1631746226
19201575,102892257020106880,564013512309487862,1631876131
19269489,125487735530155799,462706480829274920,1632044139
19269683,136287452556301705,426141908452455991,1632044539
19274037,127164066823076446,456807455507936430,1632055299
19316838,113067326110667841,513931587620974525,1632154377
19320409,85855608941840608,677311037207884569,1632163299
19321007,91389276983159406,636415108996640832,1632164787
19338708,95582766706909450,608573855110843248,1632204964
19367575,91728359065897313,634222956338858498,1632273292
19379301,98019525632587186,593631060617839633,1632300919
19436762,116875361257871800,498099946884909252,1632438852
19436903,131025461093131497,444451619198339455,1632439143
19459739,121314731226017552,480135137420362117,1632489731
19547792,114305483973979768,509665762833123863,1632688902
19550304,109168501873052021,533720521504120726,1632694772
19564594,97840701936330941,595699548475738005,1632728062
19566994,119898406574654493,486377164831172128,1632733443
19568764,70489109094404508,828328792980238620,1632737481
19568766,106280408531947537,549933971991071532,1632737485
19568781,98343035251986089,594453298661671356,1632737519
19568870,87195347902487721,670681214901200667,1632737701
19568872,91949877695066999,636100410421410159,1632737705
19569072,67431604174241468,868083811671432967,1632738118
19569104,72098200608725101,812054282537365796,1632738186
19569228,77488022355513002,755728053264420786,1632738448
19569238,65973318540080530,888026524814984078,1632738468
19569296,76803566012587218,763126693060973339,1632738656
19569561,81876703744076306,715975917435999840,1632739390
19569972,155944962641321176,376449459819872764,1632740236
19570446,81237580467438604,723680113862021794,1632741216
19570818,92997676740045354,632406475379484759,1632742240
19570873,103639817111201914,567643377101190263,1632742350
19571008,75470088543082402,780157706842865917,1632742632
19571050,98890627452975298,595814139269291815,1632742716
19571248,66987049437700508,880433337094090888,1632743124
19571586,74539575490263350,791466329137323048,1632743824
19571700,82625965509388345,714217257769192754,1632744056
19571812,95762671642982282,616494774276917833,1632744288
19572033,68247023058214665,865799369412067460,1632744746
19572213,109443601351705356,540506981788127779,1632745114
19572284,68904992662462385,859458224338192591,1632745261
19572323,107691432947117799,550508223191749278,1632745343
19572363,75250021133984410,788554707619141873,1632745427
19572364,62883072359064430,944103083162243147,1632745429
19572452,90071785597192617,659717276508693299,1632745609
19572691,61021133240661468,974737416094956465,1632746109
19572757,71203029568190458,835710354624346813,1632746245
19572783,80766071059744717,737020543203489051,1632746297
19572928,63173183945760134,942888514558259418,1632746599
19573091,68052537061132830,875471912631653105,1632746973
19574309,61435157147050577,970055581127789699,1632749528
19580505,65826680341182021,905521083693377219,1632763259
19585003,60729796647017685,981747640865202804,1632773856
19637631,57876426479830456,1030294497621953446,1632897575
19641477,53465900977705848,1115541608657313265,1632910050
19642789,50191456894030831,1188537495947208477,1632913980
19645563,47844802004544490,1247007374560838245,1632922647
19647595,44677386358673691,1335680325659252454,1632929393
19655921,50979649174937852,1170993654460158421,1632948121
19656181,45084329209457002,1324575949155635708,1632948713
19712362,43586538437650608,1370230121902441949,1633078993
19859290,48782103290458714,1224684313042533680,1633412041
19897683,55380098016292365,1079160920474501834,1633501142
20052164,60535575808163908,987507097535533221,1633848879
20093139,66973209409474807,892842894606148174,1633942177
20241488,59128243527488040,1011659179713893000,1634297181
20282955,65552449277585994,912783927063111364,1634402630
20390349,70940527713840118,843648347980061147,1634672228
20498333,65317749319747476,916491051796230311,1634933352
20549469,69177362002828464,865502131775203125,1635054304
20627029,65845743988745209,909425989499648391,1635241044
20664089,67400077652702930,888514911448576378,1635329566
20664166,69820838384141608,857798402129813424,1635329724
20695416,75505543910142931,793395175411048844,1635406964
20760724,80762519731434772,741896548683685295,1635556066
20781464,86248159477151731,694842301316131286,1635600861
21237799,91921621461298394,652076924486658174,1636615305
21463397,98771045495417286,606983963642853052,1637123712
21599441,116000237072663646,517060721738707740,1637426734
21965363,107450865091308875,558324661133512628,1638256788
22045675,96556063887337669,621512195541196432,1638440663
22240603,81044429959421678,740825499365988347,1638882213
22242140,88947202744759873,675184670629553565,1638885383
22312667,81266734293964569,739187963270144856,1639043046
22723905,90473238086949315,664171385529084883,1639948097
22865265,86453941500525883,695142031162382345,1640257085
23010986,82199063464994437,731233007973952294,1640580592
23023814,98483446924724765,610625453160705107,1640608729
23581685,91977035693211473,653950779770713558,1641876185
23678207,101432090413438946,593158230279143519,1642092953
24133231,113299338977946719,531196309722479699,1643087161
24252085,109621845745778742,549070017898701225,1643344220
24563370,106283638854138768,566367361227714367,1644028828
24671650,102857719503458215,585288327140947454,1644271245
24831802,106009020450328850,567940271291028160,1644623303
