block_number,reseve0,reserve1,timestamps
17120650,10000000000,460000000000,1626897698
17153978,10058735744,457321943882,1626980674
17154611,10083236304,456214054422,1626982212
17154618,10103712351,455292265248,1626982240
17155087,10106773533,455154777993,1626983508
17155124,10109935272,455012861683,1626983656
17155128,10113080366,454871780398,1626983672
17155148,10116208946,454731526795,1626983730
17160693,10169863859,452339580342,1626997127
17168379,10180426817,451871650582,1627015950
17168391,10191828037,451367673312,1627015978
17169332,10200983626,450963775949,1627018172
17183306,10213039526,450433034534,1627052323
17183309,10226026897,449862684643,1627052329
17183312,10234690161,449483034926,1627052335
17183315,10244751210,449042934702,1627052341
17184227,10261511481,448311703264,1627054737
17184243,10280743512,447475564616,1627054769
17184315,10290299196,447061279368,1627054917
17184317,10301759755,446565420542,1627054921
17184537,10314138167,446031085322,1627055505
17184539,10338544435,444981288296,1627055509
17184545,10358682698,444118792636,1627055521
17184719,10371366096,443577296256,1627055881
17184731,10380149220,443203090049,1627055905
17184731,10383202954,443073133497,1627055905
17186330,10396794011,442495667958,1627059635
17186356,10406295843,442092842834,1627059687
17186360,10417066503,441637113621,1627059695
17186376,10428363658,441160117275,1627059731
17187496,10439025877,440710875270,1627062513
17187586,10449185692,440283653333,1627062747
17187829,10452075366,440162293660,1627063375
17187833,10454950499,440041611157,1627063391
17187837,10457963581,439915209402,1627063407
17187839,10480427551,438975108567,1627063415
17187882,10489222706,438608133688,1627063505
17187885,10497828573,438249651105,1627063511
17187886,10506483677,437889708952,1627063513
17187953,10520784770,437296260826,1627063651
17187955,10530953031,436875290786,1627063655
17187957,10544587059,436312108574,1627063659
17187959,10554091433,435920370069,1627063663
17187962,10563075931,435550706337,1627063669
17188050,10572208692,435175585343,1627063853
17188227,10582039627,434772509908,1627064355
17189359,10573406260,435128577299,1627067163
17189376,10582293692,434764234375,1627067201
17189385,10592721685,434337513961,1627067219
17189393,10606171386,433788380206,1627067235
17189403,10614830354,433435581314,1627067255
17189405,10623959683,433064239990,1627067259
17189408,10633648833,432670823976,1627067265
17189480,10643258239,432281352292,1627067413
17189498,10652911672,431890802599,1627067449
17189506,10662537672,431502065877,1627067469
17189520,10672869553,431085601852,1627067497
17189523,10683919769,430641072776,1627067503
17189542,10691838949,430323063801,1627067541
17189544,10701243455,429946019249,1627067545
17189614,10708019832,429674751410,1627067689
17189622,10710294974,429583751211,1627067705
17189695,10720045591,429194186459,1627067855
17189703,10728147511,428871029743,1627067875
17189706,10738920374,428442092565,1627067881
17189710,10746481464,428141549771,1627067889
17189712,10756385483,427748516930,1627067893
17189714,10766413580,427351295792,1627067897
17189884,10772921745,427093897287,1627068245
17189886,10780167449,426807694090,1627068249
17189893,10792270365,426330487908,1627068267
17189901,10802668425,425921355317,1627068283
17190036,10804936737,425832208589,1627068561
17190043,10826155719,425000087567,1627068575
17190048,10836435909,424598111601,1627068585
17190062,10847863982,424152143944,1627068613
17190064,10856291600,423823866398,1627068617
17190090,10864087076,423520665207,1627068673
17190955,10873152123,423168630530,1627070711
17190958,10883615790,422763009387,1627070717
17190960,10892537740,422417767154,1627070721
17190970,10901857321,422057740759,1627070741
17190988,10909415657,421766204461,1627070785
17191083,10922050112,421279773969,1627070979
17191111,10932626836,420873430135,1627071044
17191118,10940720165,420563024987,1627071058
17191121,10951735474,420141288384,1627071064
17191123,10961506815,419767887284,1627071068
17191130,10970763650,419414760115,1627071082
17191132,10980430399,419046630214,1627071086
17191135,10988255372,418749112696,1627071092
17192821,10996465061,418437422145,1627074582
17192825,11006464381,418058413170,1627074590
17192850,11014019685,417772496739,1627074644
17192854,11021532061,417488592917,1627074652
17192862,11028935935,417209167408,1627074668
17211165,11068584189,415719169488,1627114381
17217471,11076205315,415433986083,1627129241
17231756,51076205314,1915709483939,1627163397
17231809,51078476080,1915624573846,1627163507
17231811,51088368948,1915254740568,1627163511
17231817,51100789159,1914790627938,1627163523
