block_number,reseve0,reserve1,timestamps
25393632,1000000000000000000,1000000000000000000000000,1645984820
25393639,1250000000000000000,800480288172903742245348,1645984834
25393639,1500000000000000000,667400607114310273674628,1645984834
25393639,729788678072194103,1373887674042848692113311,1645984834
25393644,929788678072194103,1079057131367145746621848,1645984844
25393648,1429788678072194103,702445604408494728509702,1645984852
25393656,1176385621976127512,854213419306148476132072,1645984868
25393816,1162813775549683879,864213419306148476132072,1645985344
25394487,1146723477369053680,876376154057863719313648,1645986917
25402811,1201987860948771312,836197917971195113865369,1646008497
25402856,1216580062753566045,826197917971195113865369,1646008628
25402911,1280253025931210077,785224394883189633160883,1646008742
25402946,1278629549038873593,786224394883189633160883,1646008816
25403080,1265788521322394025,794224394883189633160883,1646009110
25414848,1484788521322394025,677379401996396720341011,1646037172
25415043,1703788521322394025,590538750573738715314490,1646037574
25415045,1626205426164425920,618796979452007436705912,1646037578
25415108,2272568652978560064,443177091474736667397194,1646037708
25415111,2128270196722402845,473315274510374452845421,1646037714
25423996,2403704473729926685,419223414900419645311376,1646059249
25424000,2116535348350299693,476274327046237410779360,1646059261
25425579,2365542141140524050,426274327046237410779360,1646062801
25440937,1400085189179006955,721104869721940356270823,1646099249
25440938,1414974656875163561,713539366730632799698249,1646099251
25440939,1524974656875163562,662213399072218705021456,1646099253
25440940,1786992881979125674,565364903767959242693565,1646099255
25440945,1711109343862339308,590512906334734737643983,1646099265
25442379,1511767821735665107,668612164516404115076905,1646102784
25442380,1280450707825624712,789762331190542573368317,1646102788
25442833,1329711280618671497,760589273715299438333893,1646103990
25443586,1475612675484950920,685589273715299438333893,1646105771
25589425,1415980817119735788,714548691747202298810922,1646439823
25685607,1532692129852759120,660288136140371567901657,1646655618
26157371,1422435091642434242,711622974624276626822809,1647798354
26518328,1443100869670491128,701462386446764930710747,1648598175
