block_number,reseve0,reserve1,timestamps
17209493,530844000000000000,53096900000000000000,1627110421
17209542,74910651839405701615,7492829135587367660035,1627110523
17209655,75025438172738781733,7481399704232761027906,1627110753
17209681,76025438172738781733,7383284520289676153399,1627110809
17209683,74318553908247495786,7553367662422022212492,1627110813
17209694,75318553908247495786,7453378919477782916262,1627110835
17209705,77318553908247495786,7261145746284764688350,1627110857
17209705,74984780193065435446,7487816567030421247862,1627110857
17209757,88267053405529078895,8814155394083584042254,1627110965
17209899,87187145021133185235,8923656877062002996135,1627111345
17209961,101042324144209442170,10341742816618765169933,1627111513
17210163,96318372101476370565,10850481686829024751377,1627111929
17210793,96910712997857590246,10784358759857247709671,1627113485
17211085,98631957481705298375,10596713701452568957977,1627114117
17212182,98459368231249792731,10615344554504359524378,1627116735
17214090,97859305584975048714,10680632559798137744644,1627121311
17215693,98484954323592716927,10612983604330577348713,1627125144
17215695,99110056726038019418,10546245431468913022192,1627125148
17216591,99758678877445746845,10477879050474070975541,1627127301
17216634,95120694995642727711,10990306567308568627959,1627127387
17216830,99158836840590004824,10544025797657891534202,1627127791
17218770,102358192185850216966,10884228308812091819562,1627132181
17218975,103016064989462436276,10814927532731065095893,1627132603
17219137,103677673196679661735,10746118931662844772474,1627132943
17219138,104338693984651603883,10678241597623521456948,1627132947
17220645,105013939192602003762,10609784601297360276068,1627136559
17222035,99141200074660818111,11240158098581565872797,1627139561
17222035,100393250097523814523,11100392273175136696336,1627139561
17222040,99695377941843543053,11178329332432235271511,1627139571
17222113,99688934686748453506,11179054002149180616912,1627139721
17222124,98999489632841932852,11257140617778099865563,1627139743
17222375,99761026260252868018,11171463848161183087115,1627140341
17223013,100456182238193902624,11094387726870882117744,1627141909
17223015,100870768394016260161,11048925226311091166664,1627141917
17223151,102255587631366898247,10899735513860601578484,1627142245
17223155,101811014990088066739,10947474013692637251303,1627142253
17223386,103841100979765103182,10734081242577460016428,1627142862
17224287,104421918956362664086,10674554014084803642389,1627144977
17224582,105117737852896798452,10604105192258777270552,1627145843
17225149,105804112706763649538,10535519037901837150637,1627147261
17225152,106494034966461550611,10467468053765843923687,1627147275
17225211,106010186384291136365,10515387121526254833026,1627147393
17225299,105318440897974080147,10584661401447726885818,1627147577
17225704,105894828830183386634,10527220751356416606753,1627148411
17225854,106700570032115304567,10447961939164285647052,1627148845
17226089,106026937453138562865,10514541862264267456467,1627149333
17231637,106858256465472033329,10432985982302058547555,1627163151
17231858,107950565107354132239,10327732271733989381919,1627163605
17232096,102320629897708676879,9789111065864398793833,1627164097
17232615,10244640643103737303,980114422531098243634,1627165631
17232675,13563917868211980,1297672801984608594,1627165803
17262408,16802407169865457,1048165929460660160,1627235531
17449568,20407211761760902,863471642952582323,1627711100
18052805,44041122531522645,1863471642952582313,1629134180
18052808,67675033301284388,2863471642952582303,1629134186
18052811,91308944071046131,3863471642952582293,1629134192
18052826,351281962538425306,14863471642952582268,1629134222
18052826,426610830198645935,12245438756312529662,1629134222
18052836,1060241445478990235,30433174144856609887,1629134242
18052926,11511745193649577678,330433174144856609913,1629134427
18058140,24801072674666788,711890076459320683,1629145886
18435481,30579357113180433,577698601634346179,1630029823
18892389,46194002026929714,382811262350562305,1631129960
19276360,72176352176006175,245270116560242081,1632061046
20258451,309644452064747887,57302900230550438,1634337403
20259560,154634433800470303,114917825615965424,1634340030
20812966,102330705438947772,173831881369913281,1635669247
21965100,237398295911897521,75058470323515271,1638256246
27265620,90794722463777019,196617857476646265,1650244376
