block_number,reseve0,reserve1,timestamps
21610361,4000000,325000000000000000000,1637450307
21610363,4023076,323141389929532040072,1637450311
21610856,4050255,320979430216602068939,1637451329
21611055,4024393,323048446853373734797,1637451867
21613005,4043142,321554868632930844666,1637456047
21628249,4063279,319966048145652761771,1637490483
21628834,3976092,327003326440060316120,1637491689
21628834,4051006,320973962161970756912,1637491689
21632777,4112694,316173768081003024008,1637500343
21635820,4087025,318165511951032693625,1637507062
21637000,4153547,313084908533483740013,1637509675
21637011,4176608,311361384220825750443,1637509697
21637444,4089741,317994669742249612967,1637510599
21637448,4130841,314840174914592093708,1637510607
21637448,4134307,314577019547947885469,1637510607
21639341,4151591,313271277854325505816,1637514909
21641663,4064045,320039955642929077296,1637520209
21641664,4118339,315833224058142722828,1637520215
21642980,4143771,313900623816931166918,1637523064
21644390,4129286,315005092055383122946,1637526228
21651142,4104302,316928404653068937951,1637541357
21660513,4086940,318278875554752641967,1637561355
21663844,4067051,319840084415921166359,1637568654
21673426,4219254,308335720966092869086,1637590347
21677637,4192171,310333720966092869086,1637600046
21682772,4175518,311575189725411095804,1637612195
21689587,4150902,313428544445382184506,1637626537
21689590,4126369,315297678505211547057,1637626543
21692813,4134751,314660418198519641496,1637634360
21692813,4161821,312619852383117707173,1637634360
21692853,4191262,310430495113622980280,1637634520
21694452,4207300,309250687400111056621,1637639352
21694467,4243503,306620271463378310147,1637639416
21695359,4224741,307986064193107087420,1637641912
21695387,28036254,2043859212294786366606,1637642028
21695460,4205706,306598357804825158667,1637642250
21697867,4222601,305375296163853999869,1637648873
21697868,4245906,303704148050450719108,1637648875
21697870,4275704,301593956782895083150,1637648879
21698370,4121439,312916590953523403395,1637650039
21698371,4192674,307615707951003634291,1637650041
21698372,4225579,305227404632836007043,1637650043
21698374,4252437,303305371367790944196,1637650047
21698458,4122140,312921437095753799038,1637650219
21698459,4216634,305929492152789410278,1637650221
21698466,4243539,303995619951111295023,1637650235
21698604,4142469,311435007489664638282,1637650519
21698606,4235450,304618155391207067445,1637650523
21723651,4215205,306085638938719277957,1637709174
21726864,4203618,306931885315427556336,1637715889
21734585,4125942,312727683396829164385,1637732629
21734588,4157893,310331706399066446847,1637732635
21734588,4164354,309851668606853834359,1637732635
21738259,4173494,309175121169803686922,1637740597
21740068,4196697,307470831439237648666,1637744584
21757394,4213391,306256232524631970084,1637783877
21758295,4283719,301243104715411281039,1637785902
21758953,4251060,303564395826366635373,1637787258
21760777,4277717,301678353907032862726,1637791153
21765318,4219594,305846351784559213126,1637800918
21765541,4197936,307429023054029808645,1637801376
21766340,4157829,310403526353940917441,1637803245
21766479,4145054,311363139325832425535,1637803531
21773000,4167042,309725089600947011253,1637819167
21800286,4177095,308981906182698262708,1637879959
21803345,4184496,308437055175618297621,1637886921
21804298,4202572,307114376108854695386,1637889143
21815258,4039027,319587239008461586183,1637915278
21815289,4143343,311564596686307013797,1637915340
21818876,3986140,323888881734658473237,1637923423
21818878,4090171,315675052953065484934,1637923427
21820642,4094389,315350822176739101252,1637927377
21827924,4080399,316435283059500139587,1637944145
21827969,3907988,330437714192379585603,1637944247
21827970,4054752,318512024327480286774,1637944253
21828311,4029887,320483208720593194079,1637945327
21830814,4044088,319361181627557566488,1637951251
21830876,4023926,320966171251200647993,1637951380
21837478,3987328,323921106025215523074,1637966836
21847816,4005090,322488852931226977309,1637988796
21863279,4029104,320572508098812120306,1638022519
21865203,4009504,322144305929440020065,1638026921
21865411,3914912,329951377401614779677,1638027353
21865413,3967130,325621206019851567267,1638027357
21866596,3981462,324452576767158503284,1638029935
21867363,3971842,325240781752536154121,1638031645
21867402,3957366,326434088769001949846,1638031727
21867579,3795698,340379629598895670948,1638032089
21867580,3914487,330080521180517558988,1638032091
21869253,3871579,333749810573217307703,1638035812
21869659,3877948,333203313996480127332,1638036649
21870359,3888453,332305829008148821302,1638038241
21870418,3845301,336046269818072387798,1638038363
21870709,3850518,335592330624936744033,1638038961
21871290,3864057,334420006348391184204,1638040159
21871546,3895957,331689989768248272442,1638040687
21877089,3913691,330191500636036946503,1638053330
21888148,3937201,328225725350613558204,1638078476
21907589,3958299,326481480654947396904,1638122519
21917579,3984903,324308321203986535881,1638143850
21917731,3961389,326239142231476691686,1638144266
21918512,3982039,324552385204030048391,1638145876
21921930,3975899,325055101165582193268,1638154208
21924460,3838617,336715162293424014770,1638160756
21924461,3919661,329773601505991912600,1638160762
21924462,3956675,326697828693335772534,1638160768
21934814,3983806,324479540848242253457,1638185281
21936319,3989724,323999678674205975308,1638188646
21943757,3982885,324557691849950561683,1638206741
21951745,3957039,326683984559490770206,1638225711
21953998,3963357,326164776401539077257,1638231131
21959702,3981651,324670662566803997628,1638244157
21971477,3958218,326598606690089887915,1638269626
21979892,3977507,325019488759765923062,1638289492
21981586,3980371,324786330772953985327,1638293425
21993066,3992827,323776159365932161269,1638318753
21998517,3998165,323345176880458754792,1638330584
22004520,4012800,322169436296690586014,1638343751
22017857,4001923,323047709620382275598,1638373662
22024824,3993002,323771621542204635695,1638391214
22031951,3973408,325373035820943897971,1638408327
22043512,3987002,324266967453412799099,1638434791
22044013,4000520,323174525759253641428,1638436337
22057827,3974230,325318796327627651990,1638467225
22057996,3945899,327661567857840416686,1638467601
22058319,3918430,329965455078903557362,1638468369
22058371,3732716,346431721817274047730,1638468477
22058372,3899872,331625635553961229542,1638468479
22058375,3870577,334143163694480278752,1638468485
22058381,3874529,333803363268286451312,1638468497
22058844,3838536,336942825841179912074,1638469489
22059277,3842169,336625183513551389188,1638470383
22062472,4120358,313961278713541481498,1638477381
22062473,3906105,331234179408251016218,1638477383
22062737,4088606,316491431154162942915,1638477927
22062740,3950913,327554688435594115307,1638477933
22062941,3923738,329830095503090011342,1638478535
22063287,3920972,330063539994705174159,1638479325
22063682,3961386,326706235912777415050,1638480149
22064845,3956986,327070680320921010208,1638482691
22065106,3954284,327294867256702774968,1638483229
22065120,3952252,327463676587205641686,1638483257
22065999,3918374,330303424917384511406,1638485133
22072210,3941051,328408511908804348222,1638498944
22088706,3962491,326636881585580603189,1638537053
22090657,3971021,325937345656848510412,1638541334
22097876,3952493,327469868254273225395,1638557392
22102839,3926882,329612049470562490875,1638568466
22110130,3933267,329078582142860457169,1638586068
22130154,3916188,330518054997486593099,1638632458
22131200,3979431,325280814259150516852,1638634874
22132061,3953399,327429141896133447448,1638636824
22143427,3976272,325551265392637136589,1638661037
22145226,4002951,323387986550320396221,1638664751
22161726,4106862,315229616097036218350,1638701307
22163597,4070182,318078980519980054663,1638706022
22201993,4097643,315953676370170330259,1638795954
22205282,4115374,314596463075325408670,1638803505
22217800,4082601,317129485418462346645,1638831564
22219036,4057832,319071071197659511341,1638834554
22221593,4038507,320602546599889927044,1638840541
22226607,4030405,321249042485432202688,1638851880
22227542,4019863,322094077247703293887,1638853938
22227552,4009324,322943299009688359682,1638853958
22237605,4024764,321708110308676302730,1638875899
22239385,4067897,318307092910611067108,1638879571
22239835,4111050,314975835769950311870,1638880501
22240602,4137992,312931200658798616232,1638882211
22244563,4093055,316377190619686180446,1638890770
22246250,4109326,315128228888653847655,1638894248
22249235,4082527,317203098275188328125,1638900793
22250144,4099902,315862837097690017164,1638902733
22255052,4117180,314541259180828109482,1638913648
22284497,4074553,317841855209869712656,1638982088
22289624,3873703,334371499076147807876,1638992821
22289626,3991709,324515329988699810368,1638992825
22299573,1818,147726988567094572,1639014111
24629785,1652,162615892629243306,1644179094
24817970,1458,184318506073191888,1644594244
26292865,1034,260161432389357347,1648095929
26877758,1168,230462746419777971,1649393279
27052361,1664,161911906691982176,1649776691
27372541,2264,119097079274802556,1650481665
27391458,2985,90395749911293506,1650522412
