block_number,reseve0,reserve1,timestamps
18043968,1000000000000000000,1960000000000000000,1629114632
18043968,230316936411154623,8529721630936857965,1629114632
18044016,5230316936411154622,189999815158832418968,1629114728
18044120,8230316936411154621,296800122550960954360,1629114994
18044154,9230316936411154620,332140695987829545832,1629115130
18046326,9883037989181133208,310266078751216254089,1629120132
18047327,1051776408365703727,33019254029367865364,1629122404
18047381,5443442412003143,6399044768611972380197,1629122580
18047415,72298069222863418,483135047798518272399,1629122648
18047417,9233577529449972,3792832416231001197428,1629122652
18052045,74969687118519879,468373026256815618886,1629132604
18052045,48340550455116540,727175774031529566633,1629132604
18159541,3663220787704489,9622634650426022126787,1629380938
18159542,4059949303329489,8684879851451705248550,1629380940
