block_number,reseve0,reserve1,timestamps
20217686,38000000000000000000000,43000000000000000000,1634234557
20217686,38013493930000000000000,42984781749076858981,1634234557
20218232,38462217872938891702656,42484781749076858981,1634235950
20218270,38555343455938891706752,42382472210679992892,1634236030
20218270,39489829857129397598754,41382472210679992892,1634236030
20218270,39392731708419684687565,41484781749076858980,1634236030
20218271,39389763722854481644495,41487916998235663582,1634236032
20218298,38465398154873807231628,42487916998235663582,1634236086
20218298,38467514152188260356748,42485586860141809709,1634236086
20218377,40662978251949717656021,40198228102688811108,1634236380
20218377,40657218340853519651559,40203940124670340324,1634236380
20218561,46196405985452443722107,35396012577100794802,1634236774
20218561,46177857333084261606643,35410273176060056573,1634236774
20218775,46177822633538574472540,35410299864577931946,1634237350
20218791,46177808993761384006272,35410310355372898949,1634237414
20218984,46210107485890335986271,35385634565066059862,1634237989
20219062,46242331605547753139165,35410310355372898949,1634238259
20219163,44976003382981670162821,36410310355372898949,1634238543
20219165,44978367335326028386480,36408402459634963848,1634238551
20219470,45089192331326028386480,36319181836478774507,1634239514
20219470,45589192331326028386480,35922032710923156850,1634239514
20219470,45476579649811152998149,36011253334079346191,1634239514
20219493,44627753627067791544858,36698253334079346191,1634239560
20219494,44629497889614031700339,36696823352449767960,1634239562
20221132,44879472239387728260390,36493035359151875062,1634244066
20221875,44959435170187841043296,36428324774971768253,1634245728
20222398,45783745820860011576391,35774385523380684522,1634246934
20222398,45781261677415237161694,35776332523318294373,1634246934
20223219,44540038357134439094637,36776332523318294373,1634248916
20223220,44542265590833825683068,36774499123740581663,1634248920
20228619,34980618973506196584,28880316812035462,1634261209
20230426,3942086867201621778,3254622730134494,1634265514
20235034,3730976106142374027,3439334001913878,1634279322
20239744,3599648877650924350,3565189975557122,1634292783
20258157,3345985826420478436,3836284429950694,1634336667
20296234,3471900984080494836,3697556503721226,1634434751
20316125,3735581677474219084,3437287740389908,1634485658
20316189,4020893348085219096,3194067065507906,1634485790
20323193,4160192627633626989,3087427529440229,1634502351
20323606,4036923344097361192,3181987207070099,1634503501
20324256,3923797681172556175,3274002031538523,1634505141
20331175,4157914486017268132,3090177061085323,1634522295
20331557,4443226156628268144,2892305531881067,1634523211
20332123,4633902055436416649,2773635272098895,1634524635
20332491,4314852603396692559,2979340927436899,1634525419
20332683,3955545137958169440,3250787861213060,1634525919
20335341,5080331514911294432,2532745052676757,1634532561
20337395,5538247774676919456,2323907759173445,1634537565
20337495,5100597392056798694,2523907759173445,1634537773
20337799,4404626940146988466,2923907759173445,1634538529
20338497,3995870891065734127,3223907759173445,1634540227
20340432,4209401680441244942,3060834031864707,1634545000
20343347,4391457344503744922,2934306661285028,1634552162
20344129,4926766182394369946,2616337716796222,1634554034
20345108,5087817182394369951,2533760140450036,1634556342
20345519,5706133832784994975,2259936557001471,1634557471
20345548,5176415247745377697,2491898742329669,1634557533
20347980,4462278430037021752,2891898742329669,1634564367
20348942,3921494609565228284,3291898742329669,1634566998
20349667,3711065050005408227,3479121866873143,1634568769
20353484,5566503282427283171,2321775564043640,1634579461
20354025,5286380457269677863,2445175564043640,1634581083
20354037,4887789364804233284,2645175564043640,1634581179
20355056,4247426011790147532,3045175564043640,1634584019
20355201,3852080638107655164,3358647357762464,1634584411
20355251,3576932958882697220,3617781300360326,1634584511
20355281,3346266826285769495,3867913969554533,1634584575
20356499,3386207960549535195,3822426256793777,1634587343
20356544,3940314923395819094,3286283794394312,1634587439
20356598,4254157761067919108,3044517929385242,1634587655
20356884,5710485687398557351,4086749255020199,1634588477
20357092,5243699901488862,4463924656886659370,1634589162
20357124,1005243699901488862,23355079494010303,1634589284
20357126,177819881692797693,132356935509244523,1634589288
