block_number,reseve0,reserve1,timestamps
20886083,18000000000000000000,900000000000000000000,1635832709
20886171,18500000000000000000,875746682163418655567,1635832889
20948233,18395288767433157661,880746682163418655567,1635976205
21046818,19395288767433157661,835465567971699764375,1636193763
21046862,20395288767433157661,794618795901757568817,1636193855
21046881,21395288767433157661,757585126988306757848,1636193893
21050730,22395288767433157661,723854212768146681897,1636202387
21050734,23395288767433157661,693002907138978327571,1636202395
21050752,24395288767433157661,664677402099039900416,1636202437
21050753,25395288767433157661,638579582561690185216,1636202441
21050765,27395288767433157661,592089595237081657343,1636202489
21072617,27166564390956499939,597089595237081657343,1636250687
21072637,26941633253585405407,602089595237081657343,1636250727
21091584,27193297213480558494,596534039682081657343,1636292065
21094359,26967936788179895033,601534039682081657343,1636297916
21094392,26746286425877099902,606534039682081657343,1636297982
21094589,26528255213141166995,611534039682081657343,1636298388
21094608,26313755183578897173,616534039682081657343,1636298430
21094610,27017755352811789589,600515988865153946574,1636298434
21094866,26795322172832688007,605515988865153946574,1636298962
21094895,26576526980903728466,610515988865153946574,1636299020
21095060,26933479890665335762,602448694103377530669,1636299362
21102796,26712446058399658437,607448694103377530669,1636316028
21102796,28088208997852783557,577780703054352352347,1636316028
21102811,27847941389240207027,582780703054352352347,1636316058
21102812,29426572080767272627,551605370832530763201,1636316060
21102833,29163018362431814765,556605370832530763201,1636316102
21103040,30221496140043714797,537167263785521997240,1636316532
21104787,29943614503607871348,542167263785521997240,1636320262
21104787,29670803938468736506,547167263785521997240,1636320262
21104791,29888241682609361498,543198462903235262617,1636320270
21104842,29616447849211458129,548198462903235262617,1636320376
21104842,29349559913419811987,553198462903235262617,1636320376
21104851,29087446171447916396,558198462903235262617,1636320394
21104851,28829979593119813838,563198462903235262617,1636320394
21104865,28577037616355210016,568198462903235262617,1636320422
21104865,28328501952405707324,573198462903235262617,1636320422
21105236,28491180260459801724,569935389667948675658,1636321188
21403430,28244139911655296484,574935389667948675658,1636988953
22913996,28344139911655296484,572913043418161841454,1640366730
22994799,28099640835963909398,577913043418161841454,1640544109
22994799,27859330011199669675,582913043418161841454,1640544109
22994807,27623100682559008998,587913043418161841454,1640544125
22994807,27390849693655950402,592913043418161841454,1640544125
