block_number,reseve0,reserve1,timestamps
14774000,3000000000,50000000000000000000,1621632517
14775390,3075357403,48778404518227935985,1621635890
14775396,3144842325,47703813426934258338,1621635902
14775718,3113630040,48183454656154220888,1621636583
14775745,3181845407,47153485614129694977,1621636641
14775764,3142749275,47741845026265565377,1621636679
14777063,3287266574,45649002500120498756,1621639659
14777119,3320611639,45191963757371943660,1621639775
14777209,3282213589,45722247601094107660,1621639959
14778546,3315787035,45260669482611125026,1621643077
14779897,3330956515,45055163818637079063,1621646043
14779897,3400064483,44142087279921461121,1621646043
14780464,3354342913,44745579094944530421,1621647352
14784024,3393556731,44230060468033503793,1621655673
14785443,3444494426,43577913076630773134,1621658744
14785917,3498182345,42911082186392169051,1621659976
14790177,3553730939,42242317212543045966,1621669314
14790891,3513852129,42723169056464961666,1621670914
14793385,3466852555,43304103139921480266,1621676326
14795191,3426319163,43817932627959053466,1621680214
14799874,3384708344,44358241057190834466,1621690423
14802574,3421681724,43880345384657557118,1621696372
14803217,3472434924,43240885134400497971,1621697861
14807009,3526577564,42578980038145572591,1621705726
14808278,3577943331,41969514102786543354,1621708354
14808675,3612511341,41569102432562107438,1621709173
14811962,3562445083,42155068476692966838,1621715969
14819950,3595785199,41765368478288990952,1621732927
14819964,3688858243,40714674359213902944,1621732955
14819966,3668100517,40945771386770039125,1621732959
14819967,3787866879,39654892306825510885,1621732961
14819968,3692517033,40681960095266135885,1621732967
14819986,3781617062,39726245929601656569,1621733003
14819992,3752531703,40035085136501656569,1621733015
14819992,3746096126,40104070066436009150,1621733015
14819992,3711971327,40473863150115740968,1621733015
14819992,3675526554,40876390310779270831,1621733015
14819994,3691462938,40700450308287174715,1621733019
14819998,3866378756,38864427767012768725,1621733027
14820000,3865678739,38871486721378484093,1621733031
14820001,3816802349,39370756700314471308,1621733033
14820001,3747764413,40098191579427923881,1621733033
14820001,3682793473,40807722648980144917,1621733033
14820003,3732351643,40267481669267908312,1621733037
14820033,3849440013,39046229175711265103,1621733101
14820036,3775946038,39808501062492244204,1621733107
14820036,3719984657,40409160003932772980,1621733107
14822312,3816117398,39394180196668372018,1621737817
14829518,3868433901,38862992053996680601,1621753608
14830238,3914718428,38404869053731679653,1621755313
14830536,3993697850,37647607409355955674,1621756018
14830601,3962681317,37943167864612726574,1621756152
14831505,3996812330,37620113737656719388,1621758373
14832241,4071778598,36929522622373885809,1621759889
14832381,4123192882,36470393078637652325,1621760177
14838077,4156394133,36179934816319267259,1621773547
14838259,4229246027,35558546219612442284,1621774131
14838322,4240366374,35465573073056627760,1621774309
14838897,4304126551,34941748433228989928,1621775495
14838900,4278075319,35155165583076646178,1621775501
14841293,4216986543,35665968304752427378,1621780978
14843207,4269159182,35231392486496069243,1621786492
14843530,4303042215,34954799032153545697,1621787670
14843621,4373971979,34389633568792712271,1621787856
14843621,4378999478,34350269380372822004,1621787856
14844098,4316190140,34851639724673212604,1621789232
14844326,4252539044,35374861289488606014,1621790078
14847648,4107831870,36624766245870486861,1621798229
14847650,4102661693,36671059682227069108,1621798233
14847652,4125968279,36464531769907648535,1621798237
14847686,4013513831,37489304022753245644,1621798309
14847763,3972786431,37874785656552995925,1621798467
14847783,3881259201,38770630293947604506,1621798507
14849583,3826822677,39323801742704245106,1621803099
14850410,3793597057,39669249395420951796,1621805067
14850474,3708257856,40584916210725571489,1621805285
14851895,3639166971,41357753859320559915,1621808590
14852664,3694203506,40743423778828938234,1621810304
14854599,3642832507,41319713901236750734,1621814829
14854937,3613068818,41661121102643833169,1621815658
14855025,3581395412,42030675439003790855,1621815838
14856294,3629782230,41472043980236726640,1621818873
14859076,3617478169,41613526520552867342,1621825408
14859112,3604983274,41758193270782080137,1621825480
14859508,3594298388,41882702727761071380,1621826424
14859515,3576326289,42093809037304441954,1621826438
14860674,3563212828,42249190298763706397,1621829219
14861078,3549353000,42414665106493705722,1621830064
14861142,3543600354,42483727848709691534,1621830196
14861360,3535210259,42584857646774527641,1621830742
14861416,3486409709,43182727072321793241,1621830888
14865344,3478010443,43287325551472812082,1621840272
14865698,3466777896,43428000853804068656,1621841025
14865698,3458519995,43532005823746730162,1621841025
14865983,3448180201,43662934715395364437,1621841739
14866136,3429688034,43899064610543503173,1621842107
14867048,3426083724,43945386299529048903,1621844449
14872136,3419155718,44034697826054832016,1621856127
14872170,3409765854,44156326119080150301,1621856195
14872384,3400738854,44273888393605419823,1621856639
14872569,3377018710,44585803478996010734,1621857017
14872571,3335803412,45138338026860945542,1621857021
14872588,3318720687,45371381453033007735,1621857059
14873833,3307701440,45522986081647823174,1621860023
14875798,3323744662,45303909412459848649,1621864532
14878278,3312431874,45459099239597250862,1621869923
14878563,3267177955,46090651183810141462,1621870657
14879304,3234894123,46552014112818474742,1621872197
14879309,3254636543,46270474552585453556,1621872207
14881489,3238587362,46500463030361902316,1621876988
