block_number,reseve0,reserve1,timestamps
14647077,3500000000000,100000000000000000,1621350919
14647086,3478749390286,100612707354940087,1621350937
14647086,3457802180566,101224048623940289,1621350937
14647086,3147765014307,111224048623940289,1621350937
14647086,3065333099501,114224048623940289,1621350937
14650781,3034532794766,115386903636375889,1621359492
14650991,3021462322936,115887555046183970,1621359955
14653216,3005941846445,116487713762654739,1621364801
14655403,3022249752580,115861027517409490,1621369492
14667654,3023602459427,115809348753741647,1621395945
14668318,3025816061595,115724879865435748,1621397324
14669602,3032965412050,115452907926901911,1621400126
14672806,3031937898142,115492152275551872,1621407102
14673851,3014087865649,116178178028204303,1621409383
14673852,3012206163526,116250972028367903,1621409385
14684841,3025167414109,115754385622215216,1621433446
14696989,3042710368200,115088986479548352,1621459592
14708497,3040009347491,115191549688953713,1621484722
14709275,3035794587097,115351957669286818,1621486327
14711163,3031210034116,115526946680566653,1621490592
14712743,3029417644491,115595505196486702,1621494447
14712745,3016685346004,116084858570183591,1621494451
14720067,3038263006774,115262882861354066,1621510588
14727437,3019639708935,115975893123225570,1621526151
14731524,3003286514775,116609293612393171,1621534831
14759376,3026082511766,115733471384674827,1621599795
14763696,3017716454179,116055286353071631,1621609004
14764007,3014363916043,116184749993119312,1621609679
14766556,2997228479398,116850987831672676,1621615241
14814744,3029234303793,115620046188245059,1621722011
14819427,3023566368848,115837438074655201,1621731832
14825311,3003485329901,116614247433053733,1621744200
14825311,2985602404143,117314836018879689,1621744200
14825311,2972924490983,117816625639139490,1621744200
14830809,2980554764347,117515915504404794,1621756580
14831036,2986579814078,117279551692402726,1621757200
14831038,2999864054578,116761756062864992,1621757204
14833423,3020856461316,115952777575339506,1621762631
14852137,3004471636226,116587026441092310,1621809090
14859685,3110579724348,112621535310431963,1621826866
14866406,3089688154699,113385340682378804,1621842869
14882906,3084771923912,113566587735296477,1621880192
14896444,3088873229753,113416249469235909,1621911663
14929080,3070507785971,114096660502643975,1621983081
14931507,3053352084806,114739658116857451,1621988459
14933860,3035165937150,115429225429334681,1621993363
14939603,3021781159570,115942049938171857,1622005339
14958936,2920959260228,119956029819073657,1622049688
14959192,2866293991893,122250686283895557,1622050482
14959195,2814354840545,124513621616238857,1622050494
14959424,2716599604336,129007653024006457,1622051040
14962129,2687794525724,130394387509638127,1622057305
14962130,2673891476312,131074420574766138,1622057309
14962730,2658283711300,131846322591985819,1622058763
14996458,2672263066940,131158655978776132,1622130078
15053731,2703897387239,129628711534804013,1622249352
15053731,2683364056365,130623626247752744,1622249352
15082529,2689046426370,130348424709935776,1622308749
15097710,2759044858718,127051086056878239,1622340059
15097710,2770112583910,126544982146623686,1622340059
15103646,2754728581653,127253809209478051,1622352319
15115314,2739780838564,127950171802807407,1622376383
15158319,2752310758964,127369417003706229,1622465105
15160304,2847837760162,123109364758065912,1622469210
15160304,2856323504517,122744717737338272,1622469210
15160628,2983639695570,117522068846180483,1622469878
15161106,3109553184676,112777009855813073,1622470866
15161106,3164667809577,110818719200319071,1622470866
15161106,3170855561740,110603110005191307,1622470866
15161106,3173153852395,110523241186239952,1622470866
15170162,3187292658751,110034425252002252,1622489740
15221712,3203227691820,109488673199252776,1622596106
15278029,3217272807594,109012124296192174,1622713015
15289563,3324584616013,105503618966172458,1622736803
15302947,3318764811442,105689187408960328,1622765567
15303415,3317293904068,105736191620820978,1622766531
15329489,3300052771568,106290272815262277,1622822356
15330414,3145339496433,111534221277940677,1622824390
15341690,3160627625558,110996334820166032,1622849362
15380144,3180331813433,110310691932927880,1622933741
15406676,3181457975668,110271761610843385,1622993682
15463342,3182225890900,110245231316854918,1623123292
15479616,3193901883454,109843410924665059,1623158805
15481133,3206214157731,109422858708329593,1623162187
15484230,3194264201797,109833448708329593,1623169217
15491703,3183009648698,110222968708329593,1623185771
15499625,3185382341365,110141113154235280,1623204217
15502729,3197056385752,109740135268490510,1623211846
15506126,3185458597830,110140885268490510,1623220180
15513792,3196836345196,109750058555133389,1623242726
15516525,3185408203485,110144988555133389,1623250638
15516588,3243074552818,108192229797539960,1623250804
15519590,3231716558373,108573619797539960,1623259445
15519592,3220437961345,108955009797539960,1623259449
15521310,3232089577502,108563403344538142,1623264785
15522942,3243776557732,108173430217889589,1623269701
15540831,3255793475413,107775362639892271,1623315966
15562910,3267817599198,107379982294589339,1623363983
15580941,3280294947210,106972758791492337,1623401774
15584339,3268020222989,107375758791492337,1623408929
15587774,3280435864292,106970582578443685,1623416523
15605348,3293617288111,106543753573418415,1623455405
15606231,3306613570543,106126246373578039,1623457387
15606636,3293392037408,106553578980310831,1623458221
15607449,3306578892138,106129906038060592,1623460027
15612635,3293289349735,106559464975037051,1623471622
15614043,3306872932117,106123060339389881,1623474654
15634866,3300030800789,106343753065652637,1623519979
15635646,3287271420834,106757763065652637,1623521715
15639866,3274777586741,107166287683367292,1623530675
15643002,3287643069752,106748168707515967,1623537399
15644484,3274944715023,107163322258506335,1623540715
15649390,3267704247890,107401485566885444,1623551475
15667748,3273835510013,107200945610888863,1623592057
15678410,3261678205422,107601719707641128,1623615081
15700632,3257339413469,107745476993895167,1623663813
15708908,3245693386075,108133246993895167,1623681792
15709550,3250287441003,107980866050629830,1623683244
15710970,3255140827269,107820349809215967,1623686172
15711771,3259334626229,107682032596592305,1623687957
15712152,3263639992965,107540404953973698,1623688743
15715144,3268303969336,107387401024283542,1623695299
15715575,3272340834853,107255321393205243,1623696313
15722878,3436088856053,102158636600935837,1623712375
15722881,3449261472430,101769662085053781,1623712385
15727894,3342749246692,105022173538834884,1623723164
15727896,3330504883340,105409441864578363,1623723168
15727900,3325785300833,105559477260545288,1623723176
15728093,3321803018071,105686406094729871,1623723574
15728672,3317752055087,105815837098581486,1623724896
15731588,3312583961435,105981421336589246,1623731222
15731588,3307618368564,106141005685160275,1623731222
15734492,3303261557410,106281420784877246,1623737875
15734948,3299125765540,106415056332253378,1623738943
15745083,3287281232848,106799638365874758,1623761028
15760559,3282935335079,106941443449872325,1623796787
15762581,3287439551040,106795358857001989,1623801652
15764310,3291430406292,106666257616037535,1623805602
15777876,3301085889575,106355198295225249,1623836933
15778174,3308800918795,106107955380134490,1623837547
15779979,3296350469101,106509935380134490,1623841891
15782163,3292274688273,106642189656021457,1623846917
15783025,3288305023411,106771316234240538,1623848827
15784881,3294485419149,106571614933483070,1623852783
15787467,3306868418528,106173736388865708,1623858475
15791790,3294103495652,106586406388865708,1623867731
15793569,3306283689200,106194920733970108,1623871654
15798345,3318250590137,105813085396979684,1623881938
15802689,3305641255036,106217922852369084,1623891856
15808257,3295118887080,106558131259932536,1623904368
15820702,3282508050883,106968741259932536,1623930465
15823643,3288706970221,106767718465466516,1623936795
15837035,3281850573008,106991447305309282,1623965483
15842664,3273349867610,107270134133502657,1623977861
15853694,3265485282674,107529260581378033,1624002700
15863892,3278938841766,107089383800841760,1624024511
15881746,3271483296178,107334169467503562,1624065862
15888982,3257992500632,107779959467503562,1624082198
15918310,3265141789118,107544673078984683,1624148033
15924566,3251374393523,108001423078984683,1624161837
15938493,3257502786091,107798846669719279,1624191819
15964293,3368666097111,104251890866030644,1624248335
15965046,3368384648076,104260627957210921,1624250013
15965594,3361014674638,104489936741588275,1624251278
15965967,3353727145032,104717672859920337,1624252055
15966113,3587810372569,97904632367843077,1624252355
15966114,3568826128139,98426999700802853,1624252357
15966115,3540102038706,99228031171210723,1624252359
15969347,3530614759961,99495473745760859,1624259541
15990171,3537981794556,99288917509777723,1624305506
15992389,3549671156222,98962928544918468,1624310477
15994954,3561353809613,98639261605474000,1624316182
15996754,3572287120935,98338270047253579,1624320415
15998275,3589036086210,97880724893570793,1624323971
