block_number,reseve0,reserve1,timestamps
23626385,1000000000000000000,3359999997000000000000000,1641976661
23626385,283569938517431841,11874472166031265815994055,1641976661
23684190,307202999351532441,10963501829327769734733171,1642106880
23685328,336825360210341122,10001947261735032162342725,1642109356
23848220,306394958645476710,10998305394654644529049305,1642470410
24277289,276998459781302290,12169014162763665697991601,1643400241
24278483,310969177440684728,10843207235161048991911826,1643403089
24279571,282238211610053029,11950333143074684081606043,1643405589
24281058,299996928652867775,11244914257441017795135537,1643409039
24383034,284465402908419824,11860722725199174498718077,1643635525
24418526,304539229713365140,11081109625224102470652829,1643713533
24456757,270488124298151379,12480281626503798654009547,1643796017
24456761,302297427682593901,11170567932732617213772313,1643796025
24558345,287894628887641120,11731090918712234232082554,1644017772
24563936,304120089099664722,11106989757075853389814905,1644030126
24753031,322979749588235509,10460255014231419663321138,1644448046
24815163,304312876937487845,11103828804439756414234223,1644588051
25146362,259679416866857918,13018087494299206306586171,1645343645
25459432,266772690462558886,12672957796579994543970217,1646142443
26000228,309350210843173906,10933225379652339177122990,1647424743
27115869,350452709818304100,9654329765015541469692196,1649915948
