block_number,reseve0,reserve1,timestamps
14546750,10000000000000000,10000000,1621131588
14547237,11000000000000000,9093390,1621132612
14547358,12000000000000000,8337692,1621132896
14547714,13000000000000000,7698108,1621133690
14547741,14000000000000000,7149776,1621133744
14547759,14100000000000000,7099220,1621133780
14549150,1162455030672,586,1621136678
14550736,10001162455030672,5041641,1621139950
14580923,11001162455030672,4584609,1621204518
14580932,12001162455030672,4203647,1621204540
14580951,13001162455030672,3881215,1621204578
14580966,14001162455030672,3604781,1621204608
14591090,2756898328186,710,1621226240
14624853,1000002756898328186,1,1621300986
