block_number,reseve0,reserve1,timestamps
18782745,7500000000,400000000000000000000,1630868017
18783098,7497352368,400141681976779711640,1630868871
18783146,7494633501,400287280278558384845,1630868971
18784354,7494733501,400281955386961383450,1630871719
18784387,7497971636,400109604750602958459,1630871797
18784511,7497972636,400109551548318092724,1630872169
18784511,7497971642,400109604750602958459,1630872169
18786290,7557971642,396942733038610733499,1630876479
18786530,7567971642,396419801013549678065,1630877232
18787218,7586496592,395454707367496641707,1630878654
18787283,7686496592,390325143759199668918,1630878788
18787283,7667130173,391314033470829460094,1630878788
18787285,7665690293,391387756861459356835,1630878792
18787286,7664829484,391431844470130217585,1630878794
18787289,7662598564,391546150465946753685,1630878800
18787410,7660370225,391660390775977727455,1630879216
18787427,7657202256,391822917713773661510,1630879284
18787439,7652874440,392045166274586100539,1630879332
18787490,7649700368,392208326143747628739,1630879470
18787672,7647022503,392346084539274472957,1630879847
18787692,7666621607,391346084539274472957,1630879887
18787692,7659232991,391724739546514627544,1630879887
18787712,10005969310,300063238593479101327,1630879933
18787740,10010969310,299913820745982353206,1630880045
18787742,9971518157,301103965391244657493,1630880053
18787748,10059131018,298489214143127872551,1630880077
18787748,10096041044,297401231898873343433,1630880077
18787748,10127880486,296469075258888953456,1630880077
18787752,10144151112,295994980450941966756,1630880093
18787757,10154848199,295684114633995375886,1630880113
18787758,10654848199,281848226761778584667,1630880117
18787766,10659848199,281716422315669683949,1630880149
18787782,11159848199,269130721097191214290,1630880203
18787792,11189848199,268411340059204497986,1630880223
18787802,11689848199,256963781281740886745,1630880243
18787814,11945135299,251488168671632397570,1630880267
18787830,12144215371,247377689954290252640,1630880299
18787830,12077513729,248748017416565352598,1630880299
18787832,12448513729,241356220532915660261,1630880303
18787832,12444960247,241425343753287086419,1630880303
18787843,12545779091,239491004859328469879,1630880329
18787856,12631021267,237879583119430095168,1630880355
18787859,12633025820,237841950652237360212,1630880361
18787869,13021525820,230766540235722171806,1630880381
18787881,13521525820,222257893740584967797,1630880405
18787897,13771525820,218235042687096479360,1630880437
18787898,13776527320,218156051137321058663,1630880439
18787899,13752660149,218535791137321058663,1630880441
18787916,14002660149,214645604344137882819,1630880479
18787934,14012660149,214492883787571721309,1630880515
18787939,14262660149,210744272926508284979,1630880525
18787954,14277228002,210529883222639733651,1630880555
18787978,14527228002,206917543508497167629,1630880607
18787990,15267179383,196917543508497167629,1630880631
18787990,14923563908,201465218462819666432,1630880631
18787999,15367563908,195661440030966817157,1630880649
18788010,15501608422,193974560950527214400,1630880671
18788012,15529098116,193632214433451194118,1630880675
18788026,15536150302,193544584252995293940,1630880703
18788030,15608090902,192655165142064056508,1630880711
18788043,15583896672,192955165142064056508,1630880741
18788046,15597600748,192786142583887069418,1630880747
18788067,15617600748,192539999113211957199,1630880789
18788101,15609008976,192646299113211957199,1630880861
18788124,15859008976,189618407455834089925,1630880907
18788126,15739806547,191058767455834089925,1630880911
18788150,15789606547,190457975272092357385,1630880959
18788160,15729654199,191186075272092357385,1630880987
18788160,15736203201,191106747158571194266,1630880987
18788186,15654533818,192106747158571194266,1630881143
18788186,15667221612,191951639599263221444,1630881143
18788195,16667221612,180467407743953841166,1630881197
18788195,16210347517,185569024502279997431,1630881197
18788198,16180347517,185914123530332808825,1630881215
18788200,16246893397,185154910383301942666,1630881227
18788200,16229843118,185350010383301942666,1630881227
18788205,16252643118,185090771316930337973,1630881257
18788220,16294643118,184615121078141522521,1630881347
18788224,15459750959,194615121078141522521,1630881371
18788224,15469750959,194489694590986934733,1630881371
18788225,15839678480,189960797398404236494,1630881373
18788233,15850892282,189826811457445574876,1630881389
18788241,16850892282,178593517235516548529,1630881405
18788243,16389437238,183637062104284081762,1630881409
18788243,16385370389,183682777971502742705,1630881409
18788245,16370252437,183852919716253697586,1630881413
18788261,16440838574,184645666647242363843,1630881445
18788304,16861135093,180056479787731337064,1630881535
18788357,16966277333,178943973046832899436,1630881657
18788372,17005974242,178527515774717065114,1630881717
18788372,17497456691,173527515774717065114,1630881717
18788372,17277976017,175738454009807416637,1630881717
18788372,17258302328,175939390768268788622,1630881717
18788372,17217669515,176355848040384622943,1630881717
18788375,17193786894,176601548040384622943,1630881729
18788397,17153081324,177021898040384622943,1630881817
18788401,17573190333,172802362186931382281,1630881833
18788405,17993288207,168779684831692189760,1630881849
18788412,17997767407,168737805718793617963,1630881877
18788414,18187465572,166983068488385916222,1630881885
18788448,18202111592,166849111154800670966,1630881959
18788461,18702111592,162401434056034042860,1630881985
18788482,18725408441,162199990896469065690,1630882037
18788482,18645017244,161503640185058771013,1630882037
18788483,18720017244,160858524334549881701,1630882041
18788487,18900894394,159323719855512992040,1630882057
18788490,18882661993,159478019855512992040,1630882069
18788494,18872661993,159562776257972513033,1630882085
18788516,18992043420,158562776257972513033,1630882173
18788517,18969531160,158751518274911951206,1630882177
18788518,18967525996,158768351293820448516,1630882181
18788522,18960584449,158826651941575405014,1630882197
18788529,19095184298,157710435432035907639,1630882225
18788534,19415633506,155115152381973671051,1630882245
18788574,19469299486,154688865751441892262,1630882347
18788596,19425579068,155038065751441892262,1630882391
18788607,19475542368,154641515347691529157,1630882413
18788626,19600756016,153656578412044407006,1630882455
18788626,19624130747,153474103122550042858,1630882455
18788635,19662229083,153177615858231069647,1630882473
18788638,19738264383,152589311880362089749,1630882479
18788640,19729048080,152660807524414209722,1630882483
18788645,20439558730,147369450293046873607,1630882493
18788661,20430378652,147435867756688598175,1630882525
18788669,20424646805,147477367756688598175,1630882541
18788723,20431146805,147430589766053038360,1630882653
18788731,20390879571,147722606868676468903,1630882669
18788770,20361361411,147937406868676468903,1630882751
18788788,19768781148,152385256868676468903,1630882787
18788794,19106042657,157687006868676468903,1630882799
18788822,19032176259,158300852577385292119,1630882859
18788826,18398445300,163769902577385292119,1630882867
18788832,18432055694,163472166505494998205,1630882879
18788839,18213517775,165439516505494998205,1630882893
18788851,17680656103,170440555033940546041,1630882917
18788851,17913415361,168232481178496361493,1630882917
18788852,17915211304,168215666996146806991,1630882919
18788853,17918438747,168185459116030608767,1630882921
