block_number,reseve0,reserve1,timestamps
16944049,1510819717783166098103,100897146496056086601,1626488717
16944049,753324003310081552223,202658318497623733766,1626488717
16944052,754551433929565785723,202329641117295394670,1626488723
16944054,1288808363557970089952,118604301977187881849,1626488727
16944056,747139841633473299590,204849909484336149420,1626488731
16944064,757964805813473299590,201932973019888796156,1626488753
16944074,256404727987473080,68309990941199405,1626488793
16944209,256404727987473077,68309990941199406,1626489177
16944364,16441228182447167,1068309990941199406,1626489495
16944364,317018186182447167,55562840958450343,1626489495
16944501,16734802307624916,1055562840958450343,1626489777
16944501,67103018307624916,263840635781067672,1626489777
16944501,246617550307624916,71946417736722807,1626489777
16944551,1506617550307624916,11806498508110648,1626489881
16944551,316293611014888584,56372195881027202,1626489881
16944690,585148384467324695346,104289489891422182239,1626490167
16944690,544831270943782218861,112030057178056082174,1626490167
16944692,536212414018964075225,113836218838436068406,1626490171
16944724,301232425954595823,63950702120424227,1626490239
16944728,1549866732182159423,12459585807670595,1626490247
16944728,304273958959631912,63618314274418538,1626490247
16944766,1553602444898439812,12489815562166981,1626490323
16944766,310902019188898325,62562833950159448,1626490323
16944929,1561636825887834025,12485463386215953,1626490661
16944932,68066201716152958,287340313605832944,1626490667
16944934,568066201716152958,34520526794282419,1626490671
16944949,304470822574079460,64496574308111227,1626490701
16945045,11836768250035017523,2507402832731297764,1626490906
16945105,11856768250035017523,2503186012056426692,1626491030
16945142,207716495606761465414,43852845506589866049,1626491104
16945209,205288483001613880966,44373067815439858684,1626491242
16945211,198587767608019963762,45874801684013569606,1626491246
16945214,189617309734602456422,48051587364970732898,1626491252
16945214,195435339734602456422,46625275340423412798,1626491252
16945224,200526509734602456422,45444967064927875889,1626491276
16945242,205526509734602456422,44342628995827885933,1626491312
16945247,11739959711506484044,2532912559968674472,1626491322
16945258,310457300953245899,66981592462172477,1626491344
16945744,305419478795207984,68089762517940563,1626492604
16945799,278292962366017562,74746761075861193,1626492734
16945841,274368773991973005,75819051393268960,1626492902
16946092,274381747770329641,75815477144120223,1626493448
16946581,8998258184048232,2318551530112798888,1626494586
16946581,208676541184048232,100265163921088989,1626494586
16946826,37671117078049546534,18100265163921088989,1626495092
16946826,47511767078049546534,14360256266210426809,1626495092
16946916,265635054336195861,80287214897524715,1626495350
16947267,11216588294897539,1906868842091074972,1626496266
16947268,268376311080013949,79925921297132419,1626496270
16947595,4639029440738611,4637533090430524028,1626497062
16947595,267445773440738611,80679014773186813,1626497062
16947629,7456540208221519,2902200923865709864,1626497130
16947629,268464340208221519,80843811361875541,1626497130
16947822,2204740545340104282,663922920307073036,1626497528
16947832,85212592220139227,17227642718479468189,1626497548
16947832,2227001021220139227,661095283991640354,1626497548
16947863,272115288922877408,80778649176539537,1626497614
16947912,13020342542632586,1693049344706291415,1626497716
16947912,270115363542632586,81843575452216560,1626497716
16948094,5433200824897912,4080907554240106336,1626498088
16948094,268783512824897912,82734817983065115,1626498088
16948236,29080814109668388,766740202893750310,1626498410
16948237,639777910412704536,34951916984717615,1626498414
16948249,279277800654192161,80204651473969421,1626498462
16948545,274567937468271663,81584599939995262,1626499150
16949005,1423327997164397,15785236940157116846,1626500239
16949005,261887546997164397,86047645010806365,1626500239
16950245,1692093220507401,13357524355122209721,1626503051
