block_number,reseve0,reserve1,timestamps
11583296,156600000,100000000000000000,1614838275
11589808,155134981,100947193104824198,1614851942
11589809,153842553,101797800796223743,1614851944
11590154,153903756,101757440200863787,1614852658
11590300,154312287,101488850540353482,1614852958
11590954,154509662,101359594259114245,1614854306
11591467,154611250,101293195158516678,1614855364
11592313,155022626,101025202591932846,1614857108
11593204,155246261,100880109949659928,1614858946
11593980,155557498,100678874919462783,1614860546
11594473,156063715,100353283820915131,1614861564
11595032,156202601,100264323136807176,1614862718
11595530,156350998,100169444751539342,1614863748
11597913,156742902,99919740753857418,1614868680
11597940,157210667,99623328573284087,1614868734
11598505,156677419,99963414988244036,1614869900
11600477,156929889,99803074777111822,1614874052
11600683,157342104,99542386602543068,1614874604
11600685,157295945,99571685838813232,1614874608
11600804,157893175,99196182153325167,1614874854
11600951,158430288,98860891084640501,1614875156
11601014,158729760,98674930886387872,1614875286
11601038,158956321,98534710488050129,1614875338
11601040,156458954,100112234998800635,1614875342
11601052,157095183,99707996023470336,1614875366
11601054,157431668,99495524103350214,1614875370
11601057,157930681,99182088612531108,1614875376
11601059,158819066,98628949618792018,1614875380
11601073,158515609,98818330274938991,1614875408
11601076,158872465,98597031013029157,1614875414
11601079,158338046,98930815104544746,1614875420
11601136,158627273,98750973530159372,1614875538
11601333,158083408,99091735962791666,1614875944
11601708,157367078,99544155951628757,1614876718
11601710,157700261,99334472526692942,1614876722
11601744,157273188,99605025981666454,1614876794
11601838,157046524,99749218063173209,1614876986
11601839,156587540,100042479703539563,1614876988
11601887,155942614,100457466606481365,1614877088
11601889,156205828,100288698131036334,1614877092
11602104,156940343,99820726720750477,1614877534
11602209,157603655,99401862814724235,1614877752
11602411,158045960,99124510510796934,1614878174
11602504,157944978,99188076800363532,1614878368
11602526,157893445,99220547121537360,1614878412
11602594,157693109,99346978492976641,1614878552
11602612,157347917,99565583237100667,1614878588
11602672,157374344,99548913891487607,1614878712
11602720,157596206,99409189996302844,1614878812
11602921,157863007,99241683761236664,1614879226
11602924,157667747,99364957479968262,1614879232
11603755,157121192,99711644319680682,1614880946
11604019,156586222,100053330338258018,1614881490
11604342,156214830,100291917420009908,1614882156
11604382,155643242,100661340733306734,1614882240
11604505,154177485,101621202469134472,1614882494
11604507,154815328,101203771474866944,1614882498
11604508,155299237,100889365860406656,1614882500
11604510,154812805,101207321165570284,1614882504
11604512,155158971,100982199385621749,1614882508
11604514,154728333,101264097828478496,1614882512
11604526,154981336,101099281948468234,1614882536
11604625,154498293,101416322693453272,1614882742
11604824,151782232,103236573893988285,1614883152
11604824,149179691,105043025687590733,1614883152
11604827,151197452,103645354476225751,1614883158
